steps,pid,dice,seed,git_commit
8,256,0.6534794569015503,42,9d844b58
8,257,0.5736975073814392,42,9d844b58
8,258,0.7381255030632019,42,9d844b58
8,259,0.7060956954956055,42,9d844b58
16,182,0.8508044481277466,42,9d844b58
16,183,0.8556051254272461,42,9d844b58
16,184,0.8642235994338989,42,9d844b58
16,185,0.8754702210426331,42,9d844b58
16,186,0.8694082498550415,42,9d844b58
16,187,0.8651034832000732,42,9d844b58
16,188,0.8519577980041504,42,9d844b58
16,189,0.7676719427108765,42,9d844b58
16,190,0.8493812680244446,42,9d844b58
16,191,0.8658411502838135,42,9d844b58
16,192,0.8836995959281921,42,9d844b58
16,193,0.8977372050285339,42,9d844b58
16,194,0.8730874061584473,42,9d844b58
16,195,0.868839681148529,42,9d844b58
16,196,0.8148799538612366,42,9d844b58
16,197,0.9111206531524658,42,9d844b58
16,198,0.834734320640564,42,9d844b58
16,199,0.7928481101989746,42,9d844b58
16,200,0.8809055089950562,42,9d844b58
16,201,0.8466958403587341,42,9d844b58
16,202,0.8521890640258789,42,9d844b58
16,203,0.845901608467102,42,9d844b58
16,204,0.8632287383079529,42,9d844b58
16,205,0.8779721260070801,42,9d844b58
16,206,0.8780254125595093,42,9d844b58
16,207,0.8666135668754578,42,9d844b58
16,208,0.8752153515815735,42,9d844b58
16,209,0.8744614124298096,42,9d844b58
16,210,0.861201286315918,42,9d844b58
16,211,0.8986138105392456,42,9d844b58
16,212,0.9041777849197388,42,9d844b58
16,213,0.804271399974823,42,9d844b58
16,214,0.6859068870544434,42,9d844b58
16,215,0.8676496148109436,42,9d844b58
16,216,0.8804284930229187,42,9d844b58
16,217,0.8335046768188477,42,9d844b58
16,218,0.8365732431411743,42,9d844b58
16,219,0.8302998542785645,42,9d844b58
16,220,0.8168357610702515,42,9d844b58
16,221,0.8772686719894409,42,9d844b58
16,222,0.8734831213951111,42,9d844b58
16,223,0.8709714412689209,42,9d844b58
16,224,0.8679535388946533,42,9d844b58
16,225,0.8607000708580017,42,9d844b58
16,226,0.866844654083252,42,9d844b58
16,227,0.8523721098899841,42,9d844b58
16,228,0.8643172979354858,42,9d844b58
16,229,0.8849290013313293,42,9d844b58
16,230,0.8912948966026306,42,9d844b58
16,231,0.8548310995101929,42,9d844b58
16,232,0.8783829808235168,42,9d844b58
16,233,0.8519238233566284,42,9d844b58
16,234,0.8789270520210266,42,9d844b58
16,235,0.8681010603904724,42,9d844b58
16,236,0.8524553775787354,42,9d844b58
16,237,0.8688983917236328,42,9d844b58
16,238,0.8518171906471252,42,9d844b58
16,239,0.8859798312187195,42,9d844b58
16,240,0.9085403084754944,42,9d844b58
16,241,0.8833889365196228,42,9d844b58
16,242,0.8656783699989319,42,9d844b58
16,243,0.8777635097503662,42,9d844b58
16,244,0.8964117765426636,42,9d844b58
16,245,0.9046209454536438,42,9d844b58
16,246,0.894931972026825,42,9d844b58
16,247,0.8636389970779419,42,9d844b58
16,248,0.8647298216819763,42,9d844b58
16,249,0.8787182569503784,42,9d844b58
16,250,0.8996827006340027,42,9d844b58
16,251,0.9017683267593384,42,9d844b58
16,252,0.8906492590904236,42,9d844b58
16,253,0.8919312357902527,42,9d844b58
16,254,0.8994652032852173,42,9d844b58
16,255,0.8638353943824768,42,9d844b58
16,256,0.8796128034591675,42,9d844b58
16,257,0.869579017162323,42,9d844b58
16,258,0.8832409977912903,42,9d844b58
16,259,0.8935025334358215,42,9d844b58
32,182,0.8116432428359985,42,9d844b58
32,183,0.8010653257369995,42,9d844b58
32,184,0.7765116691589355,42,9d844b58
32,185,0.8526338934898376,42,9d844b58
32,186,0.8221979141235352,42,9d844b58
32,187,0.8095307946205139,42,9d844b58
32,188,0.7811700105667114,42,9d844b58
32,189,0.7148693203926086,42,9d844b58
32,190,0.8159790635108948,42,9d844b58
32,191,0.7935624122619629,42,9d844b58
32,192,0.8193712830543518,42,9d844b58
32,193,0.842067539691925,42,9d844b58
32,194,0.8113627433776855,42,9d844b58
32,195,0.8074008226394653,42,9d844b58
32,196,0.740514874458313,42,9d844b58
32,197,0.8726494908332825,42,9d844b58
32,198,0.7726339101791382,42,9d844b58
32,199,0.7675768733024597,42,9d844b58
32,200,0.8413981199264526,42,9d844b58
32,201,0.7795552015304565,42,9d844b58
32,202,0.7828497886657715,42,9d844b58
32,203,0.7824614644050598,42,9d844b58
32,204,0.8082938194274902,42,9d844b58
32,205,0.8110063076019287,42,9d844b58
32,206,0.8351719975471497,42,9d844b58
32,207,0.810513436794281,42,9d844b58
32,208,0.8163134455680847,42,9d844b58
32,209,0.8385859131813049,42,9d844b58
32,210,0.8316394686698914,42,9d844b58
32,211,0.7926087379455566,42,9d844b58
32,212,0.8416714072227478,42,9d844b58
32,213,0.775749683380127,42,9d844b58
32,214,0.6434447169303894,42,9d844b58
32,215,0.8061109185218811,42,9d844b58
32,216,0.8191166520118713,42,9d844b58
32,217,0.7930421233177185,42,9d844b58
32,218,0.7835129499435425,42,9d844b58
32,219,0.8009780049324036,42,9d844b58
32,220,0.7693616151809692,42,9d844b58
32,221,0.8451611995697021,42,9d844b58
32,222,0.8395478129386902,42,9d844b58
32,223,0.841045618057251,42,9d844b58
32,224,0.8132556080818176,42,9d844b58
32,225,0.8235174417495728,42,9d844b58
32,226,0.781306803226471,42,9d844b58
32,227,0.8106901049613953,42,9d844b58
32,228,0.8109273910522461,42,9d844b58
32,229,0.843651533126831,42,9d844b58
32,230,0.8288108706474304,42,9d844b58
32,231,0.8344627618789673,42,9d844b58
32,232,0.8186661005020142,42,9d844b58
32,233,0.8149918913841248,42,9d844b58
32,234,0.8459464311599731,42,9d844b58
32,235,0.809881329536438,42,9d844b58
32,236,0.7985853552818298,42,9d844b58
32,237,0.8297495245933533,42,9d844b58
32,238,0.8031938076019287,42,9d844b58
32,239,0.8303166031837463,42,9d844b58
32,240,0.8144564628601074,42,9d844b58
32,241,0.8411475419998169,42,9d844b58
32,242,0.7885634303092957,42,9d844b58
32,243,0.8166887164115906,42,9d844b58
32,244,0.8098394870758057,42,9d844b58
32,245,0.8516248464584351,42,9d844b58
32,246,0.8597475290298462,42,9d844b58
32,247,0.7524091601371765,42,9d844b58
32,248,0.776009202003479,42,9d844b58
32,249,0.8366230130195618,42,9d844b58
32,250,0.8619167804718018,42,9d844b58
32,251,0.8262888789176941,42,9d844b58
32,252,0.7823279500007629,42,9d844b58
32,253,0.8380318880081177,42,9d844b58
32,254,0.8280113935470581,42,9d844b58
32,255,0.7932537198066711,42,9d844b58
32,256,0.7965401411056519,42,9d844b58
32,257,0.7480826377868652,42,9d844b58
32,258,0.8233849406242371,42,9d844b58
32,259,0.8133391737937927,42,9d844b58
48,182,0.3227272033691406,42,9d844b58
48,183,0.23329812288284302,42,9d844b58
48,184,0.20154982805252075,42,9d844b58
48,185,0.24760037660598755,42,9d844b58
48,186,0.26744574308395386,42,9d844b58
48,187,0.27116358280181885,42,9d844b58
48,188,0.25211888551712036,42,9d844b58
48,189,0.20685774087905884,42,9d844b58
48,190,0.2578155994415283,42,9d844b58
48,191,0.24236273765563965,42,9d844b58
48,192,0.27591991424560547,42,9d844b58
48,193,0.2550168037414551,42,9d844b58
48,194,0.2454674243927002,42,9d844b58
48,195,0.20279383659362793,42,9d844b58
48,196,0.18816983699798584,42,9d844b58
48,197,0.23792743682861328,42,9d844b58
48,198,0.17194724082946777,42,9d844b58
48,199,0.18864703178405762,42,9d844b58
48,200,0.3417015075683594,42,9d844b58
48,201,0.25556421279907227,42,9d844b58
48,202,0.2571139335632324,42,9d844b58
48,203,0.24976950883865356,42,9d844b58
48,204,0.230820894241333,42,9d844b58
48,205,0.32275015115737915,42,9d844b58
48,206,0.35461318492889404,42,9d844b58
48,207,0.1977144479751587,42,9d844b58
48,208,0.27428388595581055,42,9d844b58
48,209,0.186781644821167,42,9d844b58
48,210,0.29488998651504517,42,9d844b58
48,211,0.16843318939208984,42,9d844b58
48,212,0.2333706021308899,42,9d844b58
48,213,0.24566650390625,42,9d844b58
48,214,0.16243410110473633,42,9d844b58
48,215,0.1853632926940918,42,9d844b58
48,216,0.22880780696868896,42,9d844b58
48,217,0.24277561902999878,42,9d844b58
48,218,0.2562917470932007,42,9d844b58
48,219,0.22720807790756226,42,9d844b58
48,220,0.19198858737945557,42,9d844b58
48,221,0.290303111076355,42,9d844b58
48,222,0.26376211643218994,42,9d844b58
48,223,0.15936630964279175,42,9d844b58
48,224,0.18065935373306274,42,9d844b58
48,225,0.11999654769897461,42,9d844b58
48,226,0.23582637310028076,42,9d844b58
48,227,0.18376266956329346,42,9d844b58
48,228,0.29977917671203613,42,9d844b58
48,229,0.17115569114685059,42,9d844b58
