perturb_type,level,pid,dice,seed,commit
translate,5px,215,0.834368,42,9d844b58
translate,5px,216,0.85151,42,9d844b58
translate,5px,217,0.813565,42,9d844b58
translate,5px,218,0.832114,42,9d844b58
translate,5px,219,0.817739,42,9d844b58
translate,5px,220,0.819848,42,9d844b58
translate,5px,221,0.866746,42,9d844b58
translate,5px,222,0.867999,42,9d844b58
translate,5px,223,0.861633,42,9d844b58
translate,5px,224,0.860693,42,9d844b58
translate,5px,225,0.845324,42,9d844b58
translate,5px,226,0.799434,42,9d844b58
translate,5px,227,0.828634,42,9d844b58
translate,5px,228,0.843219,42,9d844b58
translate,5px,229,0.781445,42,9d844b58
translate,5px,230,0.837594,42,9d844b58
translate,5px,231,0.837348,42,9d844b58
translate,5px,232,0.872644,42,9d844b58
translate,5px,233,0.830056,42,9d844b58
translate,5px,234,0.807253,42,9d844b58
translate,5px,235,0.86136,42,9d844b58
translate,5px,236,0.856179,42,9d844b58
translate,5px,237,0.845995,42,9d844b58
translate,5px,238,0.828168,42,9d844b58
translate,5px,239,0.877022,42,9d844b58
translate,5px,240,0.869053,42,9d844b58
translate,5px,241,0.845039,42,9d844b58
translate,5px,242,0.777498,42,9d844b58
translate,5px,243,0.832492,42,9d844b58
translate,5px,244,0.841118,42,9d844b58
translate,5px,245,0.890179,42,9d844b58
translate,5px,246,0.86952,42,9d844b58
translate,5px,247,0.754673,42,9d844b58
translate,5px,248,0.750123,42,9d844b58
translate,5px,249,0.846101,42,9d844b58
translate,5px,250,0.870031,42,9d844b58
translate,5px,251,0.866201,42,9d844b58
translate,5px,252,0.88176,42,9d844b58
translate,5px,253,0.870844,42,9d844b58
translate,5px,254,0.869384,42,9d844b58
translate,5px,255,0.847819,42,9d844b58
translate,5px,256,0.848351,42,9d844b58
translate,5px,257,0.843792,42,9d844b58
translate,5px,258,0.861599,42,9d844b58
translate,5px,259,0.847468,42,9d844b58
translate,10px,182,0.806167,42,9d844b58
translate,10px,183,0.774093,42,9d844b58
translate,10px,184,0.68247,42,9d844b58
translate,10px,185,0.79245,42,9d844b58
translate,10px,186,0.795351,42,9d844b58
translate,10px,187,0.758774,42,9d844b58
translate,10px,188,0.702606,42,9d844b58
translate,10px,189,0.606694,42,9d844b58
translate,10px,190,0.819347,42,9d844b58
translate,10px,191,0.719613,42,9d844b58
translate,10px,192,0.781022,42,9d844b58
translate,10px,193,0.76773,42,9d844b58
translate,10px,194,0.742009,42,9d844b58
translate,10px,195,0.794706,42,9d844b58
translate,10px,196,0.675494,42,9d844b58
translate,10px,197,0.758502,42,9d844b58
translate,10px,198,0.740977,42,9d844b58
