perturb_type,level,pid,dice,seed,commit
scale,1.10,236,0.858402,42,9d844b58
scale,1.10,237,0.868858,42,9d844b58
scale,1.10,238,0.844691,42,9d844b58
scale,1.10,239,0.882095,42,9d844b58
scale,1.10,240,0.900669,42,9d844b58
scale,1.10,241,0.872492,42,9d844b58
scale,1.10,242,0.82715,42,9d844b58
scale,1.10,243,0.862328,42,9d844b58
scale,1.10,244,0.890731,42,9d844b58
scale,1.10,245,0.902563,42,9d844b58
scale,1.10,246,0.890935,42,9d844b58
scale,1.10,247,0.838694,42,9d844b58
scale,1.10,248,0.847824,42,9d844b58
scale,1.10,249,0.880924,42,9d844b58
scale,1.10,250,0.886236,42,9d844b58
scale,1.10,251,0.895346,42,9d844b58
scale,1.10,252,0.856866,42,9d844b58
scale,1.10,253,0.894359,42,9d844b58
scale,1.10,254,0.894122,42,9d844b58
scale,1.10,255,0.842166,42,9d844b58
scale,1.10,256,0.849063,42,9d844b58
scale,1.10,257,0.845715,42,9d844b58
scale,1.10,258,0.877641,42,9d844b58
scale,1.10,259,0.876646,42,9d844b58
scale,1.20,182,0.850401,42,9d844b58
scale,1.20,183,0.847123,42,9d844b58
scale,1.20,184,0.738576,42,9d844b58
scale,1.20,185,0.868142,42,9d844b58
scale,1.20,186,0.859207,42,9d844b58
scale,1.20,187,0.817652,42,9d844b58
scale,1.20,188,0.78101,42,9d844b58
scale,1.20,189,0.666511,42,9d844b58
scale,1.20,190,0.791671,42,9d844b58
scale,1.20,191,0.794793,42,9d844b58
scale,1.20,192,0.8143,42,9d844b58
scale,1.20,193,0.840143,42,9d844b58
scale,1.20,194,0.837521,42,9d844b58
scale,1.20,195,0.852197,42,9d844b58
scale,1.20,196,0.736883,42,9d844b58
scale,1.20,197,0.887003,42,9d844b58
scale,1.20,198,0.73265,42,9d844b58
scale,1.20,199,0.743618,42,9d844b58
scale,1.20,200,0.875813,42,9d844b58
scale,1.20,201,0.831259,42,9d844b58
scale,1.20,202,0.830944,42,9d844b58
scale,1.20,203,0.792817,42,9d844b58
scale,1.20,204,0.818953,42,9d844b58
scale,1.20,205,0.844249,42,9d844b58
scale,1.20,206,0.854185,42,9d844b58
scale,1.20,207,0.770976,42,9d844b58
scale,1.20,208,0.84347,42,9d844b58
scale,1.20,209,0.836085,42,9d844b58
scale,1.20,210,0.806736,42,9d844b58
scale,1.20,211,0.657323,42,9d844b58
scale,1.20,212,0.752005,42,9d844b58
scale,1.20,213,0.687332,42,9d844b58
scale,1.20,214,0.499957,42,9d844b58
scale,1.20,215,0.802802,42,9d844b58
scale,1.20,216,0.810028,42,9d844b58
scale,1.20,217,0.800639,42,9d844b58
scale,1.20,218,0.804743,42,9d844b58
