pair,subset,method,rank,auroc,n_matched
BraTS_normal_vs_BrainTumor_normal,cleanC_INSUF,MDS,-1,nan,8
BraTS_normal_vs_BrainTumor_normal,cleanC_INSUF,KNN,-1,nan,8
BraTS_normal_vs_BrainTumor_normal,cleanC_INSUF,ViM,-1,nan,8
BraTS_normal_vs_BrainTumor_normal,cleanC_INSUF,GradNorm,-1,nan,8
BraTS_normal_vs_BrainTumor_normal,cleanC_INSUF,Residual,-1,nan,8
BraTS_normal_vs_BrainTumor_normal,cleanC_INSUF,SHE,-1,nan,8
BraTS_normal_vs_BrainTumor_normal,cleanC_INSUF,NNGuide,-1,nan,8
BraTS_normal_vs_BrainTumor_normal,cleanC_INSUF,fDBD,-1,nan,8
BraTS_normal_vs_BrainTumor_normal,cleanC_INSUF,DICE,-1,nan,8
BraTS_normal_vs_BrainTumor_normal,cleanC_INSUF,ASH,-1,nan,8
HAM_NV_vs_ISIC2020_benign,cleanC,ViM,1,0.5575,186
HAM_NV_vs_ISIC2020_benign,cleanC,Residual,2,0.5575,186
HAM_NV_vs_ISIC2020_benign,cleanC,KNN,3,0.5408,186
HAM_NV_vs_ISIC2020_benign,cleanC,GradNorm,4,0.5325,186
HAM_NV_vs_ISIC2020_benign,cleanC,DICE,5,0.5257,186
HAM_NV_vs_ISIC2020_benign,cleanC,SHE,6,0.5217,186
HAM_NV_vs_ISIC2020_benign,cleanC,fDBD,7,0.52,186
HAM_NV_vs_ISIC2020_benign,cleanC,ASH,8,0.5012,186
HAM_NV_vs_ISIC2020_benign,cleanC,Energy,9,0.4945,186
HAM_NV_vs_ISIC2020_benign,cleanC,ODIN,10,0.4926,186
HAM_NV_vs_ISIC2020_benign,cleanC,MSP,11,0.4925,186
HAM_NV_vs_ISIC2020_benign,cleanC,MDS,12,0.4904,186
HAM_NV_vs_ISIC2020_benign,cleanC,NNGuide,13,0.4894,186
VinDr_CXR_vs_RSNA_normal,cleanC,ViM,1,0.7256,110
VinDr_CXR_vs_RSNA_normal,cleanC,Residual,2,0.7256,110
VinDr_CXR_vs_RSNA_normal,cleanC,MDS,3,0.6435,110
VinDr_CXR_vs_RSNA_normal,cleanC,ASH,4,0.593,110
VinDr_CXR_vs_RSNA_normal,cleanC,NNGuide,5,0.5859,110
VinDr_CXR_vs_RSNA_normal,cleanC,Energy,6,0.5849,110
VinDr_CXR_vs_RSNA_normal,cleanC,fDBD,7,0.5847,110
VinDr_CXR_vs_RSNA_normal,cleanC,DICE,8,0.5603,110
VinDr_CXR_vs_RSNA_normal,cleanC,SHE,9,0.5272,110
VinDr_CXR_vs_RSNA_normal,cleanC,KNN,10,0.522,110
VinDr_CXR_vs_RSNA_normal,cleanC,MSP,11,0.4709,110
VinDr_CXR_vs_RSNA_normal,cleanC,ODIN,12,0.4708,110
VinDr_CXR_vs_RSNA_normal,cleanC,GradNorm,13,0.4107,110
HAM_NV_vs_fitzpatrick17k,cleanC_INSUF,MSP,-1,nan,26
HAM_NV_vs_fitzpatrick17k,cleanC_INSUF,ODIN,-1,nan,26
HAM_NV_vs_fitzpatrick17k,cleanC_INSUF,Energy,-1,nan,26
HAM_NV_vs_fitzpatrick17k,cleanC_INSUF,MDS,-1,nan,26
HAM_NV_vs_fitzpatrick17k,cleanC_INSUF,KNN,-1,nan,26
HAM_NV_vs_fitzpatrick17k,cleanC_INSUF,ViM,-1,nan,26
HAM_NV_vs_fitzpatrick17k,cleanC_INSUF,GradNorm,-1,nan,26
HAM_NV_vs_fitzpatrick17k,cleanC_INSUF,Residual,-1,nan,26
HAM_NV_vs_fitzpatrick17k,cleanC_INSUF,SHE,-1,nan,26
HAM_NV_vs_fitzpatrick17k,cleanC_INSUF,NNGuide,-1,nan,26
HAM_NV_vs_fitzpatrick17k,cleanC_INSUF,fDBD,-1,nan,26
HAM_NV_vs_fitzpatrick17k,cleanC_INSUF,DICE,-1,nan,26
HAM_NV_vs_fitzpatrick17k,cleanC_INSUF,ASH,-1,nan,26
ISIC2020_benign_vs_PAD_UFES,cleanC,KNN,1,0.6917,131
ISIC2020_benign_vs_PAD_UFES,cleanC,ViM,2,0.6596,131
ISIC2020_benign_vs_PAD_UFES,cleanC,Residual,3,0.6596,131
ISIC2020_benign_vs_PAD_UFES,cleanC,SHE,4,0.6198,131
ISIC2020_benign_vs_PAD_UFES,cleanC,fDBD,5,0.6014,131
ISIC2020_benign_vs_PAD_UFES,cleanC,DICE,6,0.564,131
ISIC2020_benign_vs_PAD_UFES,cleanC,ASH,7,0.5598,131
ISIC2020_benign_vs_PAD_UFES,cleanC,Energy,8,0.5509,131
ISIC2020_benign_vs_PAD_UFES,cleanC,MDS,9,0.5308,131
ISIC2020_benign_vs_PAD_UFES,cleanC,ODIN,10,0.5293,131
ISIC2020_benign_vs_PAD_UFES,cleanC,MSP,11,0.5292,131
ISIC2020_benign_vs_PAD_UFES,cleanC,GradNorm,12,0.5045,131
ISIC2020_benign_vs_PAD_UFES,cleanC,NNGuide,13,0.4824,131
