pair,subset,method,rank,auroc
HAM_NV_vs_fitzpatrick17k,cleanA,ODIN,6,0.5403
HAM_NV_vs_fitzpatrick17k,cleanA,GradNorm,7,0.5345
HAM_NV_vs_fitzpatrick17k,cleanA,MDS,8,0.5264
HAM_NV_vs_fitzpatrick17k,cleanA,Energy,9,0.5245
HAM_NV_vs_fitzpatrick17k,cleanA,ASH,10,0.5126
HAM_NV_vs_fitzpatrick17k,cleanA,DICE,11,0.496
HAM_NV_vs_fitzpatrick17k,cleanA,NNGuide,12,0.4773
HAM_NV_vs_fitzpatrick17k,cleanA,fDBD,13,0.4748
ISIC2020_benign_vs_PAD_UFES,cleanA,DICE,1,0.638
ISIC2020_benign_vs_PAD_UFES,cleanA,KNN,2,0.6352
ISIC2020_benign_vs_PAD_UFES,cleanA,ASH,3,0.6082
ISIC2020_benign_vs_PAD_UFES,cleanA,Energy,4,0.5949
ISIC2020_benign_vs_PAD_UFES,cleanA,fDBD,5,0.5749
ISIC2020_benign_vs_PAD_UFES,cleanA,SHE,6,0.5717
ISIC2020_benign_vs_PAD_UFES,cleanA,ODIN,7,0.5706
ISIC2020_benign_vs_PAD_UFES,cleanA,NNGuide,8,0.5425
ISIC2020_benign_vs_PAD_UFES,cleanA,MSP,9,0.5396
ISIC2020_benign_vs_PAD_UFES,cleanA,ViM,10,0.5211
ISIC2020_benign_vs_PAD_UFES,cleanA,Residual,11,0.5211
ISIC2020_benign_vs_PAD_UFES,cleanA,GradNorm,12,0.4735
ISIC2020_benign_vs_PAD_UFES,cleanA,MDS,13,0.4595
