bb_idx,MT_Repitope,WT_Repitope
148,0.31064,0.31184
149,0.31064,0.31184
150,0.31064,0.31184
151,0.31064,0.31184
152,0.31064,0.31184
153,0.26776,0.27416
154,0.26776,0.27416
155,0.26776,0.27416
156,0.26776,0.27416
157,0.26776,0.27416
158,0.26776,0.27416
159,0.15368,0.19488
160,0.15368,0.19488
161,0.15368,0.19488
162,0.15368,0.19488
163,0.15368,0.19488
164,0.15368,0.19488
165,0.32792,0.29328
166,0.32792,0.29328
167,0.32792,0.29328
168,0.32792,0.29328
169,0.32792,0.29328
170,0.32792,0.29328
171,0.4688,0.39304
172,0.4688,0.39304
173,0.4688,0.39304
174,0.4688,0.39304
175,0.41352,0.41728
176,0.41352,0.41728
177,0.41352,0.41728
178,0.41352,0.41728
179,0.50168,0.48224
180,0.50168,0.48224
181,0.50168,0.48224
182,0.50168,0.48224
183,0.29208,0.31616
184,0.29208,0.31616
185,0.29208,0.31616
186,0.29208,0.31616
187,0.4524,0.424
188,0.4524,0.424
189,0.4524,0.424
190,0.4524,0.424
191,0.4448,0.49448
192,0.4448,0.49448
193,0.4448,0.49448
194,0.4448,0.49448
195,0.47256,0.43624
196,0.47256,0.43624
197,0.47256,0.43624
198,0.47256,0.43624
199,0.252,0.28832
200,0.252,0.28832
201,0.252,0.28832
202,0.252,0.28832
203,0.51016,0.49912
204,0.51016,0.49912
205,0.20968,0.26696
206,0.20968,0.26696
207,0.44112,0.49984
208,0.44112,0.49984
209,0.26576,0.27816
210,0.26576,0.27816
211,0.38376,0.33624
212,0.38376,0.33624
213,0.3252,0.35008
214,0.3252,0.35008
215,0.46544,0.43168
216,0.46544,0.43168
217,0.34128,0.30224
218,0.34128,0.30224
219,0.3096,0.28912
220,0.3096,0.28912
221,0.372,0.35072
222,0.372,0.35072
223,0.25448,0.26552
224,0.25448,0.26552
225,0.34472,0.42872
226,0.34472,0.42872
227,0.43192,0.42928
228,0.43192,0.42928
229,0.25296,0.29152
230,0.25296,0.29152
231,0.3052,0.35376
232,0.3052,0.35376
233,0.23928,0.25648
234,0.23928,0.25648
235,0.23928,0.25648
236,0.23928,0.25648
237,0.44872,0.5008
238,0.44872,0.5008
239,0.44872,0.5008
240,0.44872,0.5008
241,0.3872,0.37384
242,0.3872,0.37384
243,0.3872,0.37384
244,0.3872,0.37384
245,0.20856,0.29312
246,0.20856,0.29312
247,0.20856,0.29312
248,0.20856,0.29312
249,0.2632,0.27616
250,0.2632,0.27616
251,0.2632,0.27616
252,0.2632,0.27616
253,0.16992,0.14464
254,0.16992,0.14464
255,0.16992,0.14464
256,0.16992,0.14464
257,0.35264,0.34352
258,0.35264,0.34352
259,0.35264,0.34352
260,0.35264,0.34352
261,0.26112,0.194
262,0.26112,0.194
263,0.26112,0.194
264,0.26112,0.194
265,0.44296,0.39792
266,0.44296,0.39792
267,0.44296,0.39792
268,0.44296,0.39792
269,0.4308,0.48472
270,0.4308,0.48472
271,0.4308,0.48472
272,0.4308,0.48472
273,0.34616,0.32848
274,0.34616,0.32848
275,0.34616,0.32848
276,0.34616,0.32848
277,0.26616,0.27784
278,0.26616,0.27784
279,0.26616,0.27784
280,0.26616,0.27784
281,0.51712,0.49616
282,0.51712,0.49616
283,0.51712,0.49616
284,0.51712,0.49616
285,0.37,0.3664
286,0.37,0.3664
287,0.37,0.3664
288,0.37,0.3664
289,0.43032,0.4608
290,0.43032,0.4608
291,0.43032,0.4608
292,0.43032,0.4608
293,0.52416,0.53296
294,0.52416,0.53296
295,0.52416,0.53296
296,0.52416,0.53296
297,0.22616,0.13064
298,0.22616,0.13064
299,0.22616,0.13064
300,0.22616,0.13064
301,0.25952,0.26592
302,0.25952,0.26592
303,0.25952,0.26592
304,0.25952,0.26592
305,0.35512,0.2232
306,0.35512,0.2232
307,0.35512,0.2232
308,0.35512,0.2232
309,0.40576,0.38536
310,0.40576,0.38536
311,0.40576,0.38536
312,0.40576,0.38536
313,0.45592,0.38288
314,0.45592,0.38288
315,0.45592,0.38288
316,0.45592,0.38288
317,0.26112,0.194
318,0.26112,0.194
319,0.26112,0.194
320,0.26112,0.194
321,0.23608,0.258
322,0.23608,0.258
323,0.23608,0.258
324,0.23608,0.258
