bb_idx,MT_deepHLApan_bind,MT_deepHLApan_immuno,WT_deepHLApan_bind,WT_deepHLApan_immuno
75,0.7919,0.9599,0.7726,0.9631
76,0.4068,0.9925,0.3655,0.9937
77,0.2786,0.9875,0.2665,0.9869
78,0.12,0.9288,0.031,0.883
79,0.9967,0.2582,0.9933,0.2756
80,0.2347,0.9121,0.0224,0.7929
81,0.7276,0.807,0.0281,0.9021
82,0.0246,0.608,0.0003,0.5995
83,0.9735,0.9684,0.1031,0.9504
84,0.9995,0.9196,0.7479,0.894
85,0.9172,0.3007,0.072,0.4208
86,0.9353,0.8643,0.7394,0.8908
87,0.0085,0.8553,0.0163,0.9302
88,0.99,0.2709,0.9893,0.1179
89,0.9998,0.721,0.9998,0.7626
90,0.0166,0.9567,0.0145,0.9739
91,0.9953,0.3581,0.9923,0.7131
92,0.2387,0.752,0.1236,0.9359
93,0.9975,0.9044,0.9959,0.8942
94,0.0142,0.2352,0.0113,0.1991
95,0.3897,0.7928,0.5997,0.7543
96,0.935,0.7612,0.583,0.7793
97,0.042,0.4249,0.0095,0.6342
98,0.9386,0.9328,0.779,0.9029
99,0.9917,0.9448,0.974,0.9429
100,0.5018,0.4235,0.3478,0.2453
101,0.994,0.9263,0.9906,0.8618
102,0.4687,0.8603,0.1592,0.9383
103,0.9724,0.4257,0.7511,0.7082
104,0.0361,0.8861,0.0081,0.9716
105,0.9992,0.6332,0.999,0.799
106,0.7779,0.0192,0.7691,0.0218
107,0.2462,0.3918,0.7294,0.5014
108,0.996,0.8184,0.7498,0.9022
109,0.9554,0.1079,0.8199,0.2353
110,0.2341,0.5064,0.9996,0.6389
111,0.0095,0.7854,0.0081,0.7851
112,0.9879,0.2386,0.9794,0.5676
113,0.0071,0.7709,0.0296,0.8612
114,0.9205,0.9343,0.8986,0.9339
115,0.9962,0.2187,0.9946,0.2494
116,0.0545,0.9227,0.0311,0.9297
117,0.9997,0.5019,0.9995,0.516
118,0.0298,0.3811,0.0388,0.4174
119,0.7818,0.7509,0.6658,0.7863
120,0.5239,0.9201,0.6127,0.8798
121,0.9942,0.1318,0.9956,0.1194
122,0.0081,0.832,0.0126,0.837
123,0.3399,0.6658,0.3016,0.6265
124,0.9894,0.2834,0.9882,0.1624
125,0.3384,0.9874,0.3761,0.9776
126,0.7884,0.918,0.7075,0.8272
127,0.3238,0.6795,0.1974,0.5117
128,0.276,0.9976,0.2725,0.9944
129,0.352,0.9695,0.3844,0.8989
130,0.9591,0.6632,0.6045,0.6621
131,0.1349,0.9979,0.5235,0.9978
132,0.5558,0.9839,0.5407,0.9888
133,0.2204,0.9705,0.3701,0.9349
134,0.336,0.998,0.2943,0.9976
135,0.9986,0.4328,0.754,0.3477
136,0.1572,0.1009,0.0456,0.0502
137,0.9165,0.9347,0.1081,0.8842
138,0.1012,0.8053,0.6129,0.7119
139,0.9951,0.2677,0.7557,0.3296
140,0.7261,0.9824,0.2327,0.9788
141,0.9702,0.5731,0.8936,0.6756
142,0.0034,0.0886,0.0018,0.3143
143,0.3304,0.9768,0.4327,0.9795
144,0.0209,0.779,0.0059,0.8863
145,0.8316,0.3944,0.5322,0.6496
146,0.0679,0.9828,0.0288,0.9679
147,0.9847,0.5841,0.9849,0.586
148,0.033,0.027,0.0464,0.0646
149,0.4788,0.9651,0.5343,0.9597
150,0.1444,0.8033,0.1423,0.8172
151,0.9409,0.3051,0.9464,0.3163
152,0.4251,0.9942,0.5124,0.9943
153,0.9995,0.5147,0.9996,0.2747
154,0.1858,0.0976,0.418,0.1673
155,0.9541,0.9785,0.9662,0.829
156,0.0278,0.8754,0.0751,0.6627
157,0.9976,0.4557,0.9986,0.312
158,0.2062,0.9899,0.4165,0.9456
159,0.0028,0.6925,0.0051,0.6936
160,0.025,0.1381,0.0306,0.1411
161,0.0018,0.964,0.0015,0.9471
162,0.9974,0.6751,0.9978,0.6977
163,0.0144,0.4295,0.0234,0.4848
164,0.1812,0.9877,0.2248,0.978
165,0.9975,0.764,0.8711,0.8097
166,0.0015,0.3903,0.0328,0.6634
167,0.7998,0.9944,0.125,0.9956
168,0.001,0.9694,0.0017,0.9643
169,0.9615,0.6185,0.8859,0.9153
170,0.1045,0.9967,0.0006,0.9975
171,0.9036,0.5062,0.8467,0.4752
172,0.0688,0.9101,0.3225,0.8641
173,0.4419,0.8986,0.4523,0.8988
174,0.0076,0.9748,0.0058,0.9514
175,0.9071,0.4049,0.0024,0.4059
176,0.2798,0.7668,0.1533,0.8608
177,0.4492,0.7727,0.0004,0.8525
178,0.4831,0.9211,0.9423,0.9682
179,0.3424,0.6562,0.0259,0.4266
180,0.475,0.9775,0.7529,0.9342
181,0.8631,0.9548,0.8182,0.9071
182,0.0703,0.9933,0.009,0.9503
183,0.006,0.4636,0.2283,0.4324
184,0.0596,0.7779,0.4107,0.729
185,0.0031,0.643,0.8916,0.6662
186,0.9849,0.8921,0.8533,0.8995
187,0.0695,0.5962,0.0687,0.6477
188,0.0509,0.9712,0.0444,0.9846
189,0.0441,0.8593,0.0276,0.9079
190,0.6339,0.9785,0.6166,0.9849
191,0.4326,0.9171,0.5128,0.7862
192,0.2811,0.9955,0.7678,0.9885
193,0.2766,0.9643,0.38,0.9527
194,0.0026,0.9983,0.0011,0.9952
195,0.929,0.4518,0.8987,0.6323
196,0.4402,0.8748,0.4207,0.8861
197,0.4042,0.9369,0.0078,0.9596
198,0.0066,0.987,0.0002,0.9938
199,0.0119,0.395,0.0096,0.3865
200,0.1527,0.901,0.0822,0.905
201,0.0457,0.8833,0.0403,0.8577
202,0.9848,0.9302,0.9855,0.9233
203,0.5295,0.9181,0.5104,0.8854
204,0.176,0.9909,0.2358,0.9867
205,0.7158,0.5739,0.6173,0.5871
206,0.0195,0.8383,0.0024,0.8535
207,0.9695,0.8143,0.8539,0.8373
208,0.4083,0.9847,0.2754,0.9848
209,0.8075,0.49,0.7381,0.5483
210,0.4248,0.8817,0.2461,0.9425
211,0.9734,0.6811,0.9608,0.7162
212,0.1174,0.9338,0.1104,0.9324
213,0.7764,0.7541,0.8639,0.8339
214,0.5524,0.9836,0.7223,0.9852
215,0.9735,0.7034,0.6038,0.6777
216,0.2038,0.9791,0.045,0.9734
217,0.4641,0.6677,0.5965,0.4226
218,0.4842,0.9724,0.64,0.9191
219,0.6238,0.2337,0.7831,0.2764
220,0.3752,0.9154,0.0114,0.9208
221,0.9806,0.6478,0.9303,0.7416
222,0.069,0.9411,0.022,0.9641
223,0.92,0.2771,0.3898,0.3025
224,0.3466,0.8785,0.0616,0.8339
225,0.7047,0.5292,0.8034,0.6926
226,0.107,0.9611,0.1928,0.9763
227,0.0421,0.2454,0.0531,0.3547
228,0.8256,0.8682,0.8315,0.9285
229,0.9948,0.5744,0.9978,0.5191
230,0.3411,0.9555,0.3371,0.9673
231,0.0127,0.6841,0.0201,0.3886
232,0.8151,0.9405,0.8424,0.9099
233,0.0266,0.6485,0.0108,0.673
234,0.0542,0.8999,0.0519,0.8931
235,0.0021,0.4127,0.0011,0.3526
236,0.4091,0.9714,0.2967,0.9746
237,0.7705,0.785,0.7187,0.8091
238,0.9988,0.9703,0.9968,0.9813
239,0.0168,0.2089,0.0174,0.545
240,0.8057,0.9718,0.6746,0.9842
241,0.1473,0.3358,0.1459,0.4907
242,0.9199,0.9182,0.9351,0.9522
243,0.003,0.1304,0.002,0.3963
244,0.4993,0.9402,0.6098,0.9729
245,0.5374,0.3272,0.4812,0.3681
246,0.9957,0.8639,0.9941,0.8661
247,0.4928,0.0222,0.4116,0.0193
248,0.6721,0.9321,0.5782,0.9537
249,0.0013,0.3697,0.0009,0.429
250,0.0129,0.829,0.0027,0.8944
251,0.0014,0.4943,0.001,0.6441
252,0.5993,0.9431,0.3711,0.9727
253,0.0003,0.2674,0.0004,0.408
254,0.0011,0.8478,0.0019,0.8575
255,0.0002,0.0898,0.0001,0.2528
256,0.3204,0.9155,0.11,0.9138
257,0.0108,0.3422,0.0126,0.3306
258,0.0003,0.7883,0.0004,0.7064
259,0.004,0.4384,0.0069,0.3209
260,0.6664,0.9404,0.6512,0.9224
261,0.9537,0.5331,0.9487,0.5262
262,0.9621,0.91,0.9736,0.8442
263,0.0579,0.0365,0.0646,0.0234
264,0.552,0.9543,0.6377,0.9016
265,0.0232,0.5131,0.0502,0.5308
266,0.0095,0.7898,0.0029,0.7824
267,0.03,0.0808,0.1986,0.0865
268,0.2558,0.9455,0.2936,0.9301
269,0.9138,0.6879,0.9301,0.7339
270,0.0047,0.9745,0.0072,0.9803
271,0.0011,0.9437,0.0014,0.9487
272,0.0133,0.9868,0.0387,0.9888
273,0.016,0.2122,0.0151,0.2153
274,0.0019,0.7986,0.0021,0.8638
275,0.0055,0.0051,0.0058,0.0048
276,0.36,0.7634,0.2452,0.8329
277,0.0005,0.5209,0.0004,0.5854
278,0.0003,0.8363,0.0003,0.877
279,0.0006,0.0206,0.0005,0.0343
280,0.5837,0.8637,0.6324,0.8992
281,0.3846,0.3603,0.4534,0.4282
282,0.8285,0.9302,0.9333,0.8678
283,0.0323,0.5521,0.0596,0.3628
284,0.6181,0.9566,0.6578,0.9537
285,0.3149,0.6283,0.2087,0.7575
286,0.9899,0.8663,0.9899,0.947
287,0.0019,0.0111,0.0009,0.0599
288,0.9331,0.8806,0.9318,0.9625
289,0.0136,0.38,0.0116,0.3199
290,0.8336,0.9416,0.7864,0.8597
291,0.0013,0.4687,0.0011,0.302
292,0.0286,0.9359,0.0199,0.927
293,0.3865,0.4621,0.843,0.4473
294,0.9738,0.9222,0.3992,0.8963
295,0.0154,0.0567,0.0337,0.0152
296,0.883,0.9635,0.6256,0.9448
297,0.7404,0.79,0.1378,0.7888
298,0.0065,0.9485,0.0048,0.9472
299,0.0008,0.0552,0.0249,0.1139
300,0.0168,0.9708,0.0957,0.9745
301,0.0007,0.3672,0.0005,0.3998
302,0.0012,0.9166,0.0014,0.945
303,0.0007,0.589,0.0003,0.708
304,0.5893,0.9435,0.378,0.9656
305,0.02,0.1562,0.0552,0.1522
306,0.0003,0.5033,0.0009,0.7028
307,0.0229,0.0078,0.0271,0.0185
308,0.0817,0.6853,0.3771,0.7812
309,0.937,0.4946,0.8746,0.5715
310,0.9986,0.8444,0.9984,0.8609
311,0.0157,0.1038,0.0079,0.2464
312,0.8048,0.9651,0.6576,0.979
313,0.0738,0.6511,0.0504,0.7353
314,0.0091,0.9373,0.0054,0.9484
315,0.0383,0.7413,0.0311,0.725
316,0.1941,0.9726,0.2046,0.9794
317,0.9537,0.5331,0.9487,0.5262
318,0.9621,0.91,0.9736,0.8442
319,0.0579,0.0365,0.0646,0.0234
320,0.552,0.9543,0.6377,0.9016
321,0.1101,0.5004,0.0353,0.3462
322,0.0054,0.9617,0.0055,0.9392
323,0.0006,0.6513,0.0003,0.5669
324,0.0194,0.9626,0.01,0.9257
