bb_idx,MT_DeepImmuno,WT_DeepImmuno
73,0.7419388,0.75638807
74,0.68236035,0.7195314
75,0.8223629,0.8564339
76,0.89296937,0.90278935
77,0.84676063,0.8732389
78,0.9266292,0.89908856
79,0.6720494,0.49153748
80,0.9841271,0.9788482
81,0.8803363,0.8854486
82,0.73133063,0.75794566
83,0.9880525,0.992509
84,0.9293852,0.9413986
85,0.45585164,0.5394536
86,0.97402793,0.97976696
87,0.9233891,0.91102326
88,0.42255813,0.35127643
89,0.9687228,0.96660626
90,0.7538596,0.6891118
91,0.2700187,0.23455617
92,0.96326476,0.9290283
93,0.8328384,0.84985286
94,0.35872206,0.35174304
95,0.9725112,0.9759357
96,0.66316044,0.7403582
97,0.29718214,0.3095715
98,0.96938527,0.97397894
99,0.91080236,0.95241857
100,0.54297435,0.34465915
101,0.97885656,0.98209304
102,0.49131832,0.51881284
103,0.18547899,0.23119149
104,0.9241774,0.9413456
105,0.9132616,0.90631574
106,0.32232544,0.34637764
107,0.96167296,0.97468144
108,0.8786785,0.92710805
109,0.40072995,0.37951437
110,0.8640442,0.91864604
111,0.7757871,0.92722523
112,0.6218643,0.5126595
113,0.9653795,0.9864
114,0.46809626,0.5245356
115,0.28777078,0.324656
116,0.9049591,0.9322889
117,0.81300735,0.79724956
118,0.4031679,0.4714347
119,0.95926505,0.9669302
120,0.8052186,0.83695316
121,0.65320027,0.39916822
122,0.9767567,0.97767204
123,0.42185774,0.25962642
124,0.22164291,0.26316908
125,0.62796587,0.525248
126,0.39641523,0.26602027
127,0.4535833,0.32336095
128,0.8362188,0.6383444
129,0.6940934,0.5599326
130,0.3191058,0.3580712
131,0.898792,0.78951967
132,0.9090604,0.80658805
133,0.78992426,0.82598466
134,0.98076224,0.960505
135,0.86554337,0.8504228
136,0.4281812,0.48154888
137,0.8340068,0.83817136
138,0.89805365,0.88571596
139,0.69765407,0.69570917
140,0.97383666,0.97106177
141,0.90766597,0.93752384
142,0.58517355,0.61253583
143,0.8356258,0.8273317
144,0.9098251,0.81461275
145,0.57912385,0.67814463
146,0.982801,0.9824829
147,0.8116025,0.80099326
148,0.29621023,0.31518775
149,0.5679926,0.65740347
150,0.7799957,0.8596697
151,0.6445744,0.76076424
152,0.9323689,0.9136063
153,0.78979117,0.7902646
154,0.33977187,0.3627223
155,0.83853126,0.8383665
156,0.8410448,0.86632395
157,0.5547021,0.5522214
158,0.9708214,0.9662492
159,0.75747204,0.85307
160,0.4493512,0.42908427
161,0.8467181,0.9069241
162,0.87967014,0.9013083
163,0.73952496,0.8094982
164,0.9669075,0.97707564
165,0.9293066,0.8767615
166,0.334329,0.3582766
167,0.70226336,0.6507723
168,0.64049083,0.610051
169,0.61782753,0.51405054
170,0.9494432,0.93137926
171,0.6759381,0.79252195
172,0.6457553,0.6779553
173,0.71917963,0.8461722
174,0.61785436,0.78412265
175,0.65079695,0.5492579
176,0.5321702,0.3828869
177,0.4562651,0.20805418
178,0.74144983,0.63756627
179,0.6350332,0.5686234
180,0.90382063,0.93979204
181,0.95631194,0.91685015
182,0.94297475,0.94428724
183,0.582559,0.58686316
184,0.8814969,0.9253433
185,0.95215225,0.9601394
186,0.9294361,0.9414319
187,0.23362911,0.45178035
188,0.63844657,0.6663418
189,0.7080969,0.823558
190,0.6845803,0.708544
191,0.9105954,0.7663145
192,0.9800843,0.89774
193,0.9856765,0.9519137
194,0.97561467,0.8924011
195,0.68923485,0.5063141
196,0.9505845,0.9077941
197,0.9390658,0.89167404
198,0.8736625,0.80549043
199,0.44069153,0.5475928
200,0.8713908,0.9474747
201,0.6275714,0.91797817
202,0.6942212,0.89700574
203,0.9524282,0.9558717
204,0.9471519,0.9491987
205,0.8537397,0.922385
206,0.83589244,0.88704264
207,0.8760041,0.92080826
208,0.90624386,0.9150337
209,0.63146096,0.7039963
210,0.68351346,0.81304824
211,0.9687878,0.9942882
212,0.9898279,0.9899045
213,0.94118434,0.94308853
214,0.91278553,0.92084384
215,0.9424726,0.9392142
216,0.92446613,0.94548184
