bb_idx,MT_TransHLA,WT_TransHLA
189,0.0905816107988357,0.0694789737462997
190,0.0905816107988357,0.0694789737462997
191,0.0905816107988357,0.0694789737462997
192,0.687052845954895,0.512897253036499
193,0.687052845954895,0.512897253036499
194,0.687052845954895,0.512897253036499
195,0.687052845954895,0.512897253036499
196,0.3863665163516998,0.4235357642173767
197,0.3863665163516998,0.4235357642173767
198,0.3863665163516998,0.4235357642173767
199,0.3863665163516998,0.4235357642173767
200,0.385546326637268,0.3853870034217834
201,0.385546326637268,0.3853870034217834
202,0.385546326637268,0.3853870034217834
203,0.385546326637268,0.3853870034217834
204,0.9413395524024964,0.8666759133338928
205,0.9413395524024964,0.8666759133338928
206,0.9413395524024964,0.8666759133338928
207,0.9413395524024964,0.8666759133338928
208,0.8408284783363342,0.9971885085105896
209,0.8408284783363342,0.9971885085105896
210,0.8408284783363342,0.9971885085105896
211,0.8408284783363342,0.9971885085105896
212,0.1584517955780029,0.0772498622536659
213,0.1584517955780029,0.0772498622536659
214,0.1584517955780029,0.0772498622536659
215,0.1584517955780029,0.0772498622536659
216,0.1441514790058136,0.1952517479658126
217,0.1441514790058136,0.1952517479658126
218,0.1441514790058136,0.1952517479658126
219,0.1441514790058136,0.1952517479658126
220,0.1702999472618103,0.1836266368627548
221,0.1702999472618103,0.1836266368627548
222,0.1702999472618103,0.1836266368627548
223,0.1702999472618103,0.1836266368627548
224,0.5764753222465515,0.4944314062595367
225,0.5764753222465515,0.4944314062595367
226,0.5764753222465515,0.4944314062595367
227,0.5764753222465515,0.4944314062595367
228,0.4273197650909424,0.3340857923030853
229,0.4273197650909424,0.3340857923030853
230,0.4273197650909424,0.3340857923030853
231,0.4273197650909424,0.3340857923030853
232,0.0398747771978378,0.0245690084993839
233,0.0398747771978378,0.0245690084993839
234,0.0398747771978378,0.0245690084993839
235,0.0398747771978378,0.0245690084993839
236,0.0877731889486312,0.0597862787544727
237,0.0877731889486312,0.0597862787544727
238,0.0877731889486312,0.0597862787544727
239,0.0877731889486312,0.0597862787544727
240,0.13982854783535,0.0787736028432846
241,0.13982854783535,0.0787736028432846
242,0.13982854783535,0.0787736028432846
243,0.13982854783535,0.0787736028432846
244,0.3425207138061523,0.3953048884868622
245,0.3425207138061523,0.3953048884868622
246,0.3425207138061523,0.3953048884868622
247,0.3425207138061523,0.3953048884868622
248,0.4859807789325714,0.665244996547699
249,0.4859807789325714,0.665244996547699
250,0.4859807789325714,0.665244996547699
251,0.4859807789325714,0.665244996547699
252,0.8259424567222595,0.1120826974511146
253,0.8259424567222595,0.1120826974511146
254,0.8259424567222595,0.1120826974511146
255,0.8259424567222595,0.1120826974511146
256,0.7485918402671814,0.7381682991981506
257,0.7485918402671814,0.7381682991981506
258,0.7485918402671814,0.7381682991981506
259,0.7485918402671814,0.7381682991981506
260,0.7496066093444824,0.4739975035190582
261,0.7496066093444824,0.4739975035190582
262,0.7496066093444824,0.4739975035190582
263,0.7496066093444824,0.4739975035190582
264,0.0746894776821136,0.0776539891958236
265,0.0746894776821136,0.0776539891958236
266,0.0746894776821136,0.0776539891958236
267,0.0746894776821136,0.0776539891958236
268,0.3196689188480377,0.3475604355335235
269,0.3196689188480377,0.3475604355335235
270,0.3196689188480377,0.3475604355335235
271,0.3196689188480377,0.3475604355335235
272,0.1883085966110229,0.1854458004236221
273,0.1883085966110229,0.1854458004236221
274,0.1883085966110229,0.1854458004236221
275,0.1883085966110229,0.1854458004236221
276,0.0392596311867237,0.0176207013428211
277,0.0392596311867237,0.0176207013428211
278,0.0392596311867237,0.0176207013428211
279,0.0392596311867237,0.0176207013428211
280,0.8681067824363708,0.7748348712921143
281,0.8681067824363708,0.7748348712921143
282,0.8681067824363708,0.7748348712921143
283,0.8681067824363708,0.7748348712921143
284,0.4809530973434448,0.2485109716653823
285,0.4809530973434448,0.2485109716653823
286,0.4809530973434448,0.2485109716653823
287,0.4809530973434448,0.2485109716653823
288,0.0589396171271801,0.9474965929985046
289,0.0589396171271801,0.9474965929985046
290,0.0589396171271801,0.9474965929985046
291,0.0589396171271801,0.9474965929985046
292,0.0626304447650909,0.0216909013688564
293,0.0626304447650909,0.0216909013688564
294,0.0626304447650909,0.0216909013688564
295,0.0626304447650909,0.0216909013688564
296,0.0104303266853094,0.0078807985410094
