bb_idx,MT_Neoag
250,13.16998
251,13.16998
252,13.16998
253,13.16998
254,13.16998
255,13.16998
256,61.117504
257,61.117504
258,61.117504
259,61.117504
260,61.117504
261,61.117504
262,61.117504
263,61.117504
264,61.117504
265,61.117504
266,61.117504
267,61.117504
268,61.117504
269,61.117504
270,61.117504
271,61.117504
272,100.354785
273,100.354785
274,100.354785
275,100.354785
276,61.117504
277,61.117504
278,61.117504
279,61.117504
280,61.117504
281,61.117504
282,61.117504
283,61.117504
284,61.117504
285,61.117504
286,61.117504
287,61.117504
288,71.789602
289,71.789602
290,71.789602
291,34.773693
292,34.773693
293,34.773693
294,34.773693
295,34.773693
296,34.773693
297,71.789602
298,71.789602
299,71.789602
300,34.773693
301,34.773693
302,34.773693
303,125.082993
304,125.082993
305,125.082993
306,125.082993
307,125.082993
308,125.082993
309,142.385411
310,142.385411
311,142.385411
312,1.933884
313,1.933884
314,1.933884
315,1.933884
316,1.933884
317,1.933884
318,39.644072
319,39.644072
320,39.644072
321,1.933884
322,1.933884
323,1.933884
324,22.440171
325,22.440171
326,22.440171
327,22.440171
328,22.440171
329,22.440171
330,37.532123
331,37.532123
332,37.532123
333,22.440171
334,22.440171
335,22.440171
336,13.16998
337,13.16998
338,13.16998
339,13.16998
340,13.16998
341,13.16998
342,13.16998
343,13.16998
344,13.16998
345,13.16998
346,13.16998
347,13.16998
348,13.16998
349,13.16998
350,13.16998
351,43.318294
352,43.318294
353,43.318294
354,13.16998
355,13.16998
356,13.16998
357,13.16998
358,13.16998
359,13.16998
360,13.16998
361,13.16998
362,13.16998
363,13.16998
364,13.16998
365,13.16998
366,13.16998
367,13.16998
368,13.16998
369,13.16998
370,13.16998
371,13.16998
372,13.16998
373,13.16998
374,13.16998
375,13.16998
376,13.16998
377,13.16998
378,13.16998
379,13.16998
380,13.16998
381,13.16998
382,13.16998
383,13.16998
384,1.933884
385,1.933884
386,1.933884
387,1.933884
388,1.933884
389,1.933884
390,1.933884
391,1.933884
392,1.933884
393,1.933884
394,1.933884
395,1.933884
396,1.933884
397,1.933884
398,1.933884
