bb_idx,MT_MHCSeqNet,WT_MHCSeqNet
389,0.8131931,0.45338434
390,0.3224612,0.13129476
391,0.92716944,0.76253724
392,0.8260328,0.49859837
393,0.24326918,0.12674338
394,0.9839167,0.90535855
395,0.24482167,0.024960816
396,0.941517,0.7272527
397,0.92219293,0.8037471
398,0.7994671,0.6858177
399,0.9595908,0.96878386
400,0.95957613,0.8274596
401,0.9208137,0.8000679
402,0.7190821,0.4644361
403,0.80885327,0.88242054
404,0.44683346,0.6520245
405,0.22060937,0.12064281
406,0.68004346,0.61093765
407,0.34425935,0.24647862
408,0.4780325,0.38680428
409,0.67247313,0.7168273
410,0.7662652,0.7967012
411,0.3793381,0.28716004
412,0.75588256,0.6530074
413,0.66022,0.6296557
414,0.4615753,0.33226603
415,0.9341972,0.7334855
416,0.4204542,0.32570606
417,0.2447927,0.14226526
418,0.33732092,0.21555132
419,0.25160435,0.14570946
420,0.20907366,0.13601378
421,0.97939444,0.9457284
422,0.6884967,0.30276847
423,0.25971437,0.20581159
424,0.76452816,0.6015614
425,0.9089249,0.7871021
426,0.28369966,0.41101924
427,0.47651443,0.567822
428,0.4140306,0.11522725
429,0.34647706,0.14544794
430,0.82956517,0.98510945
431,0.4479343,0.44395405
432,0.9541397,0.66857684
433,0.90192664,0.61062276
434,0.33578166,0.6963093
435,0.99997604,0.9961929
436,0.9988706,0.99904644
437,0.99837255,0.7890518
438,0.43566477,0.45093936
439,0.8123564,0.6221161
440,0.0741739,0.019339085
441,0.9997606,0.99845874
442,0.8727156,0.8311357
443,0.9399742,0.9003619
444,0.9921629,0.98429656
445,0.8966098,0.7725304
446,0.4186937,0.35079044
447,0.97770727,0.95428765
448,0.9989557,0.99937785
449,0.84590834,0.7527089
450,0.997514,0.99458945
451,0.8487484,0.6895586
452,0.89859855,0.67499954
453,0.99716955,0.9916321
454,0.9991556,0.9990374
455,0.91384995,0.8512137
456,0.99025035,0.9691844
457,0.47310558,0.21394962
458,0.029775381,0.0036855042
459,0.9993436,0.9982666
460,0.9399972,0.9449724
461,0.9134068,0.7378658
462,0.9620117,0.9959136
463,0.5937954,0.55763197
464,0.41018704,0.1784395
465,0.87414646,0.8557279
466,0.9791969,0.98808193
467,0.688085,0.6219789
468,0.4198895,0.80354464
469,0.6614308,0.45256862
470,0.48460862,0.19680282
471,0.956158,0.9969873
472,0.91152346,0.94531345
473,0.8976345,0.8375871
474,0.9905827,0.99701095
475,0.96027553,0.90537614
476,0.7177171,0.9505936
477,0.98922765,0.9940467
478,0.9987296,0.99939257
479,0.9554211,0.99166566
480,0.7256516,0.8603684
481,0.8686528,0.8109595
482,0.9860014,0.9424683
483,0.98840606,0.91194737
484,0.99087733,0.99654067
485,0.8092184,0.68126154
486,0.7889817,0.6134358
487,0.9800793,0.9597951
488,0.9997865,0.999984
489,0.99490446,0.9967171
490,0.9929748,0.995219
491,0.9585897,0.99124193
492,0.89429927,0.89877117
493,0.94523907,0.90076154
494,0.9441625,0.9387956
495,0.94750774,0.9481223
496,0.998554,0.9983659
497,0.88149595,0.8527819
498,0.9810841,0.97041166
499,0.98383224,0.98608935
500,0.9948485,0.99328136
501,0.99692976,0.9967307
