bb_idx,MT_MHCnuggets,WT_MHCnuggets
644,-33270.07,-32682.19
645,-35849.08,-34526.71
646,-34859.25,-34360.71
647,-35639.92,-35741.89
648,-5439.75,-5446.17
649,-41505.88,-41037.58
650,-30341.48,-31448.53
651,-34745.07,-33861.73
652,-33598.91,-31473.23
653,-33893.55,-33739.8
654,-5460.11,-5455.91
655,-37741.86,-36006.33
656,-31492.05,-31378.36
657,-36271.11,-34379.28
658,-22710.18,-25223.48
659,-31218.29,-32263.83
660,-5465.34,-5466.58
661,-41018.51,-41390.58
662,-35701.98,-34845.23
663,-34933.27,-32741.05
664,-26554.64,-32294.48
665,-34037.45,-35127.25
666,-5469.52,-5469.07
667,-40550.87,-38766.52
668,-31728.34,-34664.04
669,-33994.52,-33891.98
670,-4744.19,-8926.81
671,-29255.63,-30642.67
672,-5460.3,-5435.08
673,-35471.76,-36378.09
674,-27624.89,-22745.53
675,-33027.88,-28540.23
676,-11268.83,-4348.87
677,-27878.13,-27869.74
678,-5492.4,-5629.01
679,-37582.16,-37321.56
680,-25334.73,-26172.0
681,-29828.43,-33342.91
682,-2592.76,-901.15
683,-11799.53,-11753.98
684,-5475.61,-5475.12
685,-36210.2,-36482.98
686,-34121.98,-32688.57
687,-37168.96,-36997.49
688,-22237.02,-22905.56
689,-30544.5,-29304.48
690,-5453.92,-5453.73
691,-37825.61,-36937.08
692,-26856.28,-23960.91
693,-20584.2,-19230.2
694,-41957.87,-41436.57
695,-35267.21,-33567.64
696,-5493.44,-5491.24
697,-22941.02,-19804.52
698,-35942.27,-35165.51
699,-36159.38,-35578.97
700,-40300.01,-39674.39
701,-36619.64,-34772.41
702,-5478.62,-5486.72
703,-28352.66,-28076.28
704,-31420.3,-29711.71
705,-32886.86,-33424.48
706,-34014.38,-34366.92
707,-37858.79,-36998.26
708,-5489.49,-5486.37
709,-6927.99,-17501.0
710,-30245.65,-25133.11
711,-29303.82,-30509.31
712,-24833.36,-26217.41
713,-33307.62,-29689.91
714,-5445.79,-5443.11
715,-20536.07,-17376.96
716,-15539.81,-10399.21
717,-9777.59,-8071.45
718,-37880.84,-36110.65
719,-31904.78,-30529.05
720,-5439.49,-5448.87
721,-11031.96,-32389.85
722,-32644.23,-19238.03
723,-30788.81,-33275.57
724,-10115.44,-5600.49
725,-31934.25,-36431.61
726,-5446.6,-5387.92
727,-23315.44,-23365.08
728,-21558.68,-33215.85
729,-36671.36,-36705.67
730,-22856.64,-37564.76
731,-34736.99,-35975.63
732,-5477.38,-5474.82
733,-34716.61,-37769.67
734,-10988.1,-24752.35
735,-31171.47,-31216.86
736,-29322.45,-38935.51
737,-35370.55,-36171.09
738,-5429.44,-5425.88
739,-23914.38,-32805.11
740,-26396.76,-35442.37
741,-32760.08,-31986.91
742,-17393.01,-25850.66
743,-35051.95,-34584.64
744,-5431.66,-5424.06
745,-5258.5,-17487.11
746,-30745.48,-35126.61
747,-30956.81,-31812.83
748,-27269.57,-27449.76
749,-37542.62,-37396.61
750,-5422.98,-5427.85
751,-149.28,-22510.42
752,-33337.88,-36035.38
753,-21308.76,-32791.08
754,-1944.44,-4288.06
755,-32233.7,-33400.53
756,-5430.81,-5443.26
757,-34446.1,-38741.43
758,-25635.11,-31480.54
759,-21622.13,-27025.83
760,-162.49,-1832.73
761,-30795.31,-31834.23
762,-5446.18,-5448.06
763,-37015.23,-39207.75
764,-17217.3,-23515.75
765,-114.3,-6593.49
766,-18834.75,-33544.76
767,-34545.69,-35947.52
768,-5428.96,-5435.01
769,-13585.75,-34973.49
770,-32741.75,-21609.72
771,-27844.65,-23080.38
772,-29965.94,-16869.05
773,-33177.21,-34141.98
774,-5432.52,-5445.1
775,-67.47,-24.79
776,-29773.92,-24937.09
777,-30865.3,-32848.06
778,-30359.59,-20590.02
779,-34088.49,-30850.46
780,-5434.6,-5438.52
781,-21269.22,-27945.26
782,-8683.2,-15915.78
783,-34411.54,-34745.28
784,-13078.1,-17415.16
785,-34526.3,-35786.25
786,-5433.45,-5436.28
787,-19995.87,-24738.13
788,-22131.28,-21003.47
789,-33453.93,-34142.73
790,-5791.89,-14670.36
791,-26326.72,-27919.54
792,-5456.22,-5457.67
793,-23097.97,-29051.45
794,-12957.93,-19333.27
795,-36172.14,-36606.94
796,-26863.6,-28701.27
797,-36225.48,-35305.56
798,-5444.34,-5446.79
799,-1794.45,-17966.27
800,-7980.09,-17684.87
801,-31808.53,-32599.07
802,-29226.89,-29529.03
803,-39026.29,-38725.56
804,-5423.16,-5423.61
805,-12941.42,-29793.67
806,-23936.63,-30595.4
807,-35841.64,-35716.53
808,-38480.01,-41226.75
809,-37226.82,-37345.93
810,-5430.31,-5430.46
811,-30320.2,-29911.67
812,-26664.51,-21372.52
813,-28702.61,-27892.68
814,-28583.57,-36860.36
815,-37785.91,-39014.7
816,-5440.37,-5439.94
817,-30756.77,-1294.58
818,-8512.72,-29646.15
819,-32878.36,-35896.49
820,-5960.08,-20973.17
821,-26415.29,-29045.75
822,-5431.59,-5421.72
823,-22662.41,-26899.04
824,-32093.86,-32313.31
825,-33125.43,-33834.62
826,-835.31,-551.62
827,-22399.49,-16558.78
828,-5432.46,-5433.54
829,-35365.69,-27722.01
830,-28218.45,-14119.57
831,-33946.74,-34979.48
832,-15864.28,-7365.79
833,-37012.01,-35694.28
834,-5466.99,-5454.65
835,-3873.14,-4783.09
836,-19203.84,-5211.49
837,-28884.55,-27985.18
838,-5818.91,-4899.53
839,-33685.98,-33574.57
840,-5457.38,-5452.42
841,-41653.76,-37045.65
842,-33570.42,-18600.52
843,-29831.16,-26219.07
844,-31047.84,-23664.17
845,-38338.98,-37663.43
846,-5466.7,-5439.01
847,-31004.75,-10.85
848,-36677.55,-27706.94
849,-32355.21,-26662.09
850,-19311.19,-9378.79
851,-38333.97,-37087.57
852,-5447.71,-5447.67
853,-37393.93,-20318.48
854,-27925.51,-25946.98
855,-26548.45,-21889.26
856,-30153.69,-12540.5
857,-26056.83,-20608.52
858,-5453.22,-5455.16
859,-36763.33,-33372.01
860,-22262.06,-23817.34
861,-17297.59,-19149.3
862,-14293.29,-59.82
863,-34079.53,-28278.89
864,-5437.75,-5463.47
865,-4481.34,-13402.34
866,-18414.74,-31504.48
867,-728.62,-22344.44
868,-7479.62,-31356.5
869,-28426.26,-35654.0
870,-5469.41,-5443.02
871,-33378.38,-27728.11
872,-28956.48,-31097.06
873,-29147.66,-20765.26
874,-26811.27,-32481.18
875,-29566.82,-33852.76
876,-5457.2,-5462.55
877,-22684.96,-11386.64
878,-27859.25,-32398.1
879,-26795.95,-27303.28
880,-17227.54,-23984.25
881,-28500.32,-33855.34
882,-5449.01,-5452.37
883,-36344.24,-38374.11
884,-33631.51,-36113.75
885,-32235.94,-28413.25
886,-20597.07,-21555.44
887,-31374.51,-35070.01
888,-5441.36,-5440.36
889,-33648.95,-34541.01
890,-33394.02,-35088.93
891,-30990.13,-29695.27
892,-31767.54,-26876.3
893,-36419.11,-38538.22
894,-5485.63,-5451.02
895,-34162.78,-35622.55
896,-31116.44,-33094.38
897,-29580.63,-29817.8
898,-27979.87,-36738.98
899,-35477.85,-36524.75
900,-5450.0,-5453.35
901,-35044.67,-37069.57
902,-36776.99,-35780.83
903,-35455.48,-10942.61
904,-35221.42,-40755.72
905,-37424.52,-38340.93
906,-5454.78,-5457.97
907,-17820.83,-31586.38
908,-26255.96,-25334.96
909,-11236.48,-10039.16
910,-9274.75,-36498.46
911,-27159.24,-34477.75
912,-5452.55,-5472.44
913,-4560.43,-403.94
914,-33215.9,-28651.6
915,-27715.63,-19096.84
916,-20473.57,-15452.35
917,-34114.18,-32071.7
918,-5454.44,-5453.32
919,-2543.72,-1193.95
920,-18696.78,-26551.76
921,-27918.98,-34148.85
922,-11106.38,-17941.27
923,-29684.74,-26598.96
924,-5438.37,-5440.4
925,-539.1,-2197.03
926,-28651.57,-31433.21
927,-33166.52,-33628.91
928,-29218.93,-33662.07
929,-34650.26,-34311.77
930,-5451.96,-5458.28
931,-1831.53,-4922.84
932,-25163.78,-31663.21
933,-30480.55,-29848.58
934,-5811.93,-16261.15
935,-30888.45,-31143.49
936,-5468.4,-5470.88
937,-16786.05,-25906.17
938,-1856.7,-28267.43
939,-26163.62,-27700.16
940,-11021.67,-19023.58
941,-34344.93,-34359.13
942,-5439.78,-5434.98
943,-21246.51,-28705.3
944,-21867.07,-33390.31
945,-7901.36,-11438.22
946,-25219.43,-24778.9
947,-31261.74,-30462.26
948,-5437.35,-5436.37
949,-37622.24,-37597.35
950,-3795.39,-5829.4
951,-6752.83,-12951.62
952,-12662.43,-21781.32
953,-31604.2,-29239.34
954,-5442.09,-5449.27
955,-29856.89,-37139.47
956,-1343.06,-3845.67
957,-3758.74,-13011.08
958,-23812.25,-37143.26
959,-35956.69,-35573.32
960,-5440.97,-5434.61
961,-14317.0,-2929.35
962,-32837.78,-21598.07
963,-31497.14,-14317.76
964,-9829.3,-6113.26
965,-35703.27,-30214.28
966,-5459.57,-5477.03
967,-18297.23,-9629.86
968,-26688.14,-21546.74
969,-14402.43,-17967.25
970,-1619.31,-1135.86
971,-16271.78,-9542.19
972,-5511.95,-5503.75
973,-23996.23,-18831.48
974,-25428.29,-25282.57
975,-30867.96,-31087.32
976,-165.83,-1268.65
977,-4649.55,-3200.67
978,-5437.07,-5436.63
979,-13432.36,-6354.51
980,-34102.58,-32500.95
981,-36392.56,-36405.46
982,-30191.52,-26536.73
983,-35023.48,-30024.43
984,-5435.89,-5439.14
985,-35823.85,-29711.09
986,-28584.39,-25341.4
987,-33990.11,-32958.8
988,-27374.94,-30011.16
989,-31842.27,-29624.97
990,-5452.23,-5451.69
991,-10968.71,-4013.14
992,-26498.64,-22961.87
993,-34845.0,-34394.44
994,-21104.58,-19993.58
995,-31419.0,-27660.81
996,-5431.76,-5439.87
997,-11318.02,-10750.52
998,-19061.5,-8051.84
