bb_idx,MT_MUNIS,WT_MUNIS
297,0.7794557213783264,0.5435057282447815
298,0.0369759015738964,0.0205960031598806
299,0.0093644084408879,0.0040954323485493
300,0.015255331993103,0.0105291651561856
301,0.0214076470583677,0.0086640547960996
302,0.010967249982059,0.0028329154010862
303,0.0193099975585937,0.0227550733834505
304,0.0028080244082957,0.0024322401732206
305,0.0014297829475253,0.0011167993070557
306,0.0162194930016994,0.0246046744287014
307,0.0009771770564839,0.0006187983090057
308,0.0006857702392153,0.0006962252082303
309,0.0489224083721637,0.0481906421482563
310,0.0016565667465329,0.0029856346081942
311,0.0027825231663882,0.0045015579089522
312,0.1116127520799636,0.0351907312870025
313,0.02389757335186,0.000894687953405
314,0.0488609634339809,0.0007739385473541
315,0.1082115769386291,0.1642929762601852
316,0.0913948565721511,0.0749627575278282
317,0.0018985259812325,0.0016595773631706
318,0.3257315158843994,0.2417359054088592
319,0.0016295590903609,0.0012742794351652
320,0.002737546339631,0.0013113627210259
321,0.0286857075989246,0.020128209143877
322,0.0006116841104812,0.0011663644108921
323,0.0104163642972707,0.0062480764463543
324,0.044756531715393,0.0247057080268859
325,0.0028236072976142,0.003416069317609
326,0.003442385001108,0.0028299044352024
327,0.1155375242233276,0.0925658494234085
328,0.0087369885295629,0.0167730562388896
329,0.0008227016078308,0.0010869936086237
330,0.0358335264027118,0.0265956576913595
331,0.0003175203455612,0.0007312500383704
332,0.0001578541123308,0.0003176339378114
333,0.1352775245904922,0.0975146442651748
334,0.0129083720967173,0.0085920523852109
335,0.0040374943055212,0.0042406218126416
336,0.0462711229920387,0.0422916263341903
337,0.0424268245697021,0.0110098617151379
338,0.0097086234018206,0.0014499451499432
339,0.0436538755893707,0.0420942530035972
340,0.0020817960612475,0.0018560870084911
341,0.000544250186067,0.0007992318714968
342,0.1872772872447967,0.1038974747061729
343,0.0154758198186755,0.0109691806137561
344,0.0050717648118734,0.0055652069859206
345,0.2215112745761871,0.1307454109191894
346,0.0398837178945541,0.0225356742739677
347,0.0295443031936883,0.0253764279186725
348,0.2294762581586837,0.1820387691259384
349,0.05685306340456,0.0525865629315376
350,0.0246616471558809,0.0239635836333036
351,0.1664918959140777,0.1281463205814361
352,0.0995137840509414,0.0809585973620414
353,0.0036049529444426,0.0031142665538936
354,0.1435666233301162,0.1208411306142807
355,0.0045755812898278,0.0026566004380583
356,0.0006255519692786,0.0006172399735078
357,0.1066047698259353,0.1823199838399887
358,0.3759881258010864,0.4462501406669616
359,0.0173820294439792,0.0202401001006364
360,0.1961613744497299,0.3280948400497436
361,0.0536437220871448,0.0917457491159439
362,0.0070521412417292,0.00442670378834
363,0.1233882457017898,0.1089858263731002
364,0.0047687897458672,0.0026658324059098
365,0.0038355500437319,0.0010440713958814
366,0.0527663007378578,0.0313832983374595
367,0.007351045962423,0.0018365221330896
368,0.0012912575621157,0.0008359629428014
369,0.0485240742564201,0.0250341892242431
370,0.0053164358250796,0.001759922131896
371,0.0007971275481395,0.0005897394730709
372,0.0096415234729647,0.0064802793785929
373,0.0022689974866807,0.0007521304651163
374,0.0013723991578444,0.0003759612445719
375,0.0074524553492665,0.0061512887477874
376,0.0010451967827975,0.001845940714702
377,0.000656618445646,0.0002785836404655
378,0.0037720918189734,0.0040282472036778
379,0.0004223170690238,0.0003090151003561
380,0.0118805663660168,0.0001814137358451
381,0.0225537475198507,0.0168074760586023
382,0.0238922778517007,0.0138345686718821
383,0.0483379065990448,0.0053590191528201
384,0.0567781552672386,0.0225560255348682
385,0.0072207683697342,0.0011956869857385
386,0.0011169801000505,0.0002480166731402
387,0.037004929035902,0.0257315374910831
388,0.0021031831856817,0.0025040102191269
389,0.0010123618412762,0.0008516553789377
390,0.0520125217735767,0.0375471748411655
391,0.3300947546958923,0.1261426210403442
392,0.0288109742105007,0.0048947283066809
393,0.0649835020303726,0.046957828104496
394,0.0291777439415454,0.0056960461661219
395,0.0156092643737792,0.0024009353946894
396,0.150466650724411,0.0481437928974628
397,0.0005834961193613,0.0004271446669008
398,0.0007080722716636,0.0003878537099808
399,0.0682135596871376,0.0606943890452384
400,0.0010176020441576,0.0008135262760333
401,0.0035605244338512,0.0024246866814792
402,0.0133786024525761,0.0135208312422037
403,0.0009425376774743,0.0010295446263626
404,0.0015964519698172,0.0014909144956618
405,0.0415003895759582,0.0251358933746814
406,0.0044730682857334,0.0042877048254013
407,0.0051466091535985,0.0017934290226548
408,0.0015267501585185,0.0014131183270365
409,0.0002137241244781,0.0002481279079802
410,0.0041147344745695,0.0039210142567753
411,0.0085234455764293,0.0062806555069983
412,0.0005487416638061,0.0004352085234131
413,0.0007161435787566,0.0006092998082749
414,0.0210753343999385,0.0199101753532886
415,0.0121698379516601,0.0084051918238401
416,0.0005281796329654,0.0006152373971417
417,0.0084803821519017,0.0072976415976881
418,0.0006085418281145,0.0003700223460327
