bb_idx,MT_Seq2Neo,WT_Seq2Neo
392,0.884838,0.895735
393,0.601383,0.669596
394,0.726155,0.747402
395,0.832817,0.847479
396,0.716738,0.65551
397,0.766339,0.73091
398,0.876076,0.836925
399,0.762865,0.740439
400,0.777676,0.770612
401,0.879735,0.877389
402,0.700268,0.740049
403,0.713251,0.735811
404,0.833122,0.871803
405,0.677328,0.70636
406,0.745962,0.763581
407,0.880585,0.905267
408,0.737117,0.78071
409,0.744677,0.750228
410,0.859571,0.84829
411,0.562343,0.610962
412,0.67984,0.698943
413,0.802988,0.804877
414,0.473987,0.410562
415,0.711345,0.687528
416,0.848636,0.814532
417,0.696306,0.726637
418,0.797654,0.801155
419,0.915505,0.913446
420,0.723922,0.773127
421,0.753269,0.762543
422,0.869475,0.865496
423,0.634666,0.651375
424,0.727079,0.726642
425,0.826371,0.817138
426,0.734762,0.724911
427,0.762574,0.761162
428,0.894485,0.89593
429,0.724487,0.744932
430,0.717962,0.733466
431,0.858417,0.877831
432,0.209309,0.215035
433,0.619594,0.671308
434,0.786103,0.789702
435,0.689201,0.611017
436,0.896295,0.892063
437,0.87575,0.883387
438,0.360468,0.560308
439,0.67243,0.693086
440,0.790657,0.796658
441,0.725146,0.75435
442,0.893403,0.861109
443,0.873729,0.848352
444,0.480075,0.441078
445,0.707467,0.65173
446,0.877636,0.829822
447,0.852056,0.794983
448,0.945969,0.909979
449,0.934902,0.901656
450,0.668936,0.706081
451,0.800138,0.788867
452,0.93508,0.90398
453,0.901499,0.870355
454,0.973723,0.962083
455,0.970795,0.957343
456,0.166049,0.50771
457,0.699127,0.785243
458,0.834616,0.878971
459,0.737628,0.835855
460,0.936681,0.956022
461,0.923544,0.946106
462,0.135089,0.520243
463,0.466016,0.714908
464,0.753202,0.856287
465,0.51013,0.81189
466,0.891832,0.926636
467,0.886177,0.911619
468,0.126283,0.335922
469,0.619936,0.738345
470,0.822577,0.877178
471,0.629839,0.801508
472,0.930029,0.953135
473,0.924624,0.945556
474,0.308704,0.417564
475,0.719709,0.778021
476,0.886775,0.911107
477,0.837304,0.870853
478,0.955581,0.963425
479,0.947734,0.956679
480,0.118258,0.155013
481,0.604606,0.624591
482,0.701386,0.71825
483,0.398613,0.467184
484,0.917704,0.909378
485,0.903885,0.894827
486,0.083554,0.159648
487,0.678148,0.756836
488,0.751401,0.822984
489,0.376023,0.697015
490,0.942341,0.953413
491,0.930822,0.945052
492,0.23544,0.487693
493,0.720874,0.721935
494,0.884431,0.882282
495,0.82771,0.86102
496,0.95948,0.955594
497,0.951684,0.949695
498,0.472372,0.525043
499,0.656746,0.628329
500,0.870957,0.83279
501,0.846949,0.814941
502,0.939738,0.91108
503,0.935488,0.908958
504,0.431984,0.483162
505,0.610927,0.613191
506,0.759645,0.739963
507,0.742121,0.727704
508,0.888811,0.858238
509,0.8896,0.860624
510,0.474912,0.49876
511,0.623914,0.628823
512,0.763142,0.768727
513,0.714531,0.720489
514,0.847617,0.845503
515,0.817662,0.810403
516,0.225321,0.432347
517,0.710442,0.722281
518,0.79172,0.827991
519,0.671087,0.764113
520,0.925939,0.927635
521,0.9172,0.918663
522,0.718367,0.754256
523,0.825782,0.834936
524,0.921869,0.928085
525,0.890105,0.902215
526,0.972742,0.974337
527,0.96975,0.971299
528,0.401757,0.603396
529,0.657427,0.726302
530,0.799376,0.872835
531,0.762439,0.852423
532,0.917851,0.948088
533,0.910122,0.941322
534,0.534836,0.607986
535,0.728091,0.698059
536,0.862831,0.839702
537,0.819909,0.806161
538,0.946009,0.929619
539,0.937896,0.921153
540,0.271682,0.362667
541,0.703319,0.691589
542,0.807167,0.790013
543,0.710767,0.721687
544,0.928751,0.906144
545,0.91741,0.889141
546,0.172936,0.17839
547,0.590035,0.599715
548,0.756305,0.761835
549,0.429885,0.460479
550,0.895964,0.897354
551,0.884883,0.886895
552,0.226501,0.44557
553,0.656577,0.696809
554,0.800895,0.842206
555,0.736224,0.823397
556,0.910166,0.930694
557,0.901866,0.925038
558,0.471733,0.625256
559,0.720566,0.695822
560,0.828769,0.802214
561,0.804368,0.797647
562,0.932452,0.915227
563,0.916891,0.892309
564,0.272237,0.366039
565,0.579002,0.528327
566,0.748902,0.684384
567,0.695647,0.662129
568,0.879309,0.8192
569,0.8616,0.792703
570,0.369797,0.549172
571,0.64229,0.634453
572,0.829756,0.823831
573,0.796501,0.802902
574,0.924907,0.918122
575,0.915688,0.90455
576,0.691836,0.516543
577,0.771452,0.713646
578,0.876179,0.832609
579,0.838388,0.785891
580,0.941864,0.915293
581,0.9341,0.901782
582,0.683905,0.556704
583,0.784642,0.754773
584,0.887607,0.868699
585,0.844921,0.821314
586,0.942025,0.928295
587,0.934176,0.922345
588,0.605114,0.656491
589,0.755033,0.723956
590,0.848329,0.8538
591,0.838625,0.846034
592,0.931052,0.933254
593,0.920238,0.924554
594,0.31361,0.372701
595,0.660634,0.616799
596,0.7807,0.756639
597,0.709417,0.708771
598,0.890127,0.878233
599,0.882434,0.873458
600,0.351278,0.377529
601,0.622343,0.648726
602,0.810129,0.810135
603,0.768615,0.760407
604,0.927799,0.930622
605,0.92069,0.927971
606,0.442611,0.486393
607,0.650218,0.693327
608,0.76791,0.782348
609,0.74051,0.740344
610,0.864159,0.898306
611,0.863065,0.895006
612,0.619426,0.614286
613,0.698125,0.666556
614,0.846635,0.834717
615,0.79764,0.783485
616,0.916202,0.903645
617,0.903928,0.888093
618,0.684821,0.684594
619,0.761483,0.731853
620,0.867745,0.851659
621,0.837309,0.827505
622,0.935653,0.916941
623,0.928442,0.91242
624,0.268184,0.364804
625,0.742089,0.744382
626,0.845408,0.849432
627,0.774389,0.797452
628,0.92672,0.929288
629,0.916703,0.920377
630,0.62297,0.333807
631,0.76428,0.743511
632,0.867215,0.837128
633,0.829594,0.778236
634,0.931947,0.929283
635,0.924635,0.918621
636,0.555335,0.711409
637,0.764517,0.797848
638,0.868015,0.888426
639,0.833143,0.861805
640,0.951467,0.95625
641,0.944676,0.94898
642,0.695735,0.735769
643,0.701522,0.737736
644,0.846224,0.872233
645,0.816523,0.841448
646,0.911538,0.925498
647,0.905721,0.918238
648,0.533998,0.558095
649,0.654689,0.646798
650,0.789326,0.776439
651,0.732974,0.720259
652,0.890986,0.87664
653,0.876543,0.866437
654,0.701453,0.722638
655,0.750392,0.776485
656,0.879254,0.895281
657,0.844128,0.862142
658,0.926339,0.9399
659,0.912638,0.930802
660,0.48244,0.249398
661,0.798911,0.764625
662,0.88481,0.841507
663,0.818573,0.722135
664,0.954643,0.938318
665,0.948833,0.932412
666,0.697379,0.532804
667,0.772505,0.727525
668,0.865569,0.824587
669,0.839992,0.77279
670,0.942785,0.918899
671,0.935348,0.908832
672,0.291118,0.221598
673,0.697487,0.698027
674,0.841683,0.817639
675,0.785498,0.743268
676,0.936992,0.930796
677,0.923567,0.912685
678,0.366831,0.3795
679,0.730563,0.741181
680,0.842504,0.867839
681,0.784042,0.800898
682,0.940431,0.945495
683,0.932401,0.938642
684,0.705485,0.702372
685,0.797268,0.773226
686,0.895585,0.891033
687,0.858928,0.852051
688,0.960427,0.954384
689,0.957715,0.95167
690,0.551943,0.652692
691,0.70838,0.732093
692,0.829509,0.839153
693,0.783455,0.801959
694,0.922857,0.931453
695,0.909778,0.919427
696,0.453985,0.62909
697,0.620086,0.671297
698,0.758341,0.779552
699,0.699078,0.73005
700,0.836139,0.843175
701,0.830309,0.835148
702,0.50909,0.582684
703,0.620833,0.658602
704,0.735515,0.728635
705,0.704796,0.709483
706,0.834373,0.835439
707,0.835761,0.830143
708,0.580091,0.599607
709,0.62048,0.643353
710,0.743352,0.739698
711,0.720858,0.717566
712,0.843148,0.855729
713,0.850679,0.862779
714,0.642802,0.669453
715,0.679171,0.695022
716,0.75326,0.77269
717,0.737953,0.757795
718,0.870667,0.885523
719,0.86719,0.880378
720,0.454238,0.605762
721,0.709673,0.726127
722,0.850551,0.844312
723,0.800072,0.809215
724,0.91831,0.923322
725,0.903849,0.908523
726,0.744691,0.651701
727,0.777594,0.737152
728,0.886742,0.862728
729,0.868392,0.825379
730,0.958001,0.947159
731,0.952354,0.939994
732,0.758881,0.600294
733,0.798643,0.756147
734,0.880743,0.845997
735,0.860725,0.798966
736,0.949064,0.930983
737,0.943407,0.922997
738,0.703535,0.610646
739,0.716717,0.707489
740,0.818862,0.815718
741,0.803759,0.77921
742,0.887943,0.88909
743,0.880728,0.884502
744,0.446025,0.392649
745,0.61679,0.641683
746,0.789999,0.81742
747,0.758842,0.779402
748,0.87558,0.904387
749,0.868987,0.902846
750,0.5159,0.375431
751,0.673721,0.67164
752,0.852286,0.835606
753,0.820368,0.784609
754,0.940774,0.929578
755,0.93078,0.921171
756,0.264624,0.188531
757,0.670474,0.646193
758,0.774341,0.747983
759,0.715475,0.599162
760,0.880946,0.881691
761,0.859515,0.861444
762,0.155229,0.130276
763,0.651472,0.633515
764,0.78162,0.759902
765,0.610937,0.484696
766,0.918221,0.908543
767,0.90582,0.902657
768,0.184836,0.151816
769,0.649459,0.690197
770,0.820972,0.813822
771,0.743479,0.684025
772,0.929245,0.924675
773,0.922827,0.912027
774,0.119239,0.093057
775,0.664754,0.586113
776,0.835717,0.820783
777,0.682382,0.596544
778,0.950963,0.941029
779,0.943144,0.933826
780,0.286205,0.384485
781,0.82025,0.815675
782,0.896918,0.903472
783,0.868362,0.873813
784,0.971643,0.96788
785,0.967618,0.964189
786,0.13647,0.187057
787,0.746702,0.772998
788,0.854595,0.871357
789,0.737244,0.773338
790,0.960721,0.956294
791,0.955258,0.949701
792,0.249033,0.510404
793,0.787152,0.811748
794,0.888148,0.902812
795,0.8381,0.86628
796,0.965798,0.965232
797,0.962179,0.958751
798,0.353177,0.732416
799,0.745619,0.808037
800,0.890261,0.918212
801,0.851915,0.897147
802,0.959092,0.96994
803,0.954838,0.962165
804,0.403468,0.500251
805,0.631871,0.648253
806,0.808144,0.792062
807,0.75552,0.749848
808,0.887739,0.858087
809,0.886813,0.854438
810,0.575818,0.576612
811,0.668421,0.66352
812,0.798831,0.772963
813,0.762161,0.744252
814,0.878681,0.847916
815,0.874548,0.840926
816,0.29131,0.27897
817,0.688264,0.668802
818,0.823406,0.862001
819,0.774122,0.818839
