bb_idx,MT_ImmuneApp,WT_ImmuneApp
287,0.0016299188137054,3.394484519958496e-05
288,0.1598873436450958,0.0435265004634857
289,1.6242265701293945e-05,0.7722931504249573
290,1.996755599975586e-06,0.0003665685653686
291,0.0014769434928894,0.9639963507652284
292,1.8477439880371092e-06,1.519918441772461e-06
293,8.764863014221191e-05,1.665949821472168e-05
294,0.998369574546814,0.9927308559417723
295,1.3709068298339844e-06,7.748603820800781e-07
296,2.574920654296875e-05,1.6987323760986328e-06
297,0.999997854232788,0.999998927116394
298,0.9999890327453612,0.9998993873596193
299,0.999997854232788,0.9999290108680724
300,0.0003023743629455,0.0436090230941772
301,0.9992705583572388,0.9999918937683104
302,0.0061156153678894,0.9999107718467712
303,0.0004684031009674,0.2110195159912109
304,8.091330528259277e-05,0.0107024610042572
305,9.953975677490234e-06,5.036592483520508e-06
306,0.9999997615814208,0.999997615814209
307,0.9995184540748596,0.014100044965744
308,0.9802334308624268,0.9983029365539552
309,3.3408403396606445e-05,5.21540641784668e-05
310,1.6093254089355469e-06,8.851289749145508e-06
311,3.996491432189941e-05,0.0001011502899928
312,0.0950539410114288,3.248453140258789e-06
313,0.0534189641475677,2.8014183044433597e-05
314,0.8567766547203064,0.0303223133087158
315,1.0,1.0
316,0.9999860525131226,0.9999991655349731
317,0.289790004491806,0.9999890327453612
318,0.0118716359138488,0.0009073019027709
319,2.473592758178711e-05,0.000339388847351
320,0.6515407562255859,0.0002377033233642
321,0.0007576644420623,1.0401010513305664e-05
322,6.777048110961914e-05,6.896257400512695e-05
323,1.6391277313232422e-05,0.1323035657405853
324,0.9516866207122804,0.9926499128341676
325,0.9892065525054932,0.6910423636436462
326,0.0016848146915435,0.0014029443264007
327,0.7176824808120728,0.002854436635971
328,0.2197582423686981,0.4294072091579437
329,4.357099533081055e-05,0.0010195076465606
330,0.9172732830047609,0.7745847702026367
331,0.0004321038722991,0.3421045243740082
332,0.0003935098648071,9.870529174804688e-05
333,1.0,0.9999999403953552
334,1.0,1.0
335,0.9999639987945556,0.9995781183242798
336,0.7267206907272339,0.0003789663314819
337,0.8245718479156494,0.0035268366336822
338,0.9999723434448242,0.0057100057601928
339,0.001232773065567,0.0206706821918487
340,0.0002576112747192,0.0015550851821899
341,2.2411346435546875e-05,7.134675979614258e-05
342,0.0108343064785003,0.0005376040935516
343,1.1920928955078125e-06,1.341104507446289e-06
344,0.0003010630607604,0.0001224875450134
345,0.0560171902179718,2.968311309814453e-05
346,0.0020686984062194,0.0001074373722076
347,0.0001004934310913,2.193450927734375e-05
348,0.99742591381073,0.9980858564376832
349,0.9998904466629028,0.999945342540741
350,0.9999957084655762,0.9999834299087524
351,0.9999663829803468,0.999674677848816
352,0.0446718335151672,0.8785887956619263
353,0.10770845413208,0.0009530484676361
354,0.999964714050293,0.9984586238861084
355,0.0187346637248992,0.4961539506912231
356,0.9999997615814208,0.4575729966163635
357,0.2511098682880401,0.2770739197731018
358,0.6471620202064514,0.7045243978500366
359,0.9516991376876832,0.9987210631370544
360,0.1394213438034057,1.0
361,0.0012095272541046,0.9968667030334472
362,4.112720489501953e-06,0.5992457270622253
363,0.9999554753303528,1.0
364,0.9999712705612184,0.9999977350234984
365,0.9991754293441772,0.9999995231628418
366,0.9961614608764648,8.460879325866699e-05
367,6.943941116333008e-05,1.2218952178955078e-06
368,0.421750396490097,0.0001178085803985
369,0.1468435227870941,0.1174931824207305
370,0.0006338059902191,8.788704872131348e-05
371,0.7295434474945068,0.2361871600151062
372,9.09268856048584e-05,0.8110135793685913
373,2.026557922363281e-06,0.0007618857780471
374,5.066394805908203e-06,0.0002371668815612
375,0.99999737739563,0.0129870474338531
376,6.377696990966797e-06,0.0014771819114685
377,0.0009023547172546,0.0627715289592742
378,7.551908493041992e-05,0.0018064081668853
379,0.9953206777572632,0.9995275735855104
380,0.961500644683838,0.0002703964710235
381,0.0065517127513885,2.4259090423583984e-05
382,0.9313758611679076,0.0022359490394592
383,0.8771724700927734,0.0025868415832519
384,0.9999854564666748,0.999975323677063
385,0.0073863565921783,0.0003098249435424
386,3.844499588012695e-05,0.0008828341960906
387,0.9999592304229736,3.6954879760742183e-06
388,0.9999212622642516,2.8848648071289062e-05
389,0.998485267162323,2.0116567611694336e-05
390,0.0001815557479858,0.0171028077602386
391,3.37064266204834e-05,0.0081968605518341
392,0.0073705315589904,0.0001055598258972
393,0.0089597105979919,9.804964065551758e-06
394,0.6172424554824829,7.537007331848145e-05
395,1.1712312698364258e-05,6.854534149169922e-07
396,3.278255462646485e-07,0.8948671817779541
397,0.0001488327980041,0.2541888952255249
398,6.854534149169922e-07,0.0003370940685272
399,0.0030694007873535,0.9999945759773254
400,0.9981590509414672,0.0005154311656951
401,0.0034776031970977,0.0272437036037445
402,0.9999783039093018,0.4149571657180786
