bb_idx,MT_TSCAPE,WT_TSCAPE
437,0.024565,0.026265
438,0.073255,0.057047
439,0.149774,0.10868
440,0.054665,0.035337
441,0.159717,0.121794
442,0.047764,0.038517
443,0.077059,0.046593
444,0.140209,0.139698
445,0.221206,0.20189
446,0.172624,0.191579
447,0.290685,0.282532
448,0.103474,0.108312
449,0.110662,0.11905
450,0.18462,0.132125
451,0.211933,0.173707
452,0.144835,0.109945
453,0.369466,0.322771
454,0.104747,0.08308
455,0.11695,0.095252
456,0.143775,0.212913
457,0.167639,0.261059
458,0.102594,0.165588
459,0.354615,0.433461
460,0.069906,0.101587
461,0.100879,0.138653
462,0.047358,0.052408
463,0.057911,0.052356
464,0.03909,0.040312
465,0.125499,0.16283
466,0.033238,0.033945
467,0.038172,0.041642
468,0.067493,0.062353
469,0.128402,0.118337
470,0.038494,0.032319
471,0.121161,0.105448
472,0.045588,0.04571
473,0.047669,0.043178
474,0.309557,0.253074
475,0.357559,0.290109
476,0.218378,0.188991
477,0.553236,0.435073
478,0.15486,0.130838
479,0.212176,0.148168
480,0.118664,0.128214
481,0.16963,0.187416
482,0.099496,0.100001
483,0.249854,0.264627
484,0.071693,0.073129
485,0.096785,0.093604
486,0.241784,0.206851
487,0.320772,0.276469
488,0.145554,0.131394
489,0.518536,0.48406
490,0.145993,0.11375
491,0.190032,0.16244
492,0.123186,0.080758
493,0.186519,0.124411
494,0.067169,0.046473
495,0.370192,0.270662
496,0.074916,0.054292
497,0.076156,0.053231
498,0.13416,0.127223
499,0.213586,0.216742
500,0.090923,0.100689
501,0.351489,0.331417
502,0.079018,0.076897
503,0.094563,0.104062
504,0.077748,0.095372
505,0.109746,0.126296
506,0.052935,0.055457
507,0.245055,0.263564
508,0.054172,0.059358
509,0.065151,0.066398
510,0.126025,0.097062
511,0.215566,0.174957
512,0.088464,0.085657
513,0.330496,0.262584
514,0.078586,0.067806
515,0.107468,0.096419
516,0.198454,0.222825
517,0.257622,0.269531
518,0.153493,0.135478
519,0.320376,0.33932
520,0.094453,0.106148
521,0.118646,0.133004
522,0.071948,0.096073
523,0.12889,0.130594
524,0.036763,0.043994
525,0.181591,0.206916
526,0.049756,0.053023
527,0.069734,0.07094
528,0.07838,0.098499
529,0.181418,0.204425
530,0.073872,0.086388
531,0.241867,0.272361
532,0.071049,0.081689
533,0.075705,0.091714
534,0.162735,0.146922
535,0.189734,0.162508
536,0.099277,0.087111
537,0.363704,0.331631
538,0.071145,0.066195
539,0.071749,0.06175
540,0.1897,0.195213
541,0.288014,0.291735
542,0.174194,0.184411
543,0.465035,0.488646
544,0.122515,0.12675
545,0.151545,0.154931
546,0.058004,0.062092
547,0.12216,0.108759
548,0.032534,0.032477
549,0.172912,0.17019
550,0.034914,0.037815
551,0.04689,0.047138
552,0.071013,0.067821
553,0.099871,0.104802
554,0.063289,0.060051
555,0.172816,0.167288
556,0.040752,0.036123
557,0.047019,0.042241
558,0.127737,0.13379
559,0.174517,0.187452
560,0.057021,0.069447
561,0.19269,0.215939
562,0.053959,0.059298
563,0.0765,0.088397
564,0.126025,0.124729
565,0.17127,0.151891
566,0.075072,0.067743
567,0.263921,0.255993
568,0.073552,0.06985
569,0.085484,0.07642
570,0.123028,0.105888
571,0.180933,0.180347
572,0.071661,0.092098
573,0.238837,0.230438
574,0.066657,0.065257
575,0.074794,0.075493
576,0.114862,0.107445
577,0.192568,0.169166
578,0.096326,0.091821
579,0.250707,0.244859
580,0.080054,0.077449
581,0.091253,0.106144
582,0.137985,0.135839
583,0.193679,0.199671
584,0.117809,0.132177
585,0.377565,0.338028
586,0.082839,0.086665
587,0.109592,0.112695
588,0.070368,0.080996
589,0.07919,0.0965
590,0.046118,0.051936
591,0.187715,0.201381
592,0.034563,0.03454
593,0.048569,0.051655
594,0.141138,0.184303
595,0.206064,0.246306
596,0.154419,0.18088
597,0.264468,0.323866
598,0.068521,0.088855
599,0.086644,0.101289
600,0.168626,0.135409
601,0.220407,0.191947
602,0.102305,0.093422
603,0.30741,0.278323
604,0.086644,0.082495
605,0.095468,0.092223
606,0.082135,0.067065
607,0.15324,0.146115
608,0.044793,0.0411
609,0.184816,0.155998
610,0.064682,0.053636
611,0.072543,0.057771
612,0.041207,0.042546
613,0.072967,0.08789
614,0.05711,0.06723
615,0.158427,0.172504
616,0.04204,0.047882
617,0.052367,0.065347
618,0.099635,0.115463
619,0.174321,0.185548
620,0.052273,0.067041
621,0.221138,0.281517
622,0.041674,0.048334
623,0.065546,0.07706
624,0.065286,0.039294
625,0.122348,0.07292
626,0.043978,0.033075
627,0.180442,0.127179
628,0.046828,0.033709
629,0.059682,0.039089
630,0.198565,0.180953
631,0.3538,0.294013
632,0.233787,0.2288
633,0.359173,0.337856
634,0.113092,0.097435
635,0.140897,0.114854
636,0.109771,0.101171
637,0.169102,0.166404
638,0.069096,0.073143
639,0.269517,0.262685
640,0.068997,0.059954
641,0.082194,0.076401
642,0.194185,0.175644
643,0.346527,0.320237
644,0.15249,0.122905
645,0.388967,0.342817
646,0.100707,0.096364
647,0.150407,0.132101
648,0.095281,0.075593
649,0.139789,0.131769
650,0.058986,0.054657
651,0.266766,0.233789
652,0.066804,0.062465
653,0.089395,0.085872
654,0.147109,0.128876
655,0.187339,0.15174
656,0.093824,0.083803
657,0.300319,0.272873
658,0.077614,0.067799
659,0.087582,0.081587
660,0.143558,0.141907
661,0.171937,0.176398
662,0.139631,0.144071
663,0.273948,0.271189
664,0.063125,0.068748
665,0.095379,0.095223
666,0.053417,0.059181
667,0.06804,0.075439
668,0.026159,0.028071
669,0.081053,0.106825
670,0.032686,0.032133
671,0.027517,0.037725
672,0.147849,0.156152
673,0.164388,0.195317
674,0.136143,0.128544
675,0.270776,0.304133
676,0.073536,0.086057
677,0.071067,0.087628
678,0.081146,0.075997
679,0.127616,0.099637
680,0.073038,0.071849
681,0.253806,0.247069
682,0.055426,0.049282
683,0.078131,0.070802
684,0.115276,0.105798
685,0.178005,0.187301
686,0.101434,0.100673
687,0.291376,0.279675
688,0.060674,0.061681
689,0.066205,0.070901
690,0.128113,0.109014
691,0.165271,0.144509
692,0.09482,0.082695
693,0.37518,0.34691
694,0.067562,0.058683
695,0.092579,0.079141
696,0.061901,0.056151
697,0.103792,0.104345
698,0.050032,0.048614
699,0.193854,0.189331
700,0.03928,0.033807
701,0.056557,0.052374
702,0.096979,0.105944
703,0.200343,0.199925
704,0.115144,0.145821
705,0.299455,0.328815
706,0.068813,0.075081
707,0.093687,0.099203
708,0.082574,0.125607
709,0.153565,0.172007
710,0.074033,0.079504
711,0.217099,0.29386
712,0.045528,0.061376
713,0.072151,0.087766
714,0.045752,0.047497
715,0.083079,0.089731
716,0.059757,0.064739
717,0.170129,0.184029
718,0.03301,0.036117
719,0.045929,0.047822
720,0.081632,0.064552
721,0.164593,0.09616
722,0.036243,0.040376
723,0.16073,0.129479
724,0.04762,0.037811
725,0.052596,0.038514
726,0.166227,0.15879
727,0.21149,0.221591
728,0.248696,0.211689
729,0.382929,0.344638
730,0.090967,0.078185
731,0.112544,0.100457
732,0.13117,0.182246
733,0.230916,0.264331
