bb_idx,MT_ICERFIRE
1525,0.15775
1526,
1527,0.187525
1528,0.141562
1529,0.141562
1530,0.20131
1531,
1532,0.235813
1533,0.14202
1534,0.14202
1535,0.129658
1536,
1537,0.157047
1538,0.125577
1539,0.125577
1540,0.232416
1541,
1542,0.14564
1543,0.182126
1544,0.182126
1545,0.185076
1546,
1547,0.172319
1548,0.180973
1549,0.178075
1550,0.198485
1551,
1552,0.196532
1553,0.197308
1554,0.197308
1555,0.186494
1556,
1557,0.194222
1558,0.171317
1559,0.171317
1560,0.194202
1561,
1562,0.191181
1563,0.110743
1564,0.110743
1565,0.160555
1566,
1567,0.167538
1568,0.175477
1569,0.175477
1570,0.193087
1571,
1572,0.164413
1573,0.162089
1574,0.162089
1575,0.187729
1576,
1577,0.174118
1578,0.195583
1579,0.18648
1580,0.22643
1581,
1582,0.225798
1583,0.168761
1584,0.168761
1585,0.19265
1586,
1587,0.178037
1588,0.126383
1589,0.126383
1590,0.172447
1591,
1592,0.15168
1593,0.112449
1594,0.112449
1595,0.182406
1596,
1597,0.159307
1598,0.116629
1599,0.116862
1600,0.140832
1601,
1602,0.13635
1603,0.141712
1604,0.141712
1605,0.152433
1606,
1607,0.131777
1608,0.102658
1609,0.104792
1610,0.122511
1611,
1612,0.130335
1613,0.091498
1614,0.091498
1615,0.116423
1616,
1617,0.129124
1618,0.173216
1619,0.173216
1620,0.145958
1621,
1622,0.143943
1623,0.172394
1624,0.172394
1625,0.171232
1626,
1627,0.136216
1628,0.127542
1629,0.127542
1630,0.152234
1631,
1632,0.135682
1633,0.096869
1634,0.097418
1635,0.1285
1636,
1637,0.13351
1638,0.128091
1639,0.125199
1640,0.142815
1641,
1642,0.141215
1643,0.17305
1644,0.17305
1645,0.138404
1646,
1647,0.139687
1648,0.171648
1649,0.171648
1650,0.145276
1651,
1652,0.157773
1653,0.162929
1654,0.162929
1655,0.168233
1656,
1657,0.15505
1658,0.186517
1659,0.186517
1660,0.220701
1661,
1662,0.213887
1663,0.18392
1664,0.18392
1665,0.198278
1666,
1667,0.210176
1668,0.136461
1669,0.136461
1670,0.16425
1671,
1672,0.152589
1673,0.098896
1674,0.101125
1675,0.180106
1676,
1677,0.127335
1678,0.145137
1679,0.145137
1680,0.181797
1681,
1682,0.187004
1683,0.252825
1684,0.252825
1685,0.19723
1686,
1687,0.184717
1688,0.165203
1689,0.165203
1690,0.161297
1691,
1692,0.175082
