bb_idx,MT_HLAthena,WT_HLAthena
328,0.224624198509587,0.173463451841639
329,,
330,,
331,0.0174743078674914,0.016317094952683
332,,
333,,
334,0.0094878671118446,0.0025441016280941
335,,
336,,
337,0.182933166850772,0.0783295136824664
338,,
339,,
340,0.414187887786991,0.367228764750891
341,,
342,,
343,0.242754269194686,0.224504524821209
344,,
345,,
346,0.439427375959025,0.433002933901217
347,,
348,,
349,0.289261061035924,0.288264845063289
350,,
351,,
352,0.188688896824088,0.189629243386702
353,,
354,,
355,0.0388207533002262,0.0823186797322705
356,,
357,,
358,0.580648460901446,0.404397143796086
359,,
360,,
361,0.270788074698713,0.500093877232737
362,,
363,,
364,0.243395077964912,0.239516418220268
365,,
366,,
367,0.119685807192905,0.0874701630324125
368,,
369,,
370,0.281109187855489,0.085908950627264
371,,
372,,
373,0.0313883876311593,0.0325506070822788
374,,
375,,
376,0.0239436426562154,0.0197303983977892
377,,
378,,
379,0.0072798349467322,0.0081952883726545
380,,
381,,
382,0.259834943380621,0.516773566055215
383,,
384,,
385,0.0266303234125694,0.0279254422303186
386,,
387,,
388,0.0036367829943628,0.0034455131046949
389,,
390,,
391,0.811167323423756,0.754557904104392
392,,
393,,
394,0.0300832850651609,0.038347704993147
395,,
396,,
397,0.0155634064444813,0.0062576432626479
398,,
399,,
400,0.0365436862791992,0.0482702059787698
401,,
402,,
403,0.0116514601882146,0.0121666105092219
404,,
405,,
406,0.20650026689594,0.165437431811976
407,,
408,,
409,0.0105141113059492,0.0107342298187885
410,,
411,,
412,0.0477473139614126,0.0318993277097535
413,,
414,,
415,0.0380071921403416,0.0398434509329187
416,,
417,,
418,0.0348501806118293,0.043347121362846
419,,
420,,
421,0.0519140917988908,0.0483561786952325
422,,
423,,
424,0.0166753093522857,0.0239966746518298
425,,
426,,
427,0.0196627177181654,0.0309143378936117
428,,
429,,
430,0.242076371123807,0.265264912467036
431,,
432,,
433,,
434,0.0106778907865697,0.0015038288401531
435,0.0502345257144447,0.0312991428192213
436,0.0248623866161021,0.0075750068307873
437,0.106640166571985,0.0064582919630386
438,,
439,,
440,0.0189838037541348,0.0156927738237048
441,0.0908458781409233,0.132537439690592
442,0.150888834708732,0.0868439614940952
443,0.0900066275563505,0.141490251261793
444,,
445,,
446,0.0045529842678661,0.0018560884397124
447,0.0129495775139528,0.0042025744297158
448,0.0153696227226141,0.0108324943943848
449,0.0091521175243542,0.0019540912793874
450,,
451,,
452,0.0069789801805503,0.0043711881700397
453,0.0223671699634805,0.0195355474121041
454,0.0179261594410895,0.0104952110933179
455,0.0163812446433844,0.0134352208926026
456,,
457,,
458,0.0011582354541436,0.0009366436751861
459,0.0069101756681953,0.004968921116799
460,0.0318754995958039,0.0333554875855852
461,0.0756436423081646,0.0371196420837401
462,,
463,,
464,0.0048625413840151,0.0010709765786234
465,0.0098830491939932,0.0050347195496669
466,0.0392660354710339,0.0190778849256781
467,0.0191438923293996,0.0223810747283601
468,,
469,,
470,0.0155371608079198,0.0180660636214068
471,0.56694599195487,0.723799194892247
472,0.130834377976134,0.0806158147619701
473,0.221847817964024,0.273092287447717
474,,
475,,
476,0.0072752136419795,0.0033441562678389
477,0.0009168430536343,0.0004659157628945
478,0.029813586099125,0.0141652834267006
479,0.008276360509141,0.0086090703056066
480,,
481,,
482,0.342383244173187,0.0555629637355903
483,0.179131802895831,0.0125749975123553
484,0.360342914595579,0.0771799823557053
485,0.0233908381034982,0.0044818557890519
486,,
487,,
488,0.989155170652602,0.965540938907199
489,0.0180675668424455,0.021359454285832
490,0.316226311764007,0.201307975154163
491,0.0891922262872362,0.0487228006784183
492,,
493,,
494,0.0100533560945463,0.005816565788368
495,0.021380944643493,0.0130489033268532
496,0.0787268061966946,0.0792139736055914
497,0.0062009462482314,0.0022405869086368
498,,
499,,
500,0.0246915103667157,0.0270454660995812
501,0.0854143979868645,0.0568151599501208
502,0.0193336005131035,0.0105231419614534
503,0.0703674402864029,0.048760954489828
504,,
505,,
506,0.0461755389109991,0.0119124940490413
507,0.561086509645813,0.332460432641933
508,0.234516436730822,0.128542912440995
509,0.0722649875614378,0.0181623204354158
510,,
511,,
512,0.0103922138737592,0.0035266541479157
513,0.176435355397148,0.0479010356279711
514,0.0961854237442215,0.0746870624593511
515,0.0650416632001806,0.0729899428409731
516,,
517,,
518,0.0269081935775628,0.0080375300695878
519,0.0199489420900742,0.0188586275613893
520,0.0455117225200714,0.0225582662548631
521,0.0051105624792398,0.0141244189920447
522,,
523,,
524,0.0050243345216485,0.0034641424942189
525,0.0191410641655643,0.0108012215277187
526,0.159574371801379,0.0801130139631116
527,0.0059091801173862,0.0077335651552453
528,,
529,,
530,0.0054225951084137,0.0029945834323775
531,0.0845565212528325,0.0102132808054901
532,0.0438515920250211,0.0226756333995986
533,0.0372322982340241,0.0288574902120268
534,,
535,,
536,0.0010494068675067,0.000804327660581
537,0.0012426680315456,0.001576913058822
538,0.0157597754270278,0.0156371048075622
539,0.0545015386852255,0.0408880038089087
540,,
541,,
542,0.001995899093001,0.0012238072220093
543,0.0052421161149848,0.0031141935982709
544,0.0213387581092926,0.0235289955485819
545,0.481599374860525,0.425116594254764
546,,
547,,
548,0.0007369215499541,0.0009691603339484
549,0.0051514558187692,0.003036935991137
550,0.064423973130114,0.0382025224916611
551,0.0151805052288789,0.0112686254918824
552,,
553,,
554,0.008223472090847,0.0024750064200311
555,0.0169670917354071,0.0097698896102277
556,0.0847575467260968,0.0461262320291199
557,0.0354926196728937,0.0094908745560031
558,,
559,,
560,0.374490435918172,0.327567628564106
561,0.0323850722013352,0.0173763634245713
562,0.628260299542712,0.576226634314905
563,0.139919243564105,0.137337345272923
564,,
565,,
566,0.0179500822582567,0.0099889607230175
567,0.0062886511573095,0.0089885588106375
568,0.16359494098902,0.0943310445038757
569,0.0023074410698326,0.0030916518057589
570,,
571,,
572,0.006146664613334,0.0036930762404356
573,0.0165951159840915,0.0117505072564301
574,0.024540350523441,0.0241811551690464
575,0.0449875489079406,0.0238676484709787
576,,
577,,
578,0.0012367338847828,0.005858148598256
579,0.0107422570786083,0.0164477476714334
580,0.0875782439756828,0.207079710837247
581,0.0156277410517861,0.15476667529179
582,,
583,,
584,0.0002204170482867,0.0002878187840628
585,0.002652562754358,0.0032745962725231
586,0.0578193490160629,0.0952751220462637
587,0.0033242063285747,0.0038365615191651
588,,
589,,
590,0.0352714724172579,0.103179031113784
591,0.117558558163647,0.191138593873216
592,0.302415581202755,0.24487148287913
593,0.0516599866569676,0.150601482944977
594,,
595,,
596,0.0006791519331702,0.0008443796667911
597,0.0011551892265641,0.001616180916335
598,0.0067519055437717,0.0112468330421608
599,0.004710208319577,0.0044398484471862
600,,
601,,
602,0.0021445405871014,0.0035417230510221
603,0.0036263394336856,0.0076772485231938
604,0.0063776648453414,0.0079595415665405
605,0.0122629562887596,0.0353236718853522
606,,
607,,
608,0.0020029449558731,0.0047910211853983
609,0.112932865279921,0.239415579317655
610,0.696450565093093,0.760434040096071
611,0.0743831417523324,0.177876908063061
612,,
613,,
614,0.000961321580371,0.0013426816120158
615,0.113618779715358,0.0499078175738557
616,0.151965952126516,0.303366798928214
617,0.244737965833499,0.114073493705493
618,,
619,,
620,0.0078461084056066,0.0238306174633585
621,0.0025567701185031,0.0043578014573237
622,0.0126527133851293,0.0209981034338448
623,0.0116172038228898,0.0247307393483223
624,,
625,,
626,0.0082810940039053,0.0080671011965023
627,0.0244375275878863,0.0368946882360938
628,0.0512909004956277,0.0731548971868405
629,0.0052476752941907,0.0066756462854957
630,,
631,,
632,0.0090718630247566,0.0057498032620211
633,0.0070820804474957,0.0048508618504355
634,0.0237145528219925,0.024264745200263
635,0.003611128043494,0.0023182123196698
636,,
637,,
638,0.0116580786371237,0.0092791704242093
639,0.0138631025384206,0.0070879189012177
640,0.146923862022555,0.118623744812794
641,0.0079880039124772,0.0083809103606553
642,,
643,,
644,0.0042241446258938,0.0022369715826648
645,0.0010259445308697,0.0011802108712092
646,0.0108433525727984,0.0162442368532841
647,0.0078062632065363,0.0121523337482358
648,,
649,,
650,0.0025793045625631,0.0020465877341116
651,0.239030941218759,0.20050147083174
652,0.1163181985418,0.0778964361900257
653,0.173272667005141,0.117515085177082
654,,
655,,
656,0.000723161997055,0.000538935212003
657,0.0101678533165088,0.0050081831270492
658,0.0373099858083555,0.102887950071858
659,0.0352556130632163,0.0856093624522651
660,,
661,,
662,0.0026506152181658,0.0052312252093947
663,0.00583100636003,0.0038049089327008
664,0.0073705834117491,0.0077056925371936
665,0.0248731301198455,0.0349248877985196
666,,
667,,
668,0.0248530821939413,0.0119617380460517
669,0.0360593142983918,0.0672621911537135
670,0.0552063563143343,0.0812063478412003
