baseline,method,threshold,cost_ratio_r,c_biopsy_anchor,c_miss_anchor_usd,exp_cost_normalized,treat_all_cost,treat_none_cost,net_benefit,prevalence
A,EfficientNet-B3,0.6782,50.0,58.4,259447.0,2.946667,1.0,10.0,-0.475179,0.2
A,EfficientNet-B3,0.6831,50.0,58.4,259447.0,2.943333,1.0,10.0,-0.482392,0.2
A,EfficientNet-B3,0.6881,50.0,58.4,259447.0,2.94,1.0,10.0,-0.489728,0.2
A,EfficientNet-B3,0.693,50.0,58.4,259447.0,2.94,1.0,10.0,-0.504719,0.2
A,EfficientNet-B3,0.698,50.0,58.4,259447.0,2.94,1.0,10.0,-0.520201,0.2
A,EfficientNet-B3,0.7029,50.0,58.4,259447.0,2.93,1.0,10.0,-0.512537,0.2
A,EfficientNet-B3,0.7079,50.0,58.4,259447.0,2.93,1.0,10.0,-0.528506,0.2
A,EfficientNet-B3,0.7128,50.0,58.4,259447.0,2.92,1.0,10.0,-0.520204,0.2
A,EfficientNet-B3,0.7178,50.0,58.4,259447.0,2.92,1.0,10.0,-0.536693,0.2
A,EfficientNet-B3,0.7227,50.0,58.4,259447.0,2.916667,1.0,10.0,-0.545082,0.2
A,EfficientNet-B3,0.7277,50.0,58.4,259447.0,2.916667,1.0,10.0,-0.562562,0.2
A,EfficientNet-B3,0.7326,50.0,58.4,259447.0,2.916667,1.0,10.0,-0.580689,0.2
A,EfficientNet-B3,0.7376,50.0,58.4,259447.0,2.916667,1.0,10.0,-0.5995,0.2
A,EfficientNet-B3,0.7425,50.0,58.4,259447.0,2.916667,1.0,10.0,-0.619034,0.2
A,EfficientNet-B3,0.7475,50.0,58.4,259447.0,2.913333,1.0,10.0,-0.629467,0.2
A,EfficientNet-B3,0.7524,50.0,58.4,259447.0,2.91,1.0,10.0,-0.640184,0.2
A,EfficientNet-B3,0.7574,50.0,58.4,259447.0,2.91,1.0,10.0,-0.661607,0.2
A,EfficientNet-B3,0.7623,50.0,58.4,259447.0,2.91,1.0,10.0,-0.683923,0.2
A,EfficientNet-B3,0.7673,50.0,58.4,259447.0,3.073333,1.0,10.0,-0.710521,0.2
A,EfficientNet-B3,0.7722,50.0,58.4,259447.0,3.063333,1.0,10.0,-0.700894,0.2
A,EfficientNet-B3,0.7772,50.0,58.4,259447.0,3.06,1.0,10.0,-0.713648,0.2
A,EfficientNet-B3,0.7821,50.0,58.4,259447.0,3.06,1.0,10.0,-0.738795,0.2
A,EfficientNet-B3,0.7871,50.0,58.4,259447.0,3.06,1.0,10.0,-0.765111,0.2
A,EfficientNet-B3,0.792,50.0,58.4,259447.0,3.056667,1.0,10.0,-0.779985,0.2
A,EfficientNet-B3,0.797,50.0,58.4,259447.0,3.056667,1.0,10.0,-0.808507,0.2
A,EfficientNet-B3,0.8019,50.0,58.4,259447.0,3.053333,1.0,10.0,-0.82496,0.2
A,EfficientNet-B3,0.8069,50.0,58.4,259447.0,3.216667,1.0,10.0,-0.859344,0.2
A,EfficientNet-B3,0.8118,50.0,58.4,259447.0,3.216667,1.0,10.0,-0.892029,0.2
A,EfficientNet-B3,0.8168,50.0,58.4,259447.0,3.376667,1.0,10.0,-0.914954,0.2
A,EfficientNet-B3,0.8217,50.0,58.4,259447.0,3.37,1.0,10.0,-0.920085,0.2
A,EfficientNet-B3,0.8267,50.0,58.4,259447.0,3.53,1.0,10.0,-0.944359,0.2
A,EfficientNet-B3,0.8316,50.0,58.4,259447.0,3.523333,1.0,10.0,-0.949872,0.2
A,EfficientNet-B3,0.8366,50.0,58.4,259447.0,3.683333,1.0,10.0,-0.975711,0.2
A,EfficientNet-B3,0.8415,50.0,58.4,259447.0,3.68,1.0,10.0,-0.999414,0.2
A,EfficientNet-B3,0.8465,50.0,58.4,259447.0,3.676667,1.0,10.0,-1.02443,0.2
A,EfficientNet-B3,0.8514,50.0,58.4,259447.0,3.673333,1.0,10.0,-1.050891,0.2
A,EfficientNet-B3,0.8564,50.0,58.4,259447.0,3.67,1.0,10.0,-1.078945,0.2
A,EfficientNet-B3,0.8613,50.0,58.4,259447.0,3.833333,1.0,10.0,-1.132799,0.2
A,EfficientNet-B3,0.8663,50.0,58.4,259447.0,3.833333,1.0,10.0,-1.187059,0.2
A,EfficientNet-B3,0.8712,50.0,58.4,259447.0,3.82,1.0,10.0,-1.155294,0.2
