tau,referral_rate,sens_auto,spec_auto,missed_positive_rate,baseline,method
0.9299999999999999,0.35333333333333333,0.19444444444444445,0.9620253164556962,0.48333333333333334,D,Std VIB
0.94,0.42,0.18181818181818182,0.9574468085106383,0.45,D,Std VIB
0.95,0.51,0.1935483870967742,0.9482758620689655,0.4166666666666667,D,Std VIB
0.96,0.6066666666666667,0.2222222222222222,0.9560439560439561,0.35,D,Std VIB
0.97,0.7033333333333334,0.2608695652173913,0.9545454545454546,0.2833333333333333,D,Std VIB
0.98,0.8266666666666667,0.46153846153846156,0.9230769230769231,0.11666666666666667,D,Std VIB
0.99,0.9366666666666666,0.7142857142857143,0.8333333333333334,0.03333333333333333,D,Std VIB
0.5,0.0,0.15,0.9416666666666667,0.85,D+QCTS,Std VIB + QCTS
0.51,0.0,0.15,0.9416666666666667,0.85,D+QCTS,Std VIB + QCTS
0.52,0.0,0.15,0.9416666666666667,0.85,D+QCTS,Std VIB + QCTS
0.53,0.0,0.15,0.9416666666666667,0.85,D+QCTS,Std VIB + QCTS
0.54,0.0,0.15,0.9416666666666667,0.85,D+QCTS,Std VIB + QCTS
0.55,0.0033333333333333335,0.15,0.9456066945606695,0.85,D+QCTS,Std VIB + QCTS
0.56,0.0033333333333333335,0.15,0.9456066945606695,0.85,D+QCTS,Std VIB + QCTS
0.5700000000000001,0.0033333333333333335,0.15,0.9456066945606695,0.85,D+QCTS,Std VIB + QCTS
0.58,0.0033333333333333335,0.15,0.9456066945606695,0.85,D+QCTS,Std VIB + QCTS
0.59,0.0033333333333333335,0.15,0.9456066945606695,0.85,D+QCTS,Std VIB + QCTS
0.6,0.006666666666666667,0.13559322033898305,0.9456066945606695,0.85,D+QCTS,Std VIB + QCTS
0.61,0.006666666666666667,0.13559322033898305,0.9456066945606695,0.85,D+QCTS,Std VIB + QCTS
0.62,0.01,0.13559322033898305,0.9453781512605042,0.85,D+QCTS,Std VIB + QCTS
0.63,0.01,0.13559322033898305,0.9453781512605042,0.85,D+QCTS,Std VIB + QCTS
0.64,0.01,0.13559322033898305,0.9453781512605042,0.85,D+QCTS,Std VIB + QCTS
0.65,0.013333333333333334,0.13559322033898305,0.9451476793248945,0.85,D+QCTS,Std VIB + QCTS
0.66,0.023333333333333334,0.13793103448275862,0.948936170212766,0.8333333333333334,D+QCTS,Std VIB + QCTS
0.67,0.03,0.13793103448275862,0.9527896995708155,0.8333333333333334,D+QCTS,Std VIB + QCTS
0.6799999999999999,0.03,0.13793103448275862,0.9527896995708155,0.8333333333333334,D+QCTS,Std VIB + QCTS
0.69,0.04,0.13793103448275862,0.9565217391304348,0.8333333333333334,D+QCTS,Std VIB + QCTS
0.7,0.056666666666666664,0.14035087719298245,0.9601769911504425,0.8166666666666667,D+QCTS,Std VIB + QCTS
0.71,0.08333333333333333,0.14285714285714285,0.958904109589041,0.8,D+QCTS,Std VIB + QCTS
0.72,0.1,0.1320754716981132,0.9631336405529954,0.7666666666666667,D+QCTS,Std VIB + QCTS
0.73,0.12333333333333334,0.13725490196078433,0.9622641509433962,0.7333333333333333,D+QCTS,Std VIB + QCTS
0.74,0.13666666666666666,0.14,0.9617224880382775,0.7166666666666667,D+QCTS,Std VIB + QCTS
0.75,0.17333333333333334,0.14285714285714285,0.964824120603015,0.7,D+QCTS,Std VIB + QCTS
0.76,0.22333333333333333,0.15217391304347827,0.9679144385026738,0.65,D+QCTS,Std VIB + QCTS
0.77,0.2633333333333333,0.1590909090909091,0.9661016949152542,0.6166666666666667,D+QCTS,Std VIB + QCTS
0.78,0.3,0.175,0.9647058823529412,0.55,D+QCTS,Std VIB + QCTS
0.79,0.3466666666666667,0.17142857142857143,0.9627329192546584,0.48333333333333334,D+QCTS,Std VIB + QCTS
0.8,0.38666666666666666,0.18181818181818182,0.9602649006622517,0.45,D+QCTS,Std VIB + QCTS
0.81,0.43,0.18181818181818182,0.9565217391304348,0.45,D+QCTS,Std VIB + QCTS
0.8200000000000001,0.49333333333333335,0.1875,0.95,0.43333333333333335,D+QCTS,Std VIB + QCTS
0.8300000000000001,0.56,0.2,0.9509803921568627,0.4,D+QCTS,Std VIB + QCTS
0.8400000000000001,0.6133333333333333,0.23076923076923078,0.9555555555555556,0.3333333333333333,D+QCTS,Std VIB + QCTS
0.8500000000000001,0.6533333333333333,0.24,0.9493670886075949,0.31666666666666665,D+QCTS,Std VIB + QCTS
0.86,0.7066666666666667,0.2727272727272727,0.9545454545454546,0.26666666666666666,D+QCTS,Std VIB + QCTS
0.87,0.7733333333333333,0.3333333333333333,0.94,0.2,D+QCTS,Std VIB + QCTS
0.88,0.81,0.46153846153846156,0.9318181818181818,0.11666666666666667,D+QCTS,Std VIB + QCTS
0.89,0.8666666666666667,0.6,0.9,0.06666666666666667,D+QCTS,Std VIB + QCTS
0.9,0.9033333333333333,0.625,0.9047619047619048,0.05,D+QCTS,Std VIB + QCTS
0.91,0.9266666666666666,0.5714285714285714,0.8666666666666667,0.05,D+QCTS,Std VIB + QCTS
0.9199999999999999,0.9633333333333334,0.75,0.8571428571428571,0.016666666666666666,D+QCTS,Std VIB + QCTS
0.9299999999999999,0.9733333333333334,1.0,0.8333333333333334,0.0,D+QCTS,Std VIB + QCTS
0.94,0.9866666666666667,1.0,0.5,0.0,D+QCTS,Std VIB + QCTS
0.95,0.9866666666666667,1.0,0.5,0.0,D+QCTS,Std VIB + QCTS
0.96,0.99,1.0,0.0,0.0,D+QCTS,Std VIB + QCTS
0.97,0.9966666666666667,0.0,0.0,0.0,D+QCTS,Std VIB + QCTS
0.98,1.0,,,,D+QCTS,Std VIB + QCTS
0.99,1.0,,,,D+QCTS,Std VIB + QCTS
