Tool,Aggregation,Threshold,fpr,tpr,auc
DeepImmuno,mean,>10,0.4864864864864865,0.40625,0.4717
DeepImmuno,mean,>10,0.4864864864864865,0.4375,0.4717
DeepImmuno,mean,>10,0.5135135135135135,0.4375,0.4717
DeepImmuno,mean,>10,0.5135135135135135,0.5,0.4717
DeepImmuno,mean,>10,0.5675675675675675,0.5,0.4717
DeepImmuno,mean,>10,0.5675675675675675,0.515625,0.4717
DeepImmuno,mean,>10,0.6216216216216216,0.515625,0.4717
DeepImmuno,mean,>10,0.6216216216216216,0.640625,0.4717
DeepImmuno,mean,>10,0.6756756756756757,0.640625,0.4717
DeepImmuno,mean,>10,0.6756756756756757,0.6875,0.4717
DeepImmuno,mean,>10,0.7027027027027027,0.6875,0.4717
DeepImmuno,mean,>10,0.7027027027027027,0.71875,0.4717
DeepImmuno,mean,>10,0.7297297297297297,0.71875,0.4717
DeepImmuno,mean,>10,0.7297297297297297,0.734375,0.4717
DeepImmuno,mean,>10,0.8108108108108109,0.734375,0.4717
DeepImmuno,mean,>10,0.8108108108108109,0.78125,0.4717
DeepImmuno,mean,>10,0.8378378378378378,0.78125,0.4717
DeepImmuno,mean,>10,0.8378378378378378,0.8125,0.4717
DeepImmuno,mean,>10,0.8918918918918919,0.8125,0.4717
DeepImmuno,mean,>10,0.8918918918918919,0.875,0.4717
DeepImmuno,mean,>10,0.918918918918919,0.875,0.4717
DeepImmuno,mean,>10,0.918918918918919,0.921875,0.4717
DeepImmuno,mean,>10,0.9459459459459459,0.921875,0.4717
DeepImmuno,mean,>10,0.9459459459459459,0.96875,0.4717
DeepImmuno,mean,>10,0.972972972972973,0.96875,0.4717
DeepImmuno,mean,>10,0.972972972972973,0.984375,0.4717
DeepImmuno,mean,>10,1.0,0.984375,0.4717
DeepImmuno,mean,>10,1.0,1.0,0.4717
PredIG,max,>0,0.0,0.0,0.6611
PredIG,max,>0,0.0,0.011111111111111112,0.6611
PredIG,max,>0,0.0,0.12222222222222222,0.6611
PredIG,max,>0,0.09090909090909091,0.12222222222222222,0.6611
PredIG,max,>0,0.09090909090909091,0.35555555555555557,0.6611
PredIG,max,>0,0.18181818181818182,0.35555555555555557,0.6611
PredIG,max,>0,0.18181818181818182,0.5777777777777777,0.6611
PredIG,max,>0,0.2727272727272727,0.5777777777777777,0.6611
PredIG,max,>0,0.2727272727272727,0.6222222222222222,0.6611
PredIG,max,>0,0.36363636363636365,0.6222222222222222,0.6611
PredIG,max,>0,0.36363636363636365,0.6444444444444445,0.6611
PredIG,max,>0,0.45454545454545453,0.6444444444444445,0.6611
PredIG,max,>0,0.45454545454545453,0.6555555555555556,0.6611
PredIG,max,>0,0.5454545454545454,0.6555555555555556,0.6611
PredIG,max,>0,0.5454545454545454,0.6888888888888889,0.6611
PredIG,max,>0,0.6363636363636364,0.7,0.6611
PredIG,max,>0,0.6363636363636364,0.7111111111111111,0.6611
PredIG,max,>0,0.6363636363636364,0.7444444444444445,0.6611
PredIG,max,>0,0.6363636363636364,0.8222222222222222,0.6611
PredIG,max,>0,0.7272727272727273,0.8222222222222222,0.6611
PredIG,max,>0,0.7272727272727273,0.9111111111111111,0.6611
PredIG,max,>0,0.8181818181818182,0.9111111111111111,0.6611
PredIG,max,>0,0.8181818181818182,0.9333333333333333,0.6611
PredIG,max,>0,1.0,0.9333333333333333,0.6611
PredIG,max,>0,1.0,1.0,0.6611
PredIG,max,>10,0.0,0.0,0.5576
PredIG,max,>10,0.0,0.015625,0.5576
PredIG,max,>10,0.0,0.03125,0.5576
PredIG,max,>10,0.02702702702702703,0.03125,0.5576
PredIG,max,>10,0.02702702702702703,0.0625,0.5576
PredIG,max,>10,0.05405405405405406,0.0625,0.5576
PredIG,max,>10,0.05405405405405406,0.125,0.5576
PredIG,max,>10,0.10810810810810811,0.125,0.5576
PredIG,max,>10,0.10810810810810811,0.15625,0.5576
PredIG,max,>10,0.1891891891891892,0.15625,0.5576
PredIG,max,>10,0.1891891891891892,0.171875,0.5576
PredIG,max,>10,0.2702702702702703,0.171875,0.5576
PredIG,max,>10,0.2702702702702703,0.21875,0.5576
PredIG,max,>10,0.2972972972972973,0.21875,0.5576
PredIG,max,>10,0.2972972972972973,0.296875,0.5576
PredIG,max,>10,0.35135135135135137,0.296875,0.5576
PredIG,max,>10,0.35135135135135137,0.3125,0.5576
PredIG,max,>10,0.3783783783783784,0.3125,0.5576
PredIG,max,>10,0.3783783783783784,0.4375,0.5576
PredIG,max,>10,0.40540540540540543,0.4375,0.5576
PredIG,max,>10,0.40540540540540543,0.53125,0.5576
PredIG,max,>10,0.43243243243243246,0.53125,0.5576
PredIG,max,>10,0.43243243243243246,0.59375,0.5576
PredIG,max,>10,0.4594594594594595,0.59375,0.5576
PredIG,max,>10,0.4594594594594595,0.640625,0.5576
PredIG,max,>10,0.5405405405405406,0.640625,0.5576
PredIG,max,>10,0.5405405405405406,0.65625,0.5576
PredIG,max,>10,0.5675675675675675,0.65625,0.5576
PredIG,max,>10,0.5675675675675675,0.671875,0.5576
PredIG,max,>10,0.5945945945945946,0.671875,0.5576
PredIG,max,>10,0.5945945945945946,0.71875,0.5576
PredIG,max,>10,0.6216216216216216,0.734375,0.5576
PredIG,max,>10,0.6216216216216216,0.75,0.5576
PredIG,max,>10,0.6486486486486487,0.78125,0.5576
PredIG,max,>10,0.6756756756756757,0.78125,0.5576
PredIG,max,>10,0.6756756756756757,0.828125,0.5576
PredIG,max,>10,0.7027027027027027,0.828125,0.5576
PredIG,max,>10,0.7027027027027027,0.859375,0.5576
PredIG,max,>10,0.7297297297297297,0.859375,0.5576
PredIG,max,>10,0.7297297297297297,0.875,0.5576
PredIG,max,>10,0.7837837837837838,0.875,0.5576
PredIG,max,>10,0.7837837837837838,0.90625,0.5576
PredIG,max,>10,0.8108108108108109,0.90625,0.5576
PredIG,max,>10,0.8108108108108109,0.9375,0.5576
PredIG,max,>10,0.8648648648648649,0.9375,0.5576
PredIG,max,>10,0.8648648648648649,0.953125,0.5576
PredIG,max,>10,0.918918918918919,0.953125,0.5576
PredIG,max,>10,0.918918918918919,0.984375,0.5576
PredIG,max,>10,0.972972972972973,0.984375,0.5576
PredIG,max,>10,0.972972972972973,1.0,0.5576
PredIG,max,>10,1.0,1.0,0.5576
PredIG,mean,>0,0.0,0.0,0.7495
PredIG,mean,>0,0.0,0.011111111111111112,0.7495
PredIG,mean,>0,0.0,0.2222222222222222,0.7495
PredIG,mean,>0,0.09090909090909091,0.2222222222222222,0.7495
PredIG,mean,>0,0.09090909090909091,0.4444444444444444,0.7495
PredIG,mean,>0,0.18181818181818182,0.4444444444444444,0.7495
PredIG,mean,>0,0.18181818181818182,0.5444444444444444,0.7495
PredIG,mean,>0,0.2727272727272727,0.5444444444444444,0.7495
PredIG,mean,>0,0.2727272727272727,0.8222222222222222,0.7495
PredIG,mean,>0,0.36363636363636365,0.8222222222222222,0.7495
PredIG,mean,>0,0.36363636363636365,0.8333333333333334,0.7495
PredIG,mean,>0,0.45454545454545453,0.8333333333333334,0.7495
PredIG,mean,>0,0.45454545454545453,0.8444444444444444,0.7495
PredIG,mean,>0,0.5454545454545454,0.8444444444444444,0.7495
PredIG,mean,>0,0.5454545454545454,0.8666666666666667,0.7495
PredIG,mean,>0,0.6363636363636364,0.8666666666666667,0.7495
PredIG,mean,>0,0.6363636363636364,0.8777777777777778,0.7495
PredIG,mean,>0,0.7272727272727273,0.8777777777777778,0.7495
PredIG,mean,>0,0.7272727272727273,0.9222222222222223,0.7495
PredIG,mean,>0,0.8181818181818182,0.9222222222222223,0.7495
PredIG,mean,>0,0.8181818181818182,0.9333333333333333,0.7495
PredIG,mean,>0,1.0,0.9333333333333333,0.7495
PredIG,mean,>0,1.0,1.0,0.7495
PredIG,mean,>10,0.0,0.0,0.6309
PredIG,mean,>10,0.0,0.015625,0.6309
PredIG,mean,>10,0.0,0.078125,0.6309
PredIG,mean,>10,0.08108108108108109,0.078125,0.6309
PredIG,mean,>10,0.08108108108108109,0.09375,0.6309
PredIG,mean,>10,0.13513513513513514,0.09375,0.6309
PredIG,mean,>10,0.13513513513513514,0.171875,0.6309
PredIG,mean,>10,0.16216216216216217,0.171875,0.6309
PredIG,mean,>10,0.16216216216216217,0.21875,0.6309
PredIG,mean,>10,0.21621621621621623,0.21875,0.6309
PredIG,mean,>10,0.21621621621621623,0.28125,0.6309
PredIG,mean,>10,0.24324324324324326,0.28125,0.6309
PredIG,mean,>10,0.24324324324324326,0.328125,0.6309
PredIG,mean,>10,0.2702702702702703,0.328125,0.6309
PredIG,mean,>10,0.2702702702702703,0.375,0.6309
PredIG,mean,>10,0.2972972972972973,0.375,0.6309
PredIG,mean,>10,0.2972972972972973,0.46875,0.6309
PredIG,mean,>10,0.32432432432432434,0.46875,0.6309
PredIG,mean,>10,0.32432432432432434,0.515625,0.6309
PredIG,mean,>10,0.35135135135135137,0.515625,0.6309
