# QuantImmuBench DS2 全工具指标 | NN=18 | sub_agg=max
# Spearman: 纯 numpy 实现(禁 scipy.stats); p-value via scipy.special.betainc
# pending_DTU_consent: 工具原始数据使用待 DTU 授权
Tool,Aggregation,Threshold,n_pep,n_pos,n_neg,AUC_ROC,AUPRC,Spearman_rho,Spearman_pval,pending_DTU_consent
ICERFIRE,mean,>0,99,88,11,0.4804,0.8867,0.1285,0.2049,True
ICERFIRE,mean,>10,99,63,36,0.5785,0.6957,0.1285,0.2049,True
ICERFIRE,mean,>median,99,49,50,0.5478,0.5374,0.1285,0.2049,True
ICERFIRE,top3mean,>0,99,88,11,0.5325,0.9181,0.2552,0.0108,True
ICERFIRE,top3mean,>10,99,63,36,0.6307,0.7523,0.2552,0.0108,True
ICERFIRE,top3mean,>median,99,49,50,0.6122,0.6318,0.2552,0.0108,True
NetTepi,max,>0,96,85,11,0.4283,0.8926,0.0358,0.7293,True
NetTepi,max,>10,96,62,34,0.5218,0.6579,0.0358,0.7293,True
NetTepi,max,>median,96,48,48,0.5304,0.5476,0.0358,0.7293,True
NetTepi,mean,>0,96,85,11,0.5433,0.9032,0.1383,0.1789,True
NetTepi,mean,>10,96,62,34,0.5916,0.7438,0.1383,0.1789,True
NetTepi,mean,>median,96,48,48,0.6076,0.6519,0.1383,0.1789,True
NetTepi,top3mean,>0,96,85,11,0.4422,0.8802,0.0501,0.6276,True
NetTepi,top3mean,>10,96,62,34,0.5377,0.6826,0.0501,0.6276,True
NetTepi,top3mean,>median,96,48,48,0.5391,0.571,0.0501,0.6276,True
