# robustness_subsample_results.csv
# QuantImmuBench §3.3.4 图 3: 病人内随机删突变子采样鲁棒性 (长表)
# 主分析集 DS2 病人=[101, 102, 104, 105, 106, 107, 108, 109, 110]; 维度集=7 维 ['MT_PredIG', 'MT_IMPROVE_mean_prediction_rf', 'MT_pTuneos', 'MT_PRIME', 'MT_ImmuneApp', 'MT_deepHLApan', 'pool_netAffneg_top20']
# kind=fusion(12 法)/single(单工具对照=各维列); drop_frac=删除比例(0=满数据)
# seed=-1 表 0% 满数据确定性对照; 子采样 seed=0..29; fisherz_rho=DS2 per-patient Fisher-z 加权 rho
# 病人内随机删, 保每病人>=min_pep; 只删整行不碰标签
method,kind,drop_frac,seed,fisherz_rho,n_pat
max,fusion,0.1,4,0.307337914057204,9
min,fusion,0.1,4,0.2883996111652898,9
weighted_mean_rank,fusion,0.1,4,0.37818859729163995,9
softmax_rank,fusion,0.1,4,0.29070367061067,9
stacking,fusion,0.1,4,0.24267160652317335,9
constrained,fusion,0.1,4,0.2662570629857539,9
ridge,fusion,0.1,4,0.23112795635664968,9
gbdt,fusion,0.1,4,0.05711302314786476,9
MT_PredIG,single,0.1,4,0.3065150116554898,9
MT_IMPROVE_mean_prediction_rf,single,0.1,4,0.28429105340780764,9
MT_pTuneos,single,0.1,4,0.21195954966589253,9
MT_PRIME,single,0.1,4,0.2606507905919973,9
MT_ImmuneApp,single,0.1,4,0.21404192858175944,9
MT_deepHLApan,single,0.1,4,0.18605387466125775,9
pool_netAffneg_top20,single,0.1,4,0.20117931613378917,9
mean_rank,fusion,0.1,5,0.3217691787993952,9
geomean,fusion,0.1,5,0.2970906581678659,9
median,fusion,0.1,5,0.3196140035287271,9
powmean,fusion,0.1,5,0.3095852022898361,9
max,fusion,0.1,5,0.24883446264246123,9
min,fusion,0.1,5,0.1419829329505131,9
weighted_mean_rank,fusion,0.1,5,0.3178451593334431,9
softmax_rank,fusion,0.1,5,0.2171255956269424,9
stacking,fusion,0.1,5,0.19230996020991256,9
constrained,fusion,0.1,5,0.26764638248986433,9
ridge,fusion,0.1,5,0.19381214325287657,9
gbdt,fusion,0.1,5,0.023280425433985844,9
MT_PredIG,single,0.1,5,0.21954591296133438,9
MT_IMPROVE_mean_prediction_rf,single,0.1,5,0.26002779312047497,9
MT_pTuneos,single,0.1,5,0.14832666614153853,9
MT_PRIME,single,0.1,5,0.27492501333871155,9
MT_ImmuneApp,single,0.1,5,0.10673686086272915,9
MT_deepHLApan,single,0.1,5,0.22678861346385576,9
pool_netAffneg_top20,single,0.1,5,0.1734817859048665,9
mean_rank,fusion,0.1,6,0.31082176223342706,9
geomean,fusion,0.1,6,0.2903616507881766,9
median,fusion,0.1,6,0.2820360664559332,9
powmean,fusion,0.1,6,0.29755704150897855,9
max,fusion,0.1,6,0.20138784772376492,9
min,fusion,0.1,6,0.14609893269875285,9
weighted_mean_rank,fusion,0.1,6,0.30542397513231107,9
softmax_rank,fusion,0.1,6,0.2072858495279889,9
stacking,fusion,0.1,6,0.174497600982404,9
constrained,fusion,0.1,6,0.25636669074172486,9
ridge,fusion,0.1,6,0.15718010014460662,9
gbdt,fusion,0.1,6,0.12616948036415815,9
MT_PredIG,single,0.1,6,0.2270564081913313,9
MT_IMPROVE_mean_prediction_rf,single,0.1,6,0.22610086233326465,9
MT_pTuneos,single,0.1,6,0.2029279395896965,9
MT_PRIME,single,0.1,6,0.21949747855165427,9
MT_ImmuneApp,single,0.1,6,0.14164525722763713,9
MT_deepHLApan,single,0.1,6,0.21008240987032414,9
pool_netAffneg_top20,single,0.1,6,0.161359501309462,9
mean_rank,fusion,0.1,7,0.38344511047129426,9
geomean,fusion,0.1,7,0.4157209210472413,9
median,fusion,0.1,7,0.34741399357182023,9
powmean,fusion,0.1,7,0.3388200764850843,9
max,fusion,0.1,7,0.2573586427061765,9
min,fusion,0.1,7,0.36114157894093457,9
weighted_mean_rank,fusion,0.1,7,0.3837729862492367,9
softmax_rank,fusion,0.1,7,0.2650069064017164,9
stacking,fusion,0.1,7,0.23870750365686857,9
constrained,fusion,0.1,7,0.2717406073133888,9
ridge,fusion,0.1,7,0.2566103433959993,9
gbdt,fusion,0.1,7,-0.04421551283766121,9
MT_PredIG,single,0.1,7,0.2412792676257599,9
MT_IMPROVE_mean_prediction_rf,single,0.1,7,0.2759416904302457,9
MT_pTuneos,single,0.1,7,0.21435340301406805,9
MT_PRIME,single,0.1,7,0.2629976519537882,9
MT_ImmuneApp,single,0.1,7,0.19944685312961374,9
MT_deepHLApan,single,0.1,7,0.2091952776578355,9
pool_netAffneg_top20,single,0.1,7,0.2520247064877449,9
mean_rank,fusion,0.1,8,0.2981579868146416,9
geomean,fusion,0.1,8,0.32054709252700136,9
median,fusion,0.1,8,0.3055579717650486,9
powmean,fusion,0.1,8,0.28901565178237665,9
max,fusion,0.1,8,0.22595761587295513,9
min,fusion,0.1,8,0.20206483980472717,9
weighted_mean_rank,fusion,0.1,8,0.28791476712879166,9
softmax_rank,fusion,0.1,8,0.21075100968878296,9
stacking,fusion,0.1,8,0.0538178987821128,9
constrained,fusion,0.1,8,0.20450613873460244,9
ridge,fusion,0.1,8,0.11288658231233858,9
gbdt,fusion,0.1,8,0.0060397622086153634,9
MT_PredIG,single,0.1,8,0.18932552096644945,9
MT_IMPROVE_mean_prediction_rf,single,0.1,8,0.2156200923739279,9
MT_pTuneos,single,0.1,8,0.1711305402910168,9
MT_PRIME,single,0.1,8,0.2533348114664548,9
MT_ImmuneApp,single,0.1,8,0.11634537252796007,9
MT_deepHLApan,single,0.1,8,0.24781792906536815,9
pool_netAffneg_top20,single,0.1,8,0.17219474571384544,9
mean_rank,fusion,0.1,9,0.2868414268786254,9
geomean,fusion,0.1,9,0.29961326947496475,9
median,fusion,0.1,9,0.3294688641569519,9
powmean,fusion,0.1,9,0.2750702088324365,9
max,fusion,0.1,9,0.1880023850333131,9
min,fusion,0.1,9,0.23299142785511212,9
weighted_mean_rank,fusion,0.1,9,0.28259995862563486,9
softmax_rank,fusion,0.1,9,0.19986798259006672,9
stacking,fusion,0.1,9,0.19284328190365843,9
constrained,fusion,0.1,9,0.08914471549426103,9
ridge,fusion,0.1,9,0.1708334113057965,9
gbdt,fusion,0.1,9,-0.08567846123636412,9
MT_PredIG,single,0.1,9,0.21926070307336873,9
MT_IMPROVE_mean_prediction_rf,single,0.1,9,0.18229233514769544,9
MT_pTuneos,single,0.1,9,0.17306973445241694,9
MT_PRIME,single,0.1,9,0.23294997316595528,9
MT_ImmuneApp,single,0.1,9,0.1455560143147591,9
MT_deepHLApan,single,0.1,9,0.227928257967349,9
pool_netAffneg_top20,single,0.1,9,0.18099074349012464,9
mean_rank,fusion,0.1,10,0.38181027235923887,9
geomean,fusion,0.1,10,0.3753088056425756,9
median,fusion,0.1,10,0.373619141967928,9
powmean,fusion,0.1,10,0.35307465019872963,9
max,fusion,0.1,10,0.2456416246186731,9
min,fusion,0.1,10,0.29475408164547373,9
weighted_mean_rank,fusion,0.1,10,0.37856774216883554,9
softmax_rank,fusion,0.1,10,0.19912996469862537,9
stacking,fusion,0.1,10,0.27650050436905527,9
constrained,fusion,0.1,10,0.21676934742950937,9
ridge,fusion,0.1,10,0.2707093889496654,9
gbdt,fusion,0.1,10,0.0906838159725365,9
MT_PredIG,single,0.1,10,0.30933675204356575,9
MT_IMPROVE_mean_prediction_rf,single,0.1,10,0.2797568262505028,9
MT_pTuneos,single,0.1,10,0.2419182969007644,9
MT_PRIME,single,0.1,10,0.2365871887357758,9
MT_ImmuneApp,single,0.1,10,0.2065301844844736,9
MT_deepHLApan,single,0.1,10,0.21792038746044606,9
pool_netAffneg_top20,single,0.1,10,0.2549479538486126,9
mean_rank,fusion,0.1,11,0.2926610197248169,9
geomean,fusion,0.1,11,0.2876764855906333,9
median,fusion,0.1,11,0.2985127230610619,9
powmean,fusion,0.1,11,0.26246842511143015,9
max,fusion,0.1,11,0.27961098981293764,9
min,fusion,0.1,11,0.16676041323508176,9
weighted_mean_rank,fusion,0.1,11,0.2932874101582157,9
softmax_rank,fusion,0.1,11,0.27308333184169487,9
stacking,fusion,0.1,11,0.17819128703839804,9
constrained,fusion,0.1,11,0.10836006207174916,9
ridge,fusion,0.1,11,0.19991044010633086,9
gbdt,fusion,0.1,11,0.010352854400082014,9
MT_PredIG,single,0.1,11,0.2404318329121955,9
MT_IMPROVE_mean_prediction_rf,single,0.1,11,0.15697910293548933,9
MT_pTuneos,single,0.1,11,0.16833876615244805,9
MT_PRIME,single,0.1,11,0.2116692405106893,9
MT_ImmuneApp,single,0.1,11,0.17260496317440327,9
MT_deepHLApan,single,0.1,11,0.21760598095070416,9
pool_netAffneg_top20,single,0.1,11,0.21253699944938606,9
mean_rank,fusion,0.1,12,0.29852959941140017,9
geomean,fusion,0.1,12,0.3210717385981026,9
median,fusion,0.1,12,0.30093559026991296,9
powmean,fusion,0.1,12,0.26129526280856175,9
max,fusion,0.1,12,0.2541038112463965,9
min,fusion,0.1,12,0.2893744406939047,8
weighted_mean_rank,fusion,0.1,12,0.29852959941140017,9
softmax_rank,fusion,0.1,12,0.25701191594045547,9
stacking,fusion,0.1,12,0.2307049737241811,9
constrained,fusion,0.1,12,0.1625487657996021,9
ridge,fusion,0.1,12,0.20358441643498673,9
gbdt,fusion,0.1,12,-0.09639297731017411,9
MT_PredIG,single,0.1,12,0.25244631218149616,9
