sample_id,group,final_norm,is_monotone,max_rebound,K,trained_S,extrapolated,sim_k1,sim_k2,sim_k3,sim_k4,sim_k5,sim_k6,sim_k7,sim_k8,sim_k9,sim_k10,sim_k11,sim_k12,sim_k13,sim_k14,sim_k15,sim_k16
nih_5842,easy,108.64817810058594,True,0.0,16,16,False,0.801089882850647,0.8906035423278809,0.9240263104438782,0.9632072448730469,0.9693499207496643,0.9868013262748718,0.9890661835670471,0.991945743560791,0.9933570027351379,0.9944635629653931,0.9967350363731384,0.9980326294898987,0.9992094039916992,0.9995869398117065,0.9998533725738525,1.0
nih_7485,easy,111.41385650634766,True,0.0,16,16,False,0.7540013790130615,0.8479417562484741,0.8936198949813843,0.9599757194519043,0.9631226658821106,0.9804666638374329,0.9928354024887085,0.9951580762863159,0.9965988397598267,0.9974797368049622,0.9982168674468994,0.9987381100654602,0.9994755983352661,0.9997120499610901,0.9998668432235718,0.9999999403953552
nih_16389,hard,97.00178527832031,True,0.0,16,16,False,0.6214223504066467,0.7808406352996826,0.8717864751815796,0.9027574062347412,0.959924578666687,0.9823167324066162,0.9849062561988831,0.9867782592773438,0.9939397573471069,0.9962045550346375,0.9976017475128174,0.998549222946167,0.9990894198417664,0.9996575117111206,0.9998546838760376,0.9999998807907104
nih_23200,medium,102.27299499511719,True,0.0,16,16,False,0.7853168249130249,0.8560451865196228,0.885789155960083,0.9593453407287598,0.967865526676178,0.9737167954444885,0.9825424551963806,0.9900574684143066,0.9947136640548706,0.9963584542274475,0.997512698173523,0.9984641075134277,0.9991353750228882,0.9995095133781433,0.9998051524162292,0.9999999403953552
nih_17882,medium,105.23536682128906,True,0.0,16,16,False,0.7390908598899841,0.8737437725067139,0.9233081340789795,0.9585352540016174,0.9696888327598572,0.9770587086677551,0.9856609106063843,0.9870529770851135,0.9884836673736572,0.9912630319595337,0.9966155290603638,0.9978313446044922,0.9987236857414246,0.9993556141853333,0.9998100996017456,1.0
nih_11341,medium,106.66507720947266,True,0.0,16,16,False,0.7145823240280151,0.8433235883712769,0.9115116000175476,0.9474979639053345,0.9529030919075012,0.9606033563613892,0.9756048321723938,0.9934897422790527,0.9951530694961548,0.9959803223609924,0.9977253079414368,0.9982962608337402,0.9990338087081909,0.999347448348999,0.9997758269309998,1.000000238418579
nih_23467,medium,101.1731948852539,True,0.0,16,16,False,0.6621779203414917,0.8550426959991455,0.8993750214576721,0.9434171319007874,0.977816104888916,0.9872276782989502,0.9888724088668823,0.9905240535736084,0.993667721748352,0.9948503971099854,0.9966654777526855,0.9976545572280884,0.9985752105712891,0.999508798122406,0.9998036623001099,1.0
nih_6556,medium,101.63982391357422,True,0.0,16,16,False,0.7503412961959839,0.8292244672775269,0.9036945104598999,0.9513188600540161,0.9578832387924194,0.9612432718276978,0.9791457653045654,0.9898409843444824,0.9931777119636536,0.9958449602127075,0.9965851306915283,0.9980989694595337,0.998794674873352,0.9994122982025146,0.9998041391372681,1.0
nih_23525,easy,107.07781219482422,True,0.0,16,16,False,0.7779245376586914,0.81654292345047,0.8721432685852051,0.9208126068115234,0.9525962471961975,0.9580585360527039,0.9745335578918457,0.9929904341697693,0.994294285774231,0.9964404106140137,0.9977617263793945,0.9985820055007935,0.999234676361084,0.9994569420814514,0.9999030232429504,1.0
nih_21962,medium,106.28645324707031,True,0.0,16,16,False,0.779461145401001,0.8453099131584167,0.9013572335243225,0.9726176261901855,0.9813559055328369,0.9857245087623596,0.9905022978782654,0.9924277663230896,0.9944446682929993,0.9964503645896912,0.9975134134292603,0.998476505279541,0.9990721344947815,0.999504029750824,0.9998812675476074,0.9999999403953552
nih_2311,hard,96.57197570800781,True,0.0,16,16,False,0.6901283860206604,0.7866665124893188,0.8698791265487671,0.9252244234085083,0.9663294553756714,0.9712046384811401,0.984768271446228,0.9876312017440796,0.9908531904220581,0.9932017922401428,0.9966236352920532,0.9979945421218872,0.9989993572235107,0.9994451403617859,0.999756395816803,1.0
nih_18966,medium,104.75121307373047,True,0.0,16,16,False,0.7051529884338379,0.7936965227127075,0.8901656270027161,0.9726734161376953,0.9787387251853943,0.981282651424408,0.9884355068206787,0.9929694533348083,0.9955174922943115,0.9965736865997314,0.9972789287567139,0.9983781576156616,0.9990277290344238,0.9995125532150269,0.9998067021369934,0.9999999403953552
nih_16530,easy,110.28462982177734,True,0.0,16,16,False,0.750252902507782,0.9077226519584656,0.943747341632843,0.9589133262634277,0.9775351285934448,0.9880403280258179,0.9897083640098572,0.9934471845626831,0.994864284992218,0.9963088035583496,0.9973721504211426,0.9984986186027527,0.9990156888961792,0.9995146989822388,0.9997891187667847,0.9999999403953552
nih_18402,hard,98.39511108398438,True,0.0,16,16,False,0.8244921565055847,0.905145525932312,0.9219973683357239,0.9516452550888062,0.9570009112358093,0.9758604764938354,0.9797210693359375,0.9836787581443787,0.9854620099067688,0.9870397448539734,0.9882669448852539,0.9890406131744385,0.9985862374305725,0.999393105506897,0.9998071789741516,1.0000001192092896
nih_12091,easy,107.75251770019531,True,0.0,16,16,False,0.807881236076355,0.8701286315917969,0.9256410002708435,0.9557694792747498,0.9752256870269775,0.9815797805786133,0.9844144582748413,0.9865850210189819,0.9948238730430603,0.9963390231132507,0.9976816177368164,0.9987125396728516,0.9991143941879272,0.999610424041748,0.9998352527618408,1.0
nih_1206,medium,101.23185729980469,True,0.0,16,16,False,0.7134117484092712,0.8530920147895813,0.9135514497756958,0.9447019100189209,0.9519511461257935,0.9675257802009583,0.9853928685188293,0.9937701225280762,0.9956362247467041,0.9971454739570618,0.9979510307312012,0.9986911416053772,0.9991730451583862,0.9994493126869202,0.9998292326927185,1.0
nih_1840,medium,106.4592514038086,True,0.0,16,16,False,0.6752933263778687,0.8555837273597717,0.9365649223327637,0.976990282535553,0.9837846159934998,0.9886311292648315,0.9922401905059814,0.9950991868972778,0.9959534406661987,0.9969533085823059,0.9982293248176575,0.998762845993042,0.9992188215255737,0.999553918838501,0.9998459815979004,1.0
nih_23334,medium,103.45750427246094,True,0.0,16,16,False,0.6641029119491577,0.7994388341903687,0.9042677879333496,0.9773607850074768,0.9811347723007202,0.9844063520431519,0.9902122020721436,0.9920661449432373,0.9937136173248291,0.9952414035797119,0.9966500401496887,0.9977046847343445,0.9987733364105225,0.9994122982025146,0.9997383952140808,1.0
nih_3770,medium,105.95085144042969,True,0.0,16,16,False,0.7525980472564697,0.8415559530258179,0.93996262550354,0.9479569792747498,0.96983402967453,0.9892844557762146,0.9905486702919006,0.9927545785903931,0.995113730430603,0.9967283010482788,0.9976226687431335,0.9983316659927368,0.9990165829658508,0.9995166063308716,0.9998431205749512,1.0
nih_10699,medium,103.0416030883789,True,0.0,16,16,False,0.7479382753372192,0.8293521404266357,0.9185444116592407,0.9733967781066895,0.9794473648071289,0.9814061522483826,0.9856774806976318,0.988104522228241,0.9923547506332397,0.9943681359291077,0.9964414834976196,0.99788498878479,0.9986615180969238,0.9993780851364136,0.9998413920402527,1.0
nih_22056,easy,107.52601623535156,True,0.0,16,16,False,0.7098427414894104,0.8438284397125244,0.9025867581367493,0.9103392362594604,0.928551435470581,0.9624857902526855,0.9666340351104736,0.9715386033058167,0.9904758930206299,0.9929062128067017,0.9957234859466553,0.9971946477890015,0.998680830001831,0.9995742440223694,0.9998292922973633,0.9999998807907104
nih_11268,medium,103.22084045410156,True,0.0,16,16,False,0.5583605170249939,0.7752631306648254,0.8575824499130249,0.8847954273223877,0.9657397270202637,0.9692763090133667,0.9916457533836365,0.994522213935852,0.9958577752113342,0.9968184232711792,0.9976397156715393,0.9984381794929504,0.9989680051803589,0.9992362856864929,0.9996183514595032,1.0
nih_18088,hard,97.50323486328125,True,0.0,16,16,False,0.7164571285247803,0.917915940284729,0.9522597789764404,0.954229474067688,0.9667623043060303,0.9743489623069763,0.9829217195510864,0.986648440361023,0.9905078411102295,0.9925273656845093,0.9952793717384338,0.9972914457321167,0.9984661936759949,0.999281644821167,0.9996829628944397,0.9999999403953552
nih_24314,medium,104.48756408691406,True,0.0,16,16,False,0.5457314252853394,0.7997721433639526,0.8990088105201721,0.9586836695671082,0.961948037147522,0.9867662191390991,0.9895646572113037,0.9914802312850952,0.9960027933120728,0.997512698173523,0.9981560707092285,0.9986205697059631,0.9991138577461243,0.9995524883270264,0.9998066425323486,1.0
nih_8680,medium,103.2007827758789,True,0.0,16,16,False,0.6579997539520264,0.8329012393951416,0.9246866703033447,0.9383620619773865,0.9495934247970581,0.9701972007751465,0.9746733903884888,0.9763493537902832,0.9926217198371887,0.9948935508728027,0.996065616607666,0.9970079660415649,0.9988229274749756,0.9994860291481018,0.9998252391815186,1.0000001192092896
nih_16892,easy,109.8026123046875,True,0.0,16,16,False,0.5571699738502502,0.7354702949523926,0.8534473180770874,0.9407174587249756,0.9763529300689697,0.9792249202728271,0.9949029088020325,0.9965437054634094,0.9971926212310791,0.997842013835907,0.9984185099601746,0.9989638328552246,0.9995627999305725,0.999742865562439,0.9999060034751892,1.0
nih_12141,medium,103.76285552978516,True,0.0,16,16,False,0.6257174015045166,0.8370733261108398,0.9091446399688721,0.9580180644989014,0.9822863340377808,0.9862716197967529,0.9921756982803345,0.993831992149353,0.9951549172401428,0.9968021512031555,0.9979080557823181,0.998534619808197,0.9992900490760803,0.999650776386261,0.999839186668396,1.0
nih_2673,hard,96.7597427368164,True,0.0,16,16,False,0.688582718372345,0.8615539073944092,0.910226583480835,0.9543754458427429,0.9616433382034302,0.9852117300033569,0.9881730079650879,0.9912589192390442,0.9938435554504395,0.9955055713653564,0.9966601133346558,0.9974479079246521,0.9985819458961487,0.9992595314979553,0.9997206330299377,0.9999998807907104
nih_6690,medium,105.35456085205078,True,0.0,16,16,False,0.7788563966751099,0.9065161943435669,0.9494830369949341,0.9633058905601501,0.9753475189208984,0.9781807661056519,0.9811025857925415,0.982701301574707,0.9953750371932983,0.9965121150016785,0.998144268989563,0.9986857175827026,0.9993305802345276,0.9997448921203613,0.9998934268951416,1.0
nih_5046,medium,101.45044708251953,True,0.0,16,16,False,0.6511827707290649,0.8005602955818176,0.8827656507492065,0.9240368604660034,0.9286095499992371,0.9559458494186401,0.9747337102890015,0.9906590580940247,0.993482232093811,0.9949424266815186,0.9958814382553101,0.9973777532577515,0.9983779191970825,0.9992817640304565,0.9997515678405762,1.0000001192092896
