# R1_recomputed_effN10.csv —— §3.1 图1 修正重算 (effN 门槛)
# 输入=pooled_clean_9mer.csv; DS2 9 患者; Elispot 连续 SFC; headline 零选择 <tool>_max
# fisherz_rho_effN=等权 Fisher-z (门槛改用有效覆盖 effN>=10, 非患者总行数 len(g))
# ci_*=cluster-bootstrap over 通过门槛患者 95%CI (n_boot=2000, seed=42, 2.5/97.5)
# n_full=effN>=10 的患者数; n_dropped_effN=2<=effN<10 被剔患者数 (原 bug 伪迹来源)
# coverage_fail=(n_full<3): 通过门槛患者不足 3 → 不入主排序; 排序: coverage_fail 后置 + rho 降序
# pending_DTU=True 为 DTU 受限工具 (结果照常算, 部署受 DTU 同意约束)
# rho_p<id>=各患者 per-patient rho (与 canonical spearman_np 可比); effN_p<id>=各患者有效覆盖点数
Tool,pending_DTU,fisherz_rho_effN,ci_lo,ci_hi,n_full,min_effN,max_effN,n_dropped_effN,coverage_fail,rho_p101,rho_p102,rho_p104,rho_p105,rho_p106,rho_p107,rho_p108,rho_p109,rho_p110,effN_p101,effN_p102,effN_p104,effN_p105,effN_p106,effN_p107,effN_p108,effN_p109,effN_p110
PredIG,False,0.2798193114345291,0.1707544332928672,0.3912808700264179,8,12.0,19.0,1,False,0.4718426861866791,0.0,0.27239284308249884,0.31985989643617274,0.19705882352941176,0.14685314685314685,0.08944558140439413,0.11704024806182706,0.5522790409057426,12,8,17,19,16,12,15,16,15
netMHCpan_EL,True,0.26200424404399847,0.08770348961966278,0.4325555163018612,8,12.0,19.0,1,False,-0.11972127858467976,-0.47619047619047616,0.2331290098453819,0.25384299590084214,0.34705882352941175,0.02097902097902098,0.24329198141995204,0.7008492700060499,0.2627346893629261,12,8,17,19,16,12,15,16,15
HLAthena,False,0.2548120182657862,0.059920619311782296,0.4404789283262207,7,12.0,19.0,2,False,1.0,-0.14285714285714285,0.3840493688505502,0.16520236409340788,-0.19117647058823528,0.07692307692307693,0.41502749771638875,0.6206673619968832,0.1983915001311891,3,8,17,19,16,12,15,16,15
IEDB_Calis,False,0.18806946312220885,-0.007876756755586264,0.42817235408648197,8,12.0,19.0,1,False,0.7535398122682785,0.6428571428571429,-0.03558284887113724,0.21334512173361986,0.05588235294117647,-0.13986013986013987,0.18409301363524755,0.34641775348286397,-0.1018767162835836,12,8,17,19,16,12,15,16,15
ImmuneApp,False,0.18287448407441576,-0.0617331881468904,0.3671743058405855,8,12.0,19.0,1,False,0.29578198238567943,0.14638501094227999,0.19091470754987686,0.41124843827507923,0.23529411764705882,-0.42381851334469944,-0.22003613025480956,0.5101183190936676,0.3949956894503855,12,8,17,19,16,12,15,16,15
ImmuGenX,False,0.18056237073571618,-0.04923589440782056,0.390856858386371,8,12.0,19.0,1,False,0.4014184046662792,-0.2619047619047619,-0.023312900984538188,0.31985989643617274,0.4,-0.13986013986013987,-0.3434710325928735,0.6622403909321101,0.005361932435978084,12,8,17,19,16,12,15,16,15
pTuneos,False,0.17113283164514964,-0.05461334859805656,0.38797937858791903,6,10.0,16.0,3,False,-0.3651483716701107,0.4879500364742666,0.12024931496211637,0.54681761192147,0.35858785705425195,0.2788339708571014,-0.01823094217311173,-0.2929500568693166,0.24218622245386717,9,6,14,16,13,8,12,10,14
DeepImmuno,False,0.15638901186646942,-0.10544077030366454,0.33643018330977964,8,12.0,19.0,1,False,0.3450789794499593,0.16666666666666666,0.398773306314469,0.07374893096964637,-0.6,0.2867132867132867,0.4629135003061079,0.14848501483179025,0.15192141901937903,12,8,17,19,16,12,15,16,15
BigMHC_IM,False,0.14574420035003402,-0.05743707143026715,0.32453370173546614,8,12.0,19.0,1,False,0.38029112021015926,0.42857142857142855,-0.16441730168042723,0.35325186364654243,-0.32941176470588235,-0.04195804195804196,0.37924926515463114,0.4306065430121917,0.09472747303561281,12,8,17,19,16,12,15,16,15
NeoTImmuML,False,0.14537086710887467,-0.0656720747604785,0.3696643015880688,8,12.0,19.0,1,False,0.042254568912239915,0.30952380952380953,0.1018405674587721,0.22914846408425837,-0.12058823529411765,-0.3076923076923077,0.4307419056902394,0.6592734658531486,-0.01966041893191964,12,8,17,19,16,12,15,16,15
Repitope,False,0.11294154025432851,-0.01204625064718294,0.24584846014494727,8,12.0,19.0,1,False,0.38029112021015926,0.19047619047619047,0.0024539895773198093,0.24604607418167132,-0.026470588235294117,-0.0979020979020979,0.1,-0.09800010978898155,0.35924947321053163,12,8,17,19,16,12,15,16,15
