tau,coverage,risk,n_kept,melanoma_miss_rate,method,key
0.0005109163145930683,0.6,0.6333333333333333,30,0.1,Deep Ensemble (3-seed),ensemble
0.0005374672049420174,0.62,0.6451612903225806,31,0.1,Deep Ensemble (3-seed),ensemble
0.0005674054830854739,0.62,0.6451612903225806,31,0.1,Deep Ensemble (3-seed),ensemble
0.0006291871531613284,0.64,0.65625,32,0.1,Deep Ensemble (3-seed),ensemble
0.0007024678258794383,0.64,0.65625,32,0.1,Deep Ensemble (3-seed),ensemble
0.0008183653334675818,0.66,0.6666666666666666,33,0.1,Deep Ensemble (3-seed),ensemble
0.000953064385851328,0.66,0.6666666666666666,33,0.1,Deep Ensemble (3-seed),ensemble
0.001255687462175609,0.68,0.6764705882352942,34,0.1,Deep Ensemble (3-seed),ensemble
0.0016475201762182975,0.68,0.6764705882352942,34,0.1,Deep Ensemble (3-seed),ensemble
0.0019140552219463988,0.7,0.6857142857142857,35,0.1,Deep Ensemble (3-seed),ensemble
0.002101235077741922,0.7,0.6857142857142857,35,0.1,Deep Ensemble (3-seed),ensemble
0.0023490430893894024,0.72,0.6666666666666666,36,0.1,Deep Ensemble (3-seed),ensemble
0.0026423222179258465,0.72,0.6666666666666666,36,0.1,Deep Ensemble (3-seed),ensemble
0.00327433739016584,0.74,0.6756756756756757,37,0.1,Deep Ensemble (3-seed),ensemble
0.004206003677989746,0.74,0.6756756756756757,37,0.1,Deep Ensemble (3-seed),ensemble
0.006756392830570466,0.76,0.6578947368421053,38,0.1,Deep Ensemble (3-seed),ensemble
0.010992951633939518,0.76,0.6578947368421053,38,0.1,Deep Ensemble (3-seed),ensemble
0.014909532284991443,0.78,0.6666666666666666,39,0.1,Deep Ensemble (3-seed),ensemble
0.01843341247638157,0.78,0.6666666666666666,39,0.1,Deep Ensemble (3-seed),ensemble
0.020754377841907815,0.8,0.675,40,0.1,Deep Ensemble (3-seed),ensemble
0.02133111670993147,0.8,0.675,40,0.1,Deep Ensemble (3-seed),ensemble
0.02185556179351554,0.82,0.6829268292682927,41,0.1,Deep Ensemble (3-seed),ensemble
0.022289945359453688,0.82,0.6829268292682927,41,0.1,Deep Ensemble (3-seed),ensemble
0.022660933853124073,0.84,0.6904761904761905,42,0.1,Deep Ensemble (3-seed),ensemble
0.022901170010242194,0.84,0.6904761904761905,42,0.1,Deep Ensemble (3-seed),ensemble
0.0230862514312234,0.86,0.6744186046511628,43,0.1,Deep Ensemble (3-seed),ensemble
0.023133446011862326,0.86,0.6744186046511628,43,0.1,Deep Ensemble (3-seed),ensemble
0.02327172012668486,0.88,0.6818181818181818,44,0.1,Deep Ensemble (3-seed),ensemble
