baseline,baseline_name,skin_group,n,n_pos,auc,ece_15,ece_ci_lo,ece_ci_hi
E,Adaptive Prior,VI,635,14,0.528295376121463,0.7981012861068383,0.7706337204225009,0.8289674038580421
E,Adaptive Prior,I-II,7755,290,0.5865394831050649,0.6033816579506845,0.5930268734983039,0.614198122854603
E,Adaptive Prior,III-IV,6089,132,0.6084095105834235,0.5002232551406689,0.4886505431381429,0.5120913781255344
E,Adaptive Prior,V-VI,2168,43,0.5784404924760602,0.6831929126543481,0.665785071772904,0.7017214805417734
F,Q-VIB Full,I,2947,119,0.6057581448420952,0.6697225745703044,0.6554445231014102,0.6853472593691268
F,Q-VIB Full,II,4808,171,0.5678492471564217,0.5684766393934657,0.5565679953374517,0.5834367310385107
F,Q-VIB Full,III,3308,80,0.6176792905824039,0.5000497450544037,0.48456702272180996,0.5169480349785227
F,Q-VIB Full,IV,2781,52,0.6015869436536347,0.5112764657739532,0.4936811560049358,0.5274733991410859
F,Q-VIB Full,V,1533,29,0.5976247248716068,0.6430642914738681,0.6223216771067231,0.6644631201022149
F,Q-VIB Full,VI,635,14,0.528295376121463,0.8042501403033498,0.7766954358187541,0.8338038206753947
F,Q-VIB Full,I-II,7755,290,0.5853749682426034,0.6069514003175333,0.5965855465720921,0.6178201122032566
F,Q-VIB Full,III-IV,6089,132,0.6109059369928935,0.5051772717946019,0.4939620071362065,0.5167433151472829
F,Q-VIB Full,V-VI,2168,43,0.5780519835841313,0.6915553547986448,0.6748434161730661,0.7102204774199617
G,Q-VIB+TokFT,I,2947,119,0.5942971247905104,0.8320795904293854,0.8190580368953169,0.844581256269661
G,Q-VIB+TokFT,II,4808,171,0.6127468228475005,0.7940910111867435,0.7828787373077459,0.8052746578682509
G,Q-VIB+TokFT,III,3308,80,0.6279062112763321,0.7587314996811501,0.7450274900339174,0.772985368317953
G,Q-VIB+TokFT,IV,2781,52,0.6183971305352763,0.7659718666566587,0.7510605538921615,0.7802122724556404
G,Q-VIB+TokFT,V,1533,29,0.563004402054292,0.8463680542472675,0.8291053450460724,0.8628089845559374
G,Q-VIB+TokFT,VI,635,14,0.6321025994939038,0.9203728629452154,0.9034929094163657,0.9413401193931831
G,Q-VIB+TokFT,I-II,7755,290,0.6067461948864817,0.8085271611581252,0.7999113685305068,0.8169548008122025
G,Q-VIB+TokFT,III-IV,6089,132,0.624666168144429,0.7620383580419465,0.751542976726389,0.7726328127680149
G,Q-VIB+TokFT,V-VI,2168,43,0.5831135430916553,0.8704527821849319,0.8577552079391061,0.8834888378241604
H,Focal+LS,I,2947,119,0.6671163514910915,0.6870522435171789,0.6791391002694995,0.6938457480640302
H,Focal+LS,II,4808,171,0.624913768858924,0.6875330800323836,0.6817616298831938,0.6927440464400537
H,Focal+LS,III,3308,80,0.5796700743494424,0.6965120207730054,0.6907532090224334,0.7025401549672815
H,Focal+LS,IV,2781,52,0.5756616963102855,0.6999358920603507,0.6943283435264023,0.7051515366872708
H,Focal+LS,V,1533,29,0.43844002201027144,0.704654730423867,0.696735671936338,0.7122465604137379
H,Focal+LS,VI,635,14,0.554520358868185,0.7184500266247846,0.7052592928719331,0.7291826141443779
H,Focal+LS,I-II,7755,290,0.642389080074832,0.6873503559562638,0.6830478835052093,0.6918875725608653
H,Focal+LS,III-IV,6089,132,0.578793855967769,0.6980757892161173,0.6938780187762691,0.7019168208475123
H,Focal+LS,V-VI,2168,43,0.478500683994528,0.708695326866479,0.7017976416652933,0.7154651854194124
TS,Std VIB + TS,I,2947,119,0.5481380671080314,0.6500463121127265,0.6347862087850482,0.6659547975809544
TS,Std VIB + TS,II,4808,171,0.5110930766640561,0.5480499831094142,0.5357568814043137,0.5624165652453734
TS,Std VIB + TS,III,3308,80,0.5175224597273853,0.47821148410225517,0.46142776909300054,0.4956754068564595
TS,Std VIB + TS,IV,2781,52,0.5372530089917411,0.47848687550077784,0.4612395022582518,0.49642346162904566
TS,Std VIB + TS,V,1533,29,0.636452219369039,0.6035373474265324,0.5824305762462707,0.6274108626752476
TS,Std VIB + TS,VI,635,14,0.6003565677478722,0.7740840706768937,0.7468622662037553,0.8059910321256188
TS,Std VIB + TS,I-II,7755,290,0.5287156154006051,0.5872448011010232,0.5769040494835512,0.5979911801431491
TS,Std VIB + TS,III-IV,6089,132,0.5248542585499109,0.4793549432884366,0.46731290074972637,0.4913125495561718
TS,Std VIB + TS,V-VI,2168,43,0.6287058823529412,0.6571808641396697,0.6383718440949022,0.676830393435778
