sev,target,qbar_route,correct_deg,correct_enh,qband
mild,1,0.5678885579109192,1,1,high
mild,0,0.5772227644920349,1,1,high
mild,0,0.5365354418754578,1,1,mid
mild,0,0.5531334280967712,0,1,high
mild,0,0.5008928179740906,1,1,mid
mild,0,0.5306558012962341,1,1,mid
mild,0,0.704835057258606,1,1,high
mild,0,0.5833947658538818,1,1,high
mild,1,0.5824366807937622,1,1,high
mild,0,0.5862545371055603,1,1,high
mild,0,0.5170504450798035,0,1,mid
mild,0,0.5498486757278442,1,1,high
mild,0,0.5195873379707336,1,1,mid
mild,0,0.5270242691040039,1,1,mid
mild,0,0.553563117980957,1,1,high
mild,0,0.6032761931419373,0,0,high
mild,0,0.5821056962013245,0,0,high
mild,0,0.5875512957572937,1,1,high
mild,0,0.4827668368816376,1,1,low
mild,0,0.5083445906639099,1,1,mid
mild,0,0.6286010146141052,1,1,high
mild,0,0.5811465978622437,0,1,high
mild,0,0.5677167773246765,1,1,high
mild,0,0.5322270393371582,1,1,mid
mild,0,0.7879534959793091,1,1,high
mild,0,0.536195695400238,1,1,mid
mild,0,0.5250377655029297,1,1,mid
mild,0,0.5201846361160278,1,1,mid
mild,0,0.6093366742134094,1,1,high
mild,0,0.4491353929042816,0,0,low
mild,0,0.5589563250541687,0,1,high
mild,0,0.5454796552658081,1,1,mid
mild,0,0.5541526675224304,1,1,high
mild,0,0.6042723655700684,0,1,high
mild,0,0.5962820053100586,0,0,high
mild,0,0.6475686430931091,1,1,high
mild,0,0.5888709425926208,0,0,high
mild,0,0.5346132516860962,1,1,mid
mild,0,0.5537058115005493,1,1,high
mild,0,0.6656944155693054,1,1,high
mild,0,0.4939894378185272,1,1,low
mild,0,0.5165842175483704,1,1,mid
mild,0,0.519457995891571,1,1,mid
mild,0,0.5186713337898254,1,1,mid
mild,1,0.5594378709793091,1,1,high
mild,0,0.5467713475227356,1,1,mid
mild,0,0.5614495277404785,1,1,high
mild,0,0.53231281042099,1,1,mid
mild,0,0.5931260585784912,1,1,high
mild,0,0.49158596992492676,1,1,low
mild,0,0.5527419447898865,0,0,high
mild,0,0.5087059140205383,1,1,mid
mild,0,0.5198689699172974,1,1,mid
mild,0,0.5237829685211182,1,1,mid
mild,0,0.4997873902320862,1,1,mid
mild,0,0.5661751627922058,1,1,high
mild,0,0.46438249945640564,1,1,low
mild,0,0.5009877681732178,0,1,mid
mild,0,0.5891658067703247,1,1,high
mild,0,0.514699399471283,1,1,mid
mild,0,0.4064762592315674,1,0,low
mild,0,0.5699684023857117,1,1,high
mild,0,0.5353385806083679,1,1,mid
mild,0,0.5063111186027527,1,1,mid
mild,0,0.5491761565208435,1,1,high
mild,0,0.6182059645652771,1,1,high
mild,0,0.5704630613327026,1,1,high
mild,0,0.5360618829727173,0,0,mid
mild,0,0.4905681312084198,1,1,low
mild,0,0.5365299582481384,1,1,mid
mild,0,0.539031445980072,1,1,mid
mild,0,0.5503321886062622,0,0,high
mild,0,0.4925212860107422,1,1,low
mild,0,0.6284908652305603,1,1,high
mild,0,0.49684739112854004,1,1,low
mild,0,0.6083185076713562,1,1,high
mild,0,0.5193113088607788,1,1,mid
mild,0,0.5701716542243958,1,1,high
mild,0,0.5453734397888184,1,1,mid
mild,0,0.5293416380882263,1,1,mid
mild,0,0.5240292549133301,1,1,mid
mild,0,0.5711672902107239,1,1,high
mild,0,0.5009656548500061,1,1,mid
mild,0,0.5893277525901794,1,1,high
mild,0,0.4992545545101166,1,1,mid
mild,0,0.6812764406204224,1,1,high
mild,0,0.5118389129638672,1,1,mid
mild,0,0.5045709013938904,1,1,mid
mild,0,0.6360257267951965,1,1,high
mild,0,0.5465031862258911,1,1,mid
mild,0,0.5242003798484802,1,1,mid
mild,0,0.6770041584968567,1,1,high
mild,1,0.565833330154419,1,0,high
mild,0,0.5901722311973572,1,1,high
mild,0,0.4972671568393707,1,1,low
mild,0,0.5672357678413391,1,1,high
