baseline,label,n,n_pos,n_lq,n_hq,qbar_mean,qbar_median,ece_10bins,ece_15bins,ece_lq_10,ece_hq_10,qcdi_10,ece_lq_15,ece_hq_15,qcdi_15,entropy_vs_qbar_rho,entropy_vs_qbar_rho_p
Std VIB + QCTS,V-VI,136,43,68,68,0.4736258823529411,0.47367999999999993,0.45004904429629755,0.47482443374985184,0.47862742031526767,0.44932733727745855,0.02930008303780912,0.48407121659550323,0.44560984555038424,0.038461371045118986,-0.3062834624822827,0.0002873627384714211
Std VIB + QCTS,All (known),1432,465,716,716,0.5466759497206704,0.55532,0.40396089589440176,0.40458488267897097,0.4381923332679629,0.3720903774364728,0.06610195583149014,0.43585990991736145,0.37471661692509506,0.061143292992266396,-0.2500216283594372,7.545081591169776e-22
Std VIB + QCTS,All (incl. unknown),1500,490,750,750,0.5427768666666667,0.5521400000000001,0.4093520525519375,0.4105351742891113,0.4480312433599464,0.3714205004151295,0.0766107429448169,0.44902383945903535,0.3754339356338569,0.07358990382517844,-0.2503190882314552,7.285812945592357e-23
MC Dropout,I,386,119,193,193,0.5688023316062176,0.5900799999999999,0.6756288821524289,0.6756288821524289,0.7300917348713455,0.6211660294335124,0.10892570543783309,0.7300917348713455,0.6211660294335124,0.10892570543783309,-0.18548725146680778,0.0002480408542584393
MC Dropout,II,504,171,252,252,0.5619970634920635,0.5751,0.64901443263368,0.64901443263368,0.7243884113572894,0.5736404539100708,0.15074795744721858,0.7243884113572894,0.5736404539100708,0.15074795744721858,-0.06013434904656913,0.17769674502880578
MC Dropout,III,252,80,126,126,0.5424088888888888,0.55083,0.67598318722513,0.67598318722513,0.7393916282388899,0.6125747462113699,0.12681688202752006,0.7393916282388899,0.6125747462113699,0.12681688202752006,-0.10234576513178882,0.10504548030754872
MC Dropout,IV,154,52,77,77,0.5125687012987012,0.51762,0.6434855739791671,0.6434855739791671,0.6826021609368262,0.6043689870215081,0.07823317391531814,0.6826021609368262,0.6043689870215081,0.07823317391531814,-0.013456878352514027,0.8684383823930949
MC Dropout,V,93,29,46,47,0.4692864516129032,0.4761,0.6823878230587128,0.6823878230587128,0.7332446354886759,0.6326130704676851,0.1006315650209908,0.7332446354886759,0.6326130704676851,0.1006315650209908,-0.0939247333894414,0.3705152049737438
MC Dropout,VI,43,14,21,22,0.4830111627906977,0.46982,0.669100355270297,0.669100355270297,0.7567065528460912,0.5854762575843118,0.17123029526177946,0.7567065528460912,0.5854762575843118,0.17123029526177946,0.1988825128360012,0.20105660205291295
MC Dropout,I-II,890,290,445,445,0.5649485617977529,0.5802099999999999,0.6634267553854525,0.6605573287170925,0.7223659410905301,0.5987487163436547,0.12361722474687542,0.7223659410905301,0.5987487163436547,0.12361722474687542,-0.12073083408069168,0.00030631848101615576
