bb_idx,MT_Seq2Neo
747,0.782415
748,0.939854
749,0.932417
750,0.687002
751,0.750668
752,0.874635
753,0.841513
754,0.943237
755,0.935024
756,0.167398
757,0.704055
758,0.858832
759,0.737263
760,0.947819
761,0.93851
762,0.271591
763,0.677273
764,0.833713
765,0.780799
766,0.934698
767,0.919961
768,0.498101
769,0.744005
770,0.857631
771,0.793478
772,0.945342
773,0.939468
774,0.64122
775,0.772714
776,0.848459
777,0.799054
778,0.943332
779,0.939084
780,0.658129
781,0.7236
782,0.845866
783,0.785789
784,0.916671
785,0.906176
786,0.532191
787,0.652819
788,0.752167
789,0.696229
790,0.852852
791,0.846975
792,0.55749
793,0.630698
794,0.740406
795,0.704581
796,0.852994
797,0.850603
798,0.560348
799,0.59903
800,0.693768
801,0.674346
802,0.812728
803,0.818721
804,0.605087
805,0.644455
806,0.75894
807,0.730585
808,0.859264
809,0.858029
810,0.557926
811,0.698905
812,0.880287
813,0.838488
814,0.930742
815,0.916389
816,0.608722
817,0.724126
818,0.859885
819,0.800095
820,0.918567
821,0.904038
822,0.746654
823,0.782624
824,0.887135
825,0.870508
826,0.960099
827,0.957097
828,0.801163
829,0.817787
830,0.905315
831,0.889909
832,0.957407
833,0.954197
834,0.762125
835,0.729713
836,0.880628
837,0.871054
838,0.931484
839,0.925999
840,0.491337
841,0.634037
842,0.824922
843,0.792897
844,0.906325
845,0.901355
846,0.578604
847,0.677265
848,0.843321
849,0.82536
850,0.943532
851,0.936614
852,0.273923
853,0.692399
854,0.79098
855,0.752138
856,0.887016
857,0.867083
858,0.111615
859,0.601524
860,0.720837
861,0.381817
862,0.907543
863,0.889188
864,0.432355
865,0.724021
866,0.877936
867,0.851909
868,0.956751
869,0.950659
870,0.155075
871,0.648249
872,0.816207
873,0.710205
874,0.927085
875,0.919104
876,0.159707
877,0.670943
878,0.833035
879,0.756312
880,0.951166
881,0.943582
882,0.419735
883,0.83235
884,0.922229
885,0.900033
886,0.977877
887,0.974493
888,0.21285
889,0.75434
890,0.863945
891,0.813491
892,0.96355
893,0.957888
894,0.229247
895,0.782231
896,0.880738
897,0.839547
898,0.966915
899,0.964585
900,0.647409
901,0.789471
902,0.923587
903,0.89494
904,0.970571
905,0.967908
906,0.412521
