bb_idx,MT_NeoTImmuML,WT_NeoTImmuML
362,0.4922828011033224,0.3207464748982311
363,0.532226414730052,0.4331012661312209
364,0.532226414730052,0.4331012661312209
365,0.532226414730052,0.4331012661312209
366,0.5387204877605669,0.3131458881425785
367,0.5387204877605669,0.3131458881425785
368,0.5387204877605669,0.3131458881425785
369,0.6286316827971903,0.573587873470661
370,0.6286316827971903,0.573587873470661
371,0.6286316827971903,0.573587873470661
372,0.5207048686429131,0.4441760360559536
373,0.5207048686429131,0.4441760360559536
374,0.5207048686429131,0.4441760360559536
375,0.5474171292212479,0.5194852630219028
376,0.5474171292212479,0.5194852630219028
377,0.5474171292212479,0.5194852630219028
378,0.262993836183211,0.2556124613127098
379,0.262993836183211,0.2556124613127098
380,0.262993836183211,0.2556124613127098
381,0.1605616593637107,0.1928529444017651
382,0.1605616593637107,0.1928529444017651
383,0.1605616593637107,0.1928529444017651
384,0.2663099623467821,0.234680297084881
385,0.2663099623467821,0.234680297084881
386,0.2663099623467821,0.234680297084881
387,0.3611038736004919,0.3228654876327244
388,0.3611038736004919,0.3228654876327244
389,0.3611038736004919,0.3228654876327244
390,0.6558204465999969,0.6025741037026022
391,0.6558204465999969,0.6025741037026022
392,0.6558204465999969,0.6025741037026022
393,0.6366349041954956,0.5325298603701011
394,0.6366349041954956,0.5325298603701011
395,0.6366349041954956,0.5325298603701011
396,0.523676537663332,0.5692250634144101
397,0.523676537663332,0.5692250634144101
398,0.523676537663332,0.5692250634144101
399,0.754629960078474,0.7183257721487335
400,0.754629960078474,0.7183257721487335
401,0.754629960078474,0.7183257721487335
402,0.7946466318548879,0.7418808050470854
403,0.7946466318548879,0.7418808050470854
404,0.7946466318548879,0.7418808050470854
405,0.1301225185578648,0.1277931293312513
406,0.1301225185578648,0.1277931293312513
407,0.1301225185578648,0.1277931293312513
408,0.1304002970006165,0.1863315276713527
409,0.1304002970006165,0.1863315276713527
410,0.1304002970006165,0.1863315276713527
411,0.1046660071502357,0.1886771476478201
412,0.1046660071502357,0.1886771476478201
413,0.1046660071502357,0.1886771476478201
414,0.1335705878480705,0.2383754831245206
415,0.1335705878480705,0.2383754831245206
416,0.1335705878480705,0.2383754831245206
417,0.1471531803361229,0.2091957191543285
418,0.1471531803361229,0.2091957191543285
419,0.1471531803361229,0.2091957191543285
420,0.1514143746202018,0.3139014799186863
421,0.1514143746202018,0.3139014799186863
422,0.1514143746202018,0.3139014799186863
423,0.1169972467910308,0.3032942910250477
