bb_idx,MT_Repitope,WT_Repitope
415,0.3244,0.34744
416,0.3244,0.34744
417,0.28616,0.32176
418,0.28616,0.32176
419,0.28616,0.32176
420,0.23968,0.26168
421,0.23968,0.26168
422,0.23968,0.26168
423,0.20528,0.262
424,0.20528,0.262
425,0.20528,0.262
426,0.2552,0.31216
427,0.2552,0.31216
428,0.2552,0.31216
429,0.28088,0.34752
430,0.28088,0.34752
431,0.28088,0.34752
432,0.39712,0.42496
433,0.39712,0.42496
434,0.39712,0.42496
435,0.4216,0.47352
436,0.4216,0.47352
437,0.4216,0.47352
438,0.40992,0.44616
439,0.40992,0.44616
440,0.40992,0.44616
441,0.37728,0.36472
442,0.37728,0.36472
443,0.37728,0.36472
444,0.27216,0.27872
445,0.27216,0.27872
446,0.27216,0.27872
447,0.32952,0.29056
448,0.32952,0.29056
449,0.32952,0.29056
450,0.22728,0.24072
451,0.22728,0.24072
452,0.22728,0.24072
453,0.16304,0.18472
454,0.16304,0.18472
455,0.16304,0.18472
456,0.20776,0.21872
457,0.20776,0.21872
458,0.20776,0.21872
459,0.28176,0.27392
460,0.28176,0.27392
461,0.28176,0.27392
462,0.27944,0.2184
463,0.27944,0.2184
464,0.27944,0.2184
465,0.30472,0.2716
466,0.30472,0.2716
467,0.30472,0.2716
468,0.28032,0.26648
469,0.28032,0.26648
470,0.28032,0.26648
471,0.41064,0.33656
472,0.41064,0.33656
473,0.41064,0.33656
474,0.3964,0.37872
475,0.3964,0.37872
476,0.3964,0.37872
477,0.40064,0.37856
478,0.40064,0.37856
479,0.40064,0.37856
480,0.44776,0.43632
481,0.44776,0.43632
482,0.44776,0.43632
483,0.4812,0.47112
484,0.4812,0.47112
485,0.4812,0.47112
486,0.16608,0.1192
487,0.16608,0.1192
488,0.16608,0.1192
489,0.16608,0.1192
490,0.16608,0.1192
491,0.16608,0.1192
492,0.23296,0.15336
493,0.23296,0.15336
494,0.23296,0.15336
495,0.23296,0.15336
496,0.23296,0.15336
497,0.23296,0.15336
