bb_idx,MT_DeepNetBim,WT_DeepNetBim
323,1.0,1.0
324,0.057120323,0.057127506
325,1.0,1.0
326,0.0031968355,0.0031972528
327,0.09235105,0.09235382
328,1.0,1.0
329,0.565671,0.5656792
330,0.08683765,0.089526236
331,1.0,1.0
332,0.032226622,0.14166072
333,0.08896613,0.08896938
334,1.0,1.0
335,0.13438806,0.13439271
336,0.08894849,0.08895171
337,1.0,1.0
338,0.06715253,0.06715503
339,0.09170672,0.091709375
340,1.0,1.0
341,0.06573564,0.065737575
342,0.102972,0.10297549
343,0.5239993,0.52400875
344,0.69732094,0.6973289
345,0.09329677,0.0933066
346,1.0,1.0
347,0.14077485,0.14078891
348,0.0989615,0.09896651
349,1.0,1.0
350,0.15514249,0.15514988
351,0.13463715,0.0968346
352,1.0,1.0
353,0.19592318,0.03618577
354,0.100137085,0.063675195
355,1.0,1.0
356,0.007808715,0.0035872161
357,0.13479993,0.123191
358,1.0,1.0
359,0.19614321,0.18281475
360,0.16198641,0.14959684
361,0.027338207,1.0
362,0.71481645,0.05802536
363,0.0028420985,0.04107535
364,0.16049793,1.0
365,0.16159907,0.002262503
366,0.11695361,0.11564204
367,1.0,1.0
368,0.17376256,0.17193797
369,0.0062758327,0.005769253
370,0.297566,0.28017586
371,0.29927224,0.28182244
372,0.1225093,0.1196323
373,0.5639523,1.0
374,0.73697644,0.087730646
375,0.14169094,0.0043226182
376,0.023440987,0.22553271
377,0.6815922,0.2269594
378,0.07589042,0.07686177
379,1.0,1.0
380,0.0015791357,0.005721748
381,0.07774019,0.07774222
382,1.0,1.0
383,0.0068463087,0.0068464875
384,0.049928933,0.049930453
385,1.0,1.0
386,0.0027744174,0.0027745068
387,0.002667904,0.0026679933
388,0.15213755,1.0
389,0.1531918,0.14889535
390,0.002667904,0.002668023
391,0.15213755,0.15214154
392,0.1531918,0.15319574
393,0.076880306,0.07688248
394,1.0,1.0
395,0.0058556497,0.0058558583
396,0.07117897,0.071176976
397,0.44465017,1.0
398,0.50679284,0.05080408
399,0.09146142,0.09817383
400,1.0,1.0
401,0.13839096,0.1479865
402,0.16442454,0.16422397
403,0.10125896,0.101126134
404,0.12250054,0.12234354
405,0.076775014,0.076475054
406,0.48026428,1.0
407,0.5683119,0.05506757
408,0.12811857,0.12974787
409,0.6470246,1.0
410,0.74679685,0.0104343295
411,0.0036631525,0.10312086
412,0.19782776,1.0
413,0.19912422,0.15435675
414,0.10831717,0.106512815
415,1.0,1.0
416,0.07791984,0.0022903979
417,0.003948152,0.10718009
418,0.2100381,1.0
419,0.21139354,0.04034117
420,0.10298899,0.102189094
421,0.43696246,1.0
422,0.6973368,0.005992979
423,0.09359607,0.093193114
424,1.0,0.44511244
425,0.007250041,0.67346126
426,0.07980192,0.07774305
427,1.0,1.0
428,0.13238302,0.11808643
429,0.0863857,0.08702892
430,1.0,1.0
431,0.5507813,0.06603336
432,0.124592006,0.0050943196
433,1.0,0.25565565
434,0.04747188,0.2572096
435,0.11882922,0.004069984
436,1.0,0.21514261
437,0.17636725,0.21652195
438,0.12842032,0.0047845542
439,0.99999285,0.24384272
440,0.6111688,0.24534851
441,0.11969897,0.10905036
442,1.0,1.0
443,0.17760545,0.041098773
444,0.081080645,0.00402382
445,1.0,0.21321386
446,0.0046494305,0.21458426
447,0.12293604,0.039767087
448,0.34726197,1.0
449,0.7376946,0.19467977
450,0.11708018,0.11090428
451,0.56228137,0.5471753
452,0.72687614,0.7145668
453,0.08153081,0.066988826
454,1.0,1.0
455,0.004677385,0.003786534
456,0.10055572,0.098544925
457,0.5199233,1.0
458,0.6917131,0.14790979
459,0.11292234,0.10550815
460,0.5306077,0.51158494
461,0.71868443,0.70301765
462,0.097556025,0.096491516
463,0.5134098,1.0
464,0.68447655,0.06994274
465,0.09764841,0.096575856
466,1.0,1.0
467,0.58389515,0.58092016
468,0.12511978,0.12502754
469,1.0,1.0
470,0.18627328,0.102014035
471,0.10218778,0.101347595
472,1.0,1.0
473,0.0773955,0.076741725
474,0.1057646,0.105065465
475,0.30982593,0.30824277
476,0.70353395,0.70198524
477,0.12360865,0.123485535
478,1.0,1.0
479,0.64354384,0.6432829
480,0.14617229,0.14735213
481,1.0,0.078915775
482,0.686655,0.6886786
483,0.072506785,0.07249603
484,0.43105686,0.43101788
485,0.6107344,0.6106966
486,0.0069758594,0.06095031
487,0.0069758594,0.060953885
488,0.0069750845,0.060828984
489,0.0069751143,0.060842186
490,1.0,1.0
491,1.0,1.0
492,0.93780136,0.1424484
493,0.95992184,0.14244932
494,0.89417326,0.14242944
495,0.9456246,0.14243156
496,1.0,1.0
497,1.0,1.0
498,0.94694805,0.038886547
499,0.9659338,0.038886547
500,0.90911394,0.03888631
501,0.9536776,0.03888631
502,1.0,1.0
503,1.0,1.0
504,0.0067978203,0.06133601
505,0.0067978203,0.061339885
506,0.0067970753,0.061202437
507,0.006797105,0.06121698
508,1.0,1.0
509,1.0,1.0
510,0.06292397,0.063244045
