ur,fire_rate,inference_ur,mech,value,mask_seed,x0_mode,ckpt_verified,N
0.7,0.3,0.7,dfront,0.0,43,foreground,1,8
0.7,0.3,0.7,dfront,0.90533008,43,foreground,1,16
0.7,0.3,0.7,dfront,2.45001912,43,foreground,1,32
0.7,0.3,0.7,sigma,0.86076664,44,foreground,1,
0.7,0.3,0.7,rho_foreground,1.13900552,44,foreground,1,
0.7,0.3,0.7,dfront,0.0,44,foreground,1,4
0.7,0.3,0.7,dfront,0.0,44,foreground,1,8
0.7,0.3,0.7,dfront,0.67677669,44,foreground,1,16
0.7,0.3,0.7,dfront,2.19754852,44,foreground,1,32
0.75,0.25,0.75,sigma,0.83747531,42,foreground,1,
0.75,0.25,0.75,rho_foreground,1.13866187,42,foreground,1,
0.75,0.25,0.75,dfront,0.0,42,foreground,1,4
0.75,0.25,0.75,dfront,0.0,42,foreground,1,8
0.75,0.25,0.75,dfront,1.20710677,42,foreground,1,16
0.75,0.25,0.75,dfront,3.0774897,42,foreground,1,32
0.75,0.25,0.75,sigma,0.83433208,43,foreground,1,
0.75,0.25,0.75,rho_foreground,1.14811707,43,foreground,1,
0.75,0.25,0.75,dfront,0.0,43,foreground,1,4
0.75,0.25,0.75,dfront,0.0,43,foreground,1,8
0.75,0.25,0.75,dfront,0.72855338,43,foreground,1,16
0.75,0.25,0.75,dfront,3.14779998,43,foreground,1,32
0.75,0.25,0.75,sigma,0.83739396,44,foreground,1,
0.75,0.25,0.75,rho_foreground,1.14288156,44,foreground,1,
0.75,0.25,0.75,dfront,0.0,44,foreground,1,4
0.75,0.25,0.75,dfront,0.0,44,foreground,1,8
0.75,0.25,0.75,dfront,0.83210677,44,foreground,1,16
0.75,0.25,0.75,dfront,2.41242404,44,foreground,1,32
0.8,0.2,0.8,sigma,0.8140012,42,foreground,1,
0.8,0.2,0.8,rho_foreground,1.13953773,42,foreground,1,
0.8,0.2,0.8,dfront,0.0,42,foreground,1,4
0.8,0.2,0.8,dfront,0.17677669,42,foreground,1,8
0.8,0.2,0.8,dfront,1.10355338,42,foreground,1,16
0.8,0.2,0.8,dfront,3.65393968,42,foreground,1,32
0.8,0.2,0.8,sigma,0.81191802,43,foreground,1,
0.8,0.2,0.8,rho_foreground,1.16586959,43,foreground,1,
0.8,0.2,0.8,dfront,0.0,43,foreground,1,4
0.8,0.2,0.8,dfront,0.125,43,foreground,1,8
0.8,0.2,0.8,dfront,1.30061479,43,foreground,1,16
0.8,0.2,0.8,dfront,3.62268832,43,foreground,1,32
0.8,0.2,0.8,sigma,0.81144881,44,foreground,1,
0.8,0.2,0.8,rho_foreground,1.13958833,44,foreground,1,
0.8,0.2,0.8,dfront,0.0,44,foreground,1,4
0.8,0.2,0.8,dfront,0.125,44,foreground,1,8
0.8,0.2,0.8,dfront,1.13388346,44,foreground,1,16
0.8,0.2,0.8,dfront,3.55954292,44,foreground,1,32
