run_id,dataset,ur,fire_rate,clip_norm,seed,step,dice_proxy,fg_ratio,diverged,sigma_t,dfront_t,rho_t
hippo_045_clip1,hippo,0.45,0.55,1.0,42,108,0.40000892,0.10949707,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,109,0.39942908,0.11676025,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,110,0.21862972,0.01477051,0,0.97202621,5.38516474,2.84338617
hippo_045_clip1,hippo,0.45,0.55,1.0,42,111,0.17831844,0.02404785,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,112,0.18043941,0.12243652,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,113,0.10385716,0.07305908,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,114,0.21208888,0.04547119,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,115,0.35407543,0.04504395,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,116,0.39543951,0.05291748,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,117,0.57996786,0.15625,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,118,0.54360723,0.15618896,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,119,0.40524876,0.10357666,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,120,0.3263272,0.06365967,0,0.99999955,5.09901953,3.91242886
hippo_045_clip1,hippo,0.45,0.55,1.0,42,121,0.26273024,0.10888672,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,122,0.23288739,0.15441895,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,123,0.29884517,0.02545166,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,124,0.43828094,0.05664062,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,125,0.08761746,0.08624268,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,126,0.25850987,0.0256958,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,127,0.21232164,0.03271484,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,128,0.22517413,0.02160645,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,129,0.33583862,0.04333496,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,130,0.00298589,0.02941895,0,0.99999846,6.3245554,4.08720732
hippo_045_clip1,hippo,0.45,0.55,1.0,42,131,0.00630069,0.02282715,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,132,0.18276477,0.05407715,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,133,0.40696204,0.09790039,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,134,0.23757505,0.05548096,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,135,0.04700106,0.0123291,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,136,0.05594087,0.01379395,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,137,0.00786024,0.02728271,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,138,0.20721483,0.0826416,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,139,0.23943847,0.27850342,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,140,0.2874074,0.19049072,0,0.99999956,4.47213602,4.01821089
hippo_045_clip1,hippo,0.45,0.55,1.0,42,141,0.16096348,0.15423584,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,142,0.4845773,0.15893555,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,143,0.09801632,0.06213379,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,144,0.42072254,0.2444458,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,145,0.17435247,0.14337158,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,146,0.18430197,0.05474854,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,147,0.43595195,0.18463135,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,148,0.09357721,0.02130127,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,149,0.39592636,0.04412842,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,150,0.00958806,0.02703857,0,0.99999919,5.0,4.56620114
hippo_045_clip1,hippo,0.45,0.55,1.0,42,151,0.01004404,0.08642578,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,152,0.41187978,0.08343506,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,153,0.25514632,0.06414795,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,154,0.2236414,0.04846191,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,155,0.11296725,0.00976562,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,156,0.0305838,0.02294922,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,157,0.18385255,0.02972412,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,158,0.45132619,0.11291504,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,159,0.01490128,0.03491211,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,160,0.07552177,0.02459717,0,0.99999826,5.0,4.44618411
hippo_045_clip1,hippo,0.45,0.55,1.0,42,161,0.31968653,0.02844238,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,162,0.40506589,0.1895752,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,163,0.41724956,0.28088379,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,164,0.36578077,0.16229248,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,165,0.24125087,0.06420898,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,166,0.04036522,0.02160645,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,167,0.28707433,0.08630371,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,168,0.36890805,0.13360596,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,169,0.43766612,0.09613037,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,170,0.45278537,0.16809082,0,0.99999918,2.0,4.22350547
hippo_045_clip1,hippo,0.45,0.55,1.0,42,171,0.17979002,0.12286377,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,172,0.04239857,0.0255127,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,173,0.21332014,0.08575439,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,174,0.36944228,0.03735352,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,175,0.00102443,0.07220459,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,176,0.42896712,0.10302734,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,177,0.33959031,0.09716797,0,nan,nan,nan
hippo_045_clip1,hippo,0.45,0.55,1.0,42,178,0.01058298,0.01385498,0,nan,nan,nan
