backbone,analysis,n,param,mean,std,ci_lo,ci_hi,n_repeats
Swin-Tiny,subsample,2000,T0,0.49194478527038094,0.2292878243260862,0.1521339018986855,0.7739233746429086,100
Swin-Tiny,subsample,2000,alpha,0.17324336094871362,0.1649017431950397,0.0,0.5199541126443566,100
Swin-Tiny,subsample,9936,T0,0.29192784523549536,0.0,0.29192784523549536,0.29192784523549536,1
Swin-Tiny,subsample,9936,alpha,0.303547642008418,0.0,0.303547642008418,0.303547642008418,1
ViT-Tiny,bootstrap,9936,T0,0.6458680803379259,0.16376962390963762,0.5236432494005134,1.049579425238139,500
ViT-Tiny,bootstrap,9936,alpha,1.0490813608276552,0.4439045237519127,0.22394032031508795,1.4009273926518706,500
ViT-Tiny,bootstrap,9936,ece_lq,0.036609881362577125,0.007035760746625367,0.023138361701055273,0.04394413737889573,500
ViT-Tiny,subsample,200,T0,0.8136173293833225,0.32716164343833914,0.5236432494005134,1.3861122111447353,100
ViT-Tiny,subsample,200,alpha,0.7073643810165859,0.5569649940327938,0.0,1.4009273926518706,100
ViT-Tiny,subsample,500,T0,0.7701048745013783,0.3061081305856978,0.5236432494005134,1.3861122111447353,100
ViT-Tiny,subsample,500,alpha,0.8053855716776528,0.558834542085194,0.03957304377112342,1.4009273926518706,100
ViT-Tiny,subsample,1000,T0,0.7061980249940223,0.2561507040536159,0.5236432494005134,1.3861122111447353,100
ViT-Tiny,subsample,1000,alpha,0.959308025660608,0.5384960002659871,0.03957339106713762,1.4009273926518706,100
ViT-Tiny,subsample,2000,T0,0.6283313327827593,0.18513787690989855,0.5236432494005134,1.20936842237864,100
ViT-Tiny,subsample,2000,alpha,1.0737779887371826,0.4903504439405741,0.03974607498978285,1.4009273926518706,100
ViT-Tiny,subsample,9936,T0,0.5236432494005134,0.0,0.5236432494005134,0.5236432494005134,1
ViT-Tiny,subsample,9936,alpha,1.4009273926518706,0.0,1.4009273926518706,1.4009273926518706,1
