bb_idx,MT_TSCAPE
1305,0.274135
1993,0.274135
574,0.233344
1306,0.233344
1994,0.233344
575,0.058304
576,0.047701
577,0.364754
1309,0.364754
1997,0.364754
578,0.317681
1310,0.317681
1998,0.317681
579,0.059982
580,0.043331
581,0.247702
1313,0.247702
2001,0.247702
582,0.194148
1314,0.194148
2002,0.194148
583,0.051136
584,0.026309
585,0.328166
1317,0.328166
2005,0.328166
586,0.319553
1318,0.319553
2006,0.319553
587,0.087286
588,0.052024
589,0.298593
590,0.209508
591,0.045711
592,0.037221
593,0.555004
594,0.436053
595,0.140505
596,0.102783
597,0.392580
598,0.348745
599,0.074073
600,0.058310
601,0.611343
602,0.620931
603,0.168774
604,0.138392
605,0.292952
1329,0.292952
2009,0.292952
606,0.267368
1330,0.267368
2010,0.267368
607,0.071603
608,0.065043
609,0.284940
1333,0.284940
2013,0.284940
610,0.262296
1334,0.262296
2014,0.262296
611,0.070256
612,0.040402
613,0.338379
1337,0.338379
2017,0.338379
614,0.353351
1338,0.353351
2018,0.353351
615,0.072050
616,0.060119
617,0.602102
1341,0.602102
2021,0.602102
618,0.392446
1342,0.392446
2022,0.392446
619,0.139482
620,0.114630
621,0.279830
1345,0.279830
2025,0.279830
622,0.225672
1346,0.225672
2026,0.225672
623,0.064946
624,0.043989
625,0.354600
1349,0.354600
2029,0.354600
626,0.313069
1350,0.313069
2030,0.313069
627,0.062743
628,0.042364
629,0.176758
1353,0.176758
2033,0.176758
630,0.168600
1354,0.168600
2034,0.168600
631,0.045644
632,0.022505
633,0.325024
634,0.314933
635,0.086037
636,0.050981
637,0.294329
638,0.209046
639,0.043269
640,0.036429
641,0.561918
642,0.446069
643,0.145491
644,0.108192
645,0.359004
646,0.334309
647,0.075171
648,0.051965
649,0.251625
1365,0.251625
2037,0.251625
650,0.269190
1366,0.269190
2038,0.269190
651,0.072497
652,0.059283
653,0.305114
1369,0.305114
2041,0.305114
654,0.257454
1370,0.257454
2042,0.257454
655,0.068088
656,0.035143
657,0.302162
1373,0.302162
2045,0.302162
658,0.334391
1374,0.334391
2046,0.334391
659,0.063085
660,0.050340
661,0.603481
1377,0.603481
2049,0.603481
662,0.417164
1378,0.417164
2050,0.417164
663,0.141298
664,0.120463
665,0.274307
1381,0.274307
2053,0.274307
666,0.251327
1382,0.251327
2054,0.251327
667,0.061853
668,0.047596
669,0.355689
1385,0.355689
2057,0.355689
670,0.302279
1386,0.302279
2058,0.302279
671,0.067740
672,0.039420
673,0.177474
674,0.175742
675,0.043895
676,0.022835
677,0.317007
678,0.308497
679,0.092173
680,0.051416
681,0.291341
682,0.215310
683,0.043635
684,0.036779
685,0.528097
686,0.468396
687,0.135740
688,0.106635
689,0.449744
690,0.413157
691,0.097554
692,0.097386
693,0.301400
694,0.221301
695,0.050202
696,0.038539
697,0.199476
698,0.172687
699,0.036495
700,0.039553
701,0.288185
702,0.282214
703,0.050683
704,0.038030
705,0.485084
706,0.352292
707,0.102569
708,0.092575
709,0.292128
710,0.238812
711,0.065421
712,0.051817
713,0.200170
714,0.168046
715,0.031141
716,0.021931
717,0.327648
718,0.227521
719,0.045327
720,0.040664
721,0.550577
722,0.510980
723,0.132166
724,0.093771
725,0.386746
726,0.245310
727,0.066348
728,0.048662
729,0.278844
730,0.280575
731,0.055862
732,0.031092
733,0.407639
734,0.328281
735,0.062833
736,0.055446
737,0.378444
738,0.294066
739,0.075653
740,0.063197
741,0.466483
742,0.331369
743,0.091060
744,0.067424
745,0.333517
746,0.281866
747,0.046950
748,0.042692
749,0.588417
750,0.545145
751,0.124675
752,0.076936
753,0.444740
754,0.363773
755,0.103406
756,0.073644
757,0.415600
758,0.376588
759,0.096831
760,0.088602
761,0.289531
762,0.242644
763,0.055697
764,0.052254
765,0.176353
766,0.155123
767,0.035026
768,0.035637
769,0.278556
770,0.305795
771,0.053921
772,0.039362
773,0.468017
774,0.339788
775,0.094721
776,0.085077
777,0.347899
778,0.268137
779,0.089811
780,0.062946
781,0.246249
782,0.217080
783,0.040991
784,0.029402
785,0.378384
786,0.273414
787,0.055985
788,0.049306
789,0.636868
790,0.591247
791,0.166101
792,0.133326
793,0.393844
794,0.252708
795,0.069686
796,0.050963
797,0.211299
798,0.252282
799,0.055331
800,0.028499
801,0.396741
802,0.274747
803,0.070730
804,0.048383
805,0.370663
806,0.272434
807,0.076031
808,0.069231
809,0.385206
810,0.305802
811,0.075205
812,0.051892
813,0.320734
814,0.274306
815,0.053322
816,0.039619
817,0.540439
818,0.485652
819,0.113474
820,0.067960
821,0.373118
822,0.344461
823,0.081085
824,0.072375
825,0.266118
826,0.239676
827,0.053619
828,0.044181
829,0.174816
830,0.151191
831,0.034479
832,0.035002
833,0.260824
834,0.296465
835,0.047832
836,0.041371
837,0.350671
838,0.250325
839,0.074701
840,0.051516
841,0.299418
842,0.262512
843,0.081043
844,0.064630
845,0.259054
846,0.216508
847,0.041227
848,0.029013
849,0.382697
850,0.299422
851,0.066163
852,0.055306
853,0.622967
854,0.627426
855,0.185515
856,0.146777
857,0.310790
858,0.244127
859,0.053508
860,0.036961
861,0.247437
862,0.240988
863,0.050970
864,0.024880
865,0.277700
866,0.223487
867,0.056197
868,0.033909
869,0.323101
870,0.246050
871,0.068314
872,0.059957
873,0.361021
874,0.298536
875,0.074336
876,0.057799
877,0.323762
878,0.279777
879,0.060632
880,0.043983
881,0.406219
882,0.343716
883,0.085529
884,0.076470
885,0.334412
886,0.292831
887,0.062161
888,0.057871
889,0.183673
890,0.152216
891,0.036007
892,0.034119
893,0.338612
894,0.334824
895,0.065261
896,0.053847
897,0.407703
898,0.213388
899,0.065112
900,0.056439
901,0.317714
902,0.267298
903,0.080593
904,0.064901
905,0.293390
906,0.236372
907,0.047725
908,0.037533
909,0.367013
910,0.268983
911,0.057656
912,0.056082
913,0.601994
914,0.597815
915,0.187768
916,0.122307
917,0.281393
918,0.222000
