corruption,severity,raw_auc,raw_ece,raw_rho,raw_rho_pval,ts_auc,ts_ece,ts_rho,ts_rho_pval,qcts_auc,qcts_ece,qcts_rho,qcts_rho_pval,n
snow,1,0.6032638888888888,0.08279201408227285,0.004740056354004755,0.9348392335272436,0.6032638888888888,0.05448375719288985,0.004740056354004755,0.9348392335272436,0.6154861111111111,0.0512632308403651,-0.13145622953521313,0.022769840563068057,300
snow,2,0.5200694444444445,0.1198416155576706,0.07002438806774598,0.22655543551536408,0.5200694444444445,0.0805470052237312,0.07002438806774598,0.22655543551536408,0.553611111111111,0.04748344689607621,-0.10915796443361019,0.05896890757411947,300
snow,3,0.5590972222222222,0.07672301735728979,-0.030218137037860596,0.6021386039383275,0.5590972222222222,0.08077413899203142,-0.030218137037860596,0.6021386039383275,0.5716666666666667,0.106011285657684,-0.12101188314131396,0.036176156441329696,300
snow,4,0.5599305555555556,0.06386553575595219,-0.16517796378250826,0.004120924520839481,0.5599305555555556,0.09318663015961645,-0.16517796378250826,0.004120924520839481,0.5745138888888889,0.1128312350064516,-0.2557350404055577,7.2646510026796e-06,300
snow,5,0.47500000000000003,0.09630541652441024,0.040866753490019864,0.48070282476979653,0.47500000000000003,0.06830273392299811,0.040866753490019864,0.48070282476979653,0.5015277777777778,0.07317560965816179,-0.10686549273422372,0.06452508890815883,300
frost,1,0.6483333333333333,0.17535740430156388,-0.232396762939363,4.819602357143617e-05,0.6483333333333333,0.19032416737327973,-0.232396762939363,4.819602357143617e-05,0.6523611111111111,0.20212139089902237,-0.2766175108971577,1.1362651810979617e-06,300
frost,2,0.6613194444444445,0.1428071262066563,-0.19017139316787138,0.0009317111991431062,0.6613194444444445,0.16376753685375056,-0.19014390066367434,0.000933335381556493,0.6636805555555556,0.18280254318068426,-0.23830285963436856,3.038875823225626e-05,300
frost,3,0.6487499999999999,0.1377991527939836,-0.24188754244085556,2.2836483161511454e-05,0.6487499999999999,0.1686536126335462,-0.24188754244085556,2.2836483161511454e-05,0.6524305555555555,0.18806016936898232,-0.2907883460393131,2.9473123043086904e-07,300
frost,4,0.6080555555555556,0.13771781640748182,-0.1604416852511954,0.005346222632051726,0.6080555555555556,0.1662309326728185,-0.1604416852511954,0.005346222632051726,0.6089583333333334,0.1865632160504659,-0.21956772152742238,0.00012605664894210704,300
frost,5,0.635625,0.13649964281668264,0.014704065337676209,0.7997795779366047,0.635625,0.1634260718524456,0.014709063763318079,0.7997129565194467,0.6422222222222222,0.18499066988627116,-0.04025181188266456,0.4873355609389197,300
fog,1,0.5675694444444445,0.0947009207804998,0.011169466125878432,0.847225876937303,0.5675694444444445,0.12331685533126195,0.011169466125878432,0.847225876937303,0.5806249999999998,0.15130483763913313,-0.07014505616902235,0.22575415376801036,300
fog,2,0.5472222222222222,0.09880307796100775,0.04208338921364005,0.4677256659092083,0.5472222222222222,0.12684492215514184,0.04208338921364005,0.4677256659092083,0.5631944444444444,0.14159668112794557,-0.06215051667838376,0.28326114678747605,300
fog,3,0.6027777777777777,0.1425782660394907,-0.03377729046335239,0.5600523177210275,0.6027777777777777,0.17018461356560388,-0.03377729046335239,0.5600523177210275,0.6066666666666666,0.19091079379121464,-0.08658858499764784,0.13457317836870902,300
fog,4,0.5928472222222221,0.1887897546341022,-0.14218502375532543,0.013702399822855003,0.5928472222222221,0.20829141420622668,-0.14218502375532543,0.013702399822855003,0.5945833333333332,0.22441269755363463,-0.1884389279338438,0.0010393129267977543,300
fog,5,0.5768055555555556,0.10408869951963423,-0.23679703747596162,3.4219147060537595e-05,0.5768055555555556,0.13627429962158202,-0.23679703747596162,3.4219147060537595e-05,0.5841666666666666,0.15789921859900152,-0.3024675960037329,9.158056107521948e-08,300
brightness,1,0.7009722222222222,0.10488076202571392,-0.0728090878413997,0.2085743242333417,0.7009722222222222,0.1327122094730536,-0.0728090878413997,0.2085743242333417,0.7076388888888889,0.15073883237938088,-0.12980265432048507,0.02455181444462687,300
brightness,2,0.7188194444444445,0.09956835299730303,-0.12801685531154078,0.026610059208681876,0.7188194444444445,0.11478883256514869,-0.12801685531154078,0.026610059208681876,0.7255555555555556,0.13535476590196294,-0.18803134659495527,0.0010662368198894854,300
brightness,3,0.7170833333333333,0.09793148913731177,-0.17061891735829132,0.0030304004150116977,0.7170833333333333,0.11799528265992802,-0.17061891735829132,0.0030304004150116977,0.7245138888888889,0.13227472111582758,-0.22506712024249764,8.4040839014032e-05,300
brightness,4,0.6991666666666667,0.10503702090432247,-0.15117514743513616,0.008726454750436253,0.6991666666666667,0.11854795321822167,-0.15117514743513616,0.008726454750436253,0.7065277777777778,0.13247412775953607,-0.20335130651003888,0.00039328415384570645,300
brightness,5,0.6724999999999999,0.10815735245744389,-0.19664322675842205,0.0006142455183892526,0.6724999999999999,0.12438227919240794,-0.19664322675842205,0.0006142455183892526,0.679236111111111,0.13468580305576325,-0.25049833931346077,1.1290795806688297e-05,300
contrast,1,0.6872916666666666,0.13712634931008022,-0.27956354592224164,8.635703975027211e-07,0.6872916666666666,0.13730264241496717,-0.27956354592224164,8.635703975027211e-07,0.6900694444444445,0.13775737007459007,-0.3272192236064241,6.455248988179696e-09,300
contrast,2,0.6704861111111111,0.10821261895199617,-0.2809393400566835,7.588668601772878e-07,0.6704861111111111,0.09680739551782608,-0.2809393400566835,7.588668601772878e-07,0.6759722222222222,0.1193248804907004,-0.334024415623709,2.9821436316036448e-09,300
contrast,3,0.6525000000000001,0.07194733170171579,-0.3202233626556306,1.4001877697007248e-08,0.6525000000000001,0.059967736626664804,-0.3202233626556306,1.4001877697007248e-08,0.6620138888888888,0.08732988496621451,-0.3783169422126496,1.2109827359577665e-11,300
contrast,4,0.5850694444444444,0.10772992222259442,-0.29232614209977786,2.534385132488328e-07,0.5850694444444444,0.06623033942033846,-0.29232614209977786,2.534385132488328e-07,0.5963194444444444,0.0778683891395728,-0.36501367294044423,6.926368678453876e-11,300
