# WS5 退化审计覆盖统计: 每 工具×变体 一行 (共 30×51)
# n_patients_valid=能算出有效 ρ 的患者数(<=9); n_degenerate=中招退化的患者数
# smallk_or_softmax=该变体是否属小 k topk(k<=5)/softmax 类
tool,pooling,non_null_total,n_patients_valid,n_degenerate,smallk_or_softmax
ICERFIRE,softmax_T0p5,100,9,0,True
ICERFIRE,softmax_T1,100,9,0,True
ICERFIRE,softmax_T2,100,9,0,True
ICERFIRE,rankdecay_g1,100,9,0,False
ICERFIRE,rankdecay_g1p5,100,9,0,False
ICERFIRE,rankdecay_g2,100,9,0,False
ICERFIRE,rankdecay_g3,100,9,0,False
ICERFIRE,rankdecay_g5,100,9,0,False
ICERFIRE,rankdecay_g10,100,9,0,False
ICERFIRE,rankdecay_g20,100,9,0,False
IEDB_Calis,max,130,9,0,False
IEDB_Calis,topk_k1_a0,130,9,0,True
IEDB_Calis,topk_k1_a0p5,130,9,0,True
IEDB_Calis,topk_k1_a1,130,9,0,True
IEDB_Calis,topk_k1_a2,130,9,0,True
IEDB_Calis,topk_k2_a0,130,9,0,True
IEDB_Calis,topk_k2_a0p5,130,9,0,True
IEDB_Calis,topk_k2_a1,130,9,0,True
IEDB_Calis,topk_k2_a2,130,9,0,True
IEDB_Calis,topk_k3_a0,130,9,0,True
IEDB_Calis,topk_k3_a0p5,130,9,0,True
IEDB_Calis,topk_k3_a1,130,9,0,True
IEDB_Calis,topk_k3_a2,130,9,0,True
IEDB_Calis,topk_k5_a0,130,9,0,True
IEDB_Calis,topk_k5_a0p5,130,9,0,True
IEDB_Calis,topk_k5_a1,130,9,0,True
IEDB_Calis,topk_k5_a2,130,9,0,True
IEDB_Calis,topk_k8_a0,130,9,0,False
IEDB_Calis,topk_k8_a0p5,130,9,0,False
IEDB_Calis,topk_k8_a1,130,9,0,False
IEDB_Calis,topk_k8_a2,130,9,0,False
IEDB_Calis,topk_k10_a0,130,9,0,False
IEDB_Calis,topk_k10_a0p5,130,9,0,False
IEDB_Calis,topk_k10_a1,130,9,0,False
IEDB_Calis,topk_k10_a2,130,9,0,False
IEDB_Calis,topk_k20_a0,130,9,0,False
IEDB_Calis,topk_k20_a0p5,130,9,0,False
IEDB_Calis,topk_k20_a1,130,9,0,False
IEDB_Calis,topk_k20_a2,130,9,0,False
IEDB_Calis,topk_k50_a0,130,9,0,False
IEDB_Calis,topk_k50_a0p5,130,9,0,False
IEDB_Calis,topk_k50_a1,130,9,0,False
IEDB_Calis,topk_k50_a2,130,9,0,False
IEDB_Calis,topk_k100_a0,130,9,0,False
IEDB_Calis,topk_k100_a0p5,130,9,0,False
IEDB_Calis,topk_k100_a1,130,9,0,False
IEDB_Calis,topk_k100_a2,130,9,0,False
IEDB_Calis,softmax_T0p03,130,9,0,True
IEDB_Calis,softmax_T0p05,130,9,0,True
IEDB_Calis,softmax_T0p1,130,9,0,True
IEDB_Calis,softmax_T0p2,130,9,0,True
IEDB_Calis,softmax_T0p5,130,9,0,True
IEDB_Calis,softmax_T1,130,9,0,True
IEDB_Calis,softmax_T2,130,9,0,True
IEDB_Calis,rankdecay_g1,130,9,0,False
IEDB_Calis,rankdecay_g1p5,130,9,0,False
IEDB_Calis,rankdecay_g2,130,9,0,False
IEDB_Calis,rankdecay_g3,130,9,0,False
IEDB_Calis,rankdecay_g5,130,9,0,False
IEDB_Calis,rankdecay_g10,130,9,0,False
IEDB_Calis,rankdecay_g20,130,9,0,False
IMPROVE,max,130,9,0,False
IMPROVE,topk_k1_a0,130,9,0,True
IMPROVE,topk_k1_a0p5,130,9,0,True
IMPROVE,topk_k1_a1,130,9,0,True
IMPROVE,topk_k1_a2,130,9,0,True
IMPROVE,topk_k2_a0,130,9,0,True
IMPROVE,topk_k2_a0p5,130,9,0,True
IMPROVE,topk_k2_a1,130,9,0,True
IMPROVE,topk_k2_a2,130,9,0,True
IMPROVE,topk_k3_a0,130,9,0,True
IMPROVE,topk_k3_a0p5,130,9,0,True
IMPROVE,topk_k3_a1,130,9,0,True
