bb_idx,MT_Seq2Neo
217,0.6544409
218,0.64914626
219,0.7635189
220,0.6307457
221,0.7186914
222,0.8327271
223,0.5000828
224,0.7048609
225,0.85009325
226,0.5737025
227,0.6458121
228,0.7241757
229,0.8266192
230,0.7041998
231,0.37740391
232,0.6818848
233,0.7700553
234,0.7701057
235,0.6928495
236,0.7086427
237,0.70064044
238,0.75068986
239,0.8128198
240,0.6501853
241,0.70450044
242,0.63020176
243,0.33301145
244,0.50588167
245,0.7171809
246,0.59349585
247,0.8517941
248,0.8534361
249,0.60521096
250,0.68238264
251,0.8281001
252,0.7844511
253,0.9236153
254,0.9178988
255,0.45100543
256,0.7113403
257,0.7865852
258,0.7374608
259,0.8964282
260,0.87170565
261,0.25336212
262,0.6471621
263,0.70011544
264,0.58416945
265,0.86064404
266,0.8454335
267,0.4462253
268,0.6723962
269,0.8439818
270,0.7988025
271,0.93220377
272,0.92814696
273,0.569546
274,0.66428304
275,0.82751596
276,0.8143257
277,0.9267199
278,0.9220669
279,0.48313773
280,0.7148491
281,0.84881115
282,0.811442
283,0.91678846
284,0.90826684
285,0.7130206
286,0.7310256
287,0.8859743
288,0.86729586
289,0.948511
290,0.9420034
291,0.76239455
292,0.7284787
293,0.7068029
294,0.7013927
295,0.702611
296,0.7375481
297,0.7139064
298,0.65755516
299,0.50302756
300,0.67973816
301,0.8361981
302,0.62668145
303,0.6879173
304,0.68338287
305,0.59887815
306,0.63674134
307,0.62079936
308,0.5953207
309,0.63046235
310,0.75596476
311,0.7213558
312,0.61455977
313,0.6054156
314,0.68654734
315,0.69143975
316,0.7087388
317,0.707368
318,0.6663893
319,0.7544199
320,0.77644587
321,0.77751535
322,0.7842485
323,0.72171134
324,0.646622
325,0.5778024
326,0.64705586
327,0.7219342
328,0.7045865
329,0.67478585
330,0.65953535
331,0.62882024
332,0.7398737
333,0.72034174
334,0.7511585
335,0.7375522
336,0.7825011
337,0.83180577
338,0.6636626
339,0.6122487
340,0.6976641
341,0.6315474
342,0.69327074
343,0.76873946
344,0.65715563
345,0.70405525
346,0.67727345
347,0.7440055
348,0.7727138
349,0.7236004
350,0.6528194
351,0.6306983
352,0.5990299
353,0.72412616
354,0.782624
355,0.8177872
356,0.72971314
357,0.6340369
358,0.67726535
359,0.69239926
360,0.6015238
361,0.7545836
362,0.62856394
363,0.70754206
364,0.7240209
365,0.64824855
366,0.670943
367,0.8323498
368,0.75433993
369,0.78223073
370,0.78947073
371,0.5548168
372,0.67240155
373,0.8059134
374,0.7537955
375,0.786938
376,0.76696366
377,0.7066256
378,0.5841016
379,0.6351215
380,0.676028
381,0.6650898
382,0.6514611
383,0.7054325
384,0.76340884
385,0.66428506
386,0.6178715
387,0.7175833
388,0.70192754
389,0.6612383
390,0.6733891
391,0.7704129
392,0.74035525
393,0.681829
394,0.6581234
395,0.63247174
396,0.66638106
397,0.6977439
398,0.59284055
399,0.58564425
400,0.7611065
401,0.7232903
402,0.76613533
403,0.7429673
404,0.6203245
405,0.7675487
406,0.6433487
407,0.6939194
408,0.70407087
409,0.70359457
410,0.71482027
411,0.64241326
412,0.6356995
413,0.84032583
414,0.8458822
415,0.40453717
416,0.57067543
417,0.768052
418,0.72642183
419,0.6371771
420,0.5831345
421,0.65509385
422,0.6246345
423,0.69714344
424,0.7300686
425,0.7224177
426,0.6878529
427,0.49263152
428,0.60166353
429,0.6732143
430,0.5622484
431,0.5174316
432,0.67754316
433,0.8033738
434,0.7492486
435,0.90665495
436,0.89606524
437,0.6827211
438,0.7361673
439,0.8145868
440,0.7841817
441,0.91395104
442,0.9073887
443,0.5313976
444,0.63681924
445,0.75604403
446,0.72969043
447,0.87455916
448,0.854465
449,0.63634115
450,0.68424577
451,0.827122
452,0.7900442
453,0.9044205
454,0.89824
455,0.6916561
456,0.6559953
457,0.83319634
458,0.80524075
459,0.8811549
460,0.87049985
461,0.7462919
462,0.70317143
463,0.87277615
464,0.84903413
465,0.918764
466,0.90541124
467,0.6935087
468,0.67623353
469,0.8024503
470,0.7826624
471,0.8553958
472,0.8497332
473,0.7278453
474,0.72062415
475,0.82567644
476,0.8224747
477,0.89540505
478,0.894544
479,0.879966
480,0.89021826
481,0.9445468
482,0.939986
483,0.9697484
484,0.9696463
485,0.734833
486,0.7746924
487,0.8592169
488,0.8590267
489,0.9388734
490,0.9391345
491,0.74814844
492,0.77571785
493,0.8858957
494,0.85025567
495,0.9336052
496,0.9334923
497,0.7170927
498,0.7482184
499,0.8655132
500,0.84463125
501,0.9250692
502,0.9150416
503,0.3534482
504,0.6765814
505,0.72653097
506,0.6200109
507,0.80243504
508,0.79155135
509,0.81315756
510,0.78031194
511,0.91100705
512,0.89247817
513,0.95157135
514,0.94474065
515,0.54528296
516,0.7479165
517,0.6046214
518,0.5880585
519,0.6253294
520,0.6606902
521,0.58375704
522,0.6607384
523,0.82533735
524,0.67881155
525,0.5723518
526,0.29698777
527,0.6121741
528,0.7733053
529,0.75392413
530,0.9090358
531,0.89027643
532,0.45076507
533,0.6599617
534,0.8433696
535,0.81718314
536,0.9313555
537,0.9266264
538,0.47763997
539,0.63937044
540,0.8060947
541,0.79161173
542,0.9091321
543,0.9004308
544,0.6273408
545,0.69983196
546,0.79063916
547,0.7647771
548,0.87348473
549,0.84629774
550,0.62331796
551,0.67975247
552,0.8549894
553,0.81238157
554,0.9368347
555,0.9262029
556,0.32984143
557,0.6975112
558,0.8564229
559,0.78939635
560,0.9470931
561,0.9391779
562,0.17985636
563,0.63611275
564,0.7559767
565,0.58197737
566,0.8890544
567,0.8751842
568,0.32848257
569,0.65365624
570,0.8375718
571,0.7787458
572,0.92115355
573,0.8967414
574,0.39490256
575,0.67191195
576,0.85658985
577,0.7923047
578,0.9261073
579,0.90991604
580,0.42734468
581,0.78858423
582,0.93719983
583,0.90327317
584,0.9747979
585,0.96919715
586,0.27647215
587,0.6948745
588,0.8283869
589,0.7755586
590,0.931877
591,0.92510206
592,0.6274019
593,0.74448985
594,0.85026604
595,0.8388965
596,0.93864906
597,0.9316957
598,0.5939143
599,0.7574407
600,0.8679807
601,0.8568053
602,0.9498292
603,0.94075084
604,0.3507928
605,0.71252936
606,0.87007123
607,0.86507857
608,0.94811994
609,0.93704736
610,0.3892067
611,0.7064384
612,0.8815802
613,0.8485476
614,0.95070004
615,0.940547
616,0.20704395
617,0.6951492
618,0.8750404
619,0.8293272
620,0.9538585
621,0.94609076
622,0.13021967
623,0.6512416
624,0.78745687
625,0.52294415
626,0.9241966
627,0.9151014
628,0.2549668
629,0.6732096
630,0.8335893
631,0.77198493
632,0.9471092
633,0.93411744
634,0.27571532
635,0.69537055
636,0.8046982
637,0.7459452
638,0.93286717
639,0.9165549
640,0.7160854
641,0.84995717
642,0.9209553
643,0.74146724
644,0.84179854
645,0.9310355
646,0.6873129
647,0.76581025
648,0.8549399
