bb_idx,MT_TSCAPE
826,0.448525
827,0.063839
828,0.337920
829,0.105391
830,0.070457
831,0.174749
832,0.018180
833,0.233488
834,0.027479
835,0.034498
836,0.328755
837,0.022144
838,0.277604
839,0.032610
840,0.044217
841,0.238312
842,0.019182
843,0.043009
844,0.092827
845,0.199649
846,0.017039
847,0.043336
848,0.084763
849,0.218186
850,0.014186
851,0.034571
852,0.116760
853,0.645154
854,0.079717
855,0.115178
856,0.329670
857,0.154512
858,0.018626
859,0.046153
860,0.073169
861,0.187980
862,0.012156
863,0.026009
864,0.099372
865,0.199325
866,0.021488
867,0.051335
868,0.112702
869,0.117729
870,0.015756
871,0.034048
872,0.069003
873,0.138219
874,0.012924
875,0.030266
876,0.068924
877,0.546932
878,0.101360
879,0.143703
880,0.255873
881,0.588913
882,0.087774
883,0.119900
884,0.215380
885,0.375254
886,0.025130
887,0.044950
888,0.118653
889,0.099982
890,0.011452
891,0.034909
892,0.070136
893,0.184154
894,0.019492
895,0.043123
896,0.109682
897,0.521790
898,0.049890
899,0.090222
900,0.233580
901,0.136873
902,0.016831
903,0.044381
904,0.053958
905,0.111665
906,0.009556
907,0.023407
908,0.074791
909,0.247024
910,0.044315
911,0.079869
912,0.118135
913,0.217406
914,0.029271
915,0.083528
916,0.126425
917,0.108856
918,0.013840
919,0.034723
920,0.049201
921,0.157314
922,0.015019
923,0.033776
924,0.096003
925,0.108582
926,0.013364
927,0.036288
928,0.069483
929,0.189156
930,0.022323
931,0.035158
932,0.076737
933,0.371325
934,0.041167
935,0.063911
936,0.116689
937,0.120341
938,0.014529
939,0.048853
940,0.069358
941,0.324062
942,0.018940
943,0.040655
944,0.118084
945,0.174417
946,0.021969
947,0.045144
948,0.089841
949,0.320549
950,0.028582
951,0.049452
952,0.117682
953,0.313629
954,0.037067
955,0.059521
956,0.119961
957,0.126435
958,0.014740
959,0.019632
960,0.060427
961,0.230927
962,0.034422
963,0.061534
964,0.125170
965,0.368620
966,0.035758
967,0.049671
968,0.147762
969,0.075936
970,0.008752
971,0.021165
972,0.036468
973,0.135561
974,0.014405
975,0.025279
976,0.071176
977,0.113959
978,0.015818
979,0.035366
980,0.073385
981,0.415460
982,0.033098
983,0.038235
984,0.131057
985,0.098941
986,0.011663
987,0.021267
988,0.044508
989,0.169493
990,0.018301
991,0.037565
992,0.089602
993,0.232192
994,0.036319
995,0.044320
996,0.092229
997,0.141552
998,0.015003
999,0.035018
1000,0.088394
1001,0.209668
1002,0.018696
1003,0.039539
1004,0.103901
1005,0.106108
1006,0.011293
1007,0.020029
1008,0.053994
1009,0.270534
1010,0.035356
1011,0.045369
1012,0.111771
1013,0.122303
1014,0.018085
1015,0.028326
1016,0.064912
1017,0.325886
1018,0.425300
1019,0.208854
1020,0.283829
1021,0.385136
1022,0.186185
1023,0.257457
1024,0.234776
1025,0.134651
1026,0.253196
1027,0.384742
1028,0.208225
1029,0.113932
1030,0.184574
1031,0.110333
1032,0.478269
1033,0.508156
1034,0.285118
1035,0.258173
1036,0.284895
1037,0.138181
1038,0.118308
1039,0.197940
1040,0.064242
1041,0.227941
1042,0.343534
1043,0.213741
1044,0.165998
1045,0.220243
1046,0.121374
1047,0.188964
1048,0.296665
1049,0.138215
1050,0.076981
1051,0.122256
1052,0.066070
1053,0.287325
1128,0.287325
1054,0.431682
1129,0.431682
1055,0.189500
1130,0.189500
1056,0.245014
1131,0.245014
1057,0.345625
1132,0.345625
1058,0.140619
1133,0.140619
1059,0.128069
1134,0.128069
1060,0.184774
1135,0.184774
1061,0.111875
1136,0.111875
1062,0.341576
1137,0.341576
1063,0.429077
1138,0.429077
1064,0.197933
1139,0.197933
1065,0.111256
1140,0.111256
1066,0.169437
1141,0.169437
1067,0.084311
1142,0.084311
1068,0.269924
1143,0.269924
1069,0.308676
1144,0.308676
1070,0.146147
1145,0.146147
1071,0.255258
1146,0.255258
1072,0.417315
1147,0.417315
1073,0.220832
1148,0.220832
1074,0.222529
1149,0.222529
1075,0.298117
1150,0.298117
1076,0.127763
1151,0.127763
1077,0.115323
1152,0.115323
1078,0.232486
1153,0.232486
1079,0.107195
1154,0.107195
1080,0.226637
1155,0.226637
1081,0.230955
1156,0.230955
1082,0.150757
1157,0.150757
1083,0.358687
1158,0.358687
1084,0.419534
1159,0.419534
1085,0.224701
1160,0.224701
1086,0.185531
1161,0.185531
1087,0.245480
1162,0.245480
1088,0.114087
1163,0.114087
1089,0.200972
1164,0.200972
1090,0.280646
1165,0.280646
1091,0.158582
1166,0.158582
1092,0.369501
1167,0.369501
1093,0.470020
1168,0.470020
1094,0.233055
1169,0.233055
1095,0.217351
1170,0.217351
1096,0.320726
1171,0.320726
1097,0.138674
1172,0.138674
1098,0.425330
1173,0.425330
1099,0.368610
1174,0.368610
1100,0.217700
1175,0.217700
1101,0.225021
