bb_idx,MT_CNNeo,WT_CNNeo
711,0.91786945,
712,0.16612506,
713,0.6856491,
714,0.8811877,
715,0.21171468,
716,0.7318782,
717,0.905436,
718,0.24353816,
719,0.75255466,
720,0.91409117,
721,0.6826254,
722,0.8275043,
723,0.8994274,
724,0.69573677,
725,0.686539,
726,0.74151015,
727,0.8526894,
728,0.91552943,
729,0.8461532,
730,0.7304255,
731,0.63875705,
732,0.8095012,
733,0.8850008,
734,0.5713876,
735,0.686539,
736,0.7226535,
737,0.8451935,
738,0.91151494,
739,0.802046,
740,0.622501,
741,0.6778392,
742,0.82613206,
743,0.89660156,
744,0.6734544,
745,0.686539,
746,0.6778392,
747,0.82613206,
748,0.89660156,
749,0.6734544,
750,0.686539,
751,0.75448394,
752,0.8588805,
753,0.9165085,
754,0.82610047,
755,0.7304255,
756,0.752497,
757,0.8576679,
758,0.9183263,
759,0.86499363,
760,0.686539,
761,0.60832924,
762,0.7918257,
763,0.86859345,
764,0.5152425,
765,0.686539,
766,0.57758516,
767,0.780367,
768,0.8602328,
769,0.4312075,
770,0.6702448,
771,0.7237305,
772,0.8452809,
773,0.9103359,
774,0.8032872,
775,0.6358163,
776,0.7226535,
777,0.8451935,
778,0.91151494,
779,0.802046,
780,0.622501,
781,0.7032023,
782,0.83607084,
783,0.9046308,
784,0.7397817,
785,0.686539,
786,0.73989874,
787,0.85129046,
788,0.9146809,
789,0.8295706,
790,0.7224489,
791,0.73703486,
792,0.85027117,
793,0.91370106,
794,0.80867416,
795,0.7304255,
796,0.602097,
797,0.7893505,
798,0.8676378,
799,0.49402726,
800,0.7024503,
801,0.7237305,
802,0.8452809,
803,0.9103359,
804,0.8032872,
805,0.6358163,
806,0.68082565,
807,0.8279437,
808,0.89912117,
809,0.69554675,
810,0.60439783,
811,0.7065164,
812,0.8387877,
813,0.9074061,
814,0.7604988,
815,0.686539,
816,0.7726914,
817,0.8646198,
818,0.92136395,
819,0.84629935,
820,0.686539,
821,0.73989874,
822,0.85129046,
823,0.9146809,
824,0.8295706,
825,0.7224489,
826,0.62375957,
827,0.80139446,
828,0.8772637,
829,0.5410736,
830,0.7304255,
831,0.752497,
832,0.8576679,
833,0.9183263,
834,0.86499363,
835,0.686539,
836,0.74151015,
837,0.8526894,
838,0.91552943,
839,0.8461532,
840,0.7304255,
841,0.2364668,
842,0.81317,
843,0.9403676,
844,0.6023066,
845,0.46201548,
846,0.86376965,
847,0.92638063,
848,0.71171695,
849,0.35605276,
850,0.84643155,
851,0.9383223,
852,0.67078376,
853,0.27738264,
854,0.8274635,
855,0.92016643,
856,0.63050526,
857,0.2877017,
858,0.84127206,
859,0.9344428,
860,0.6540227,
861,0.2093317,
862,0.81736594,
863,0.92464185,
864,0.6066482,
865,0.1923197,
866,0.79788613,
867,0.94062686,
868,0.5753615,
869,0.3806502,
870,0.8523683,
871,0.93317,
872,0.6847888,
873,0.43466648,
874,0.8587373,
875,0.93540907,
876,0.7010121,
877,0.40838173,
878,0.8527942,
879,0.92638063,
880,0.68691796,
881,0.30771887,
882,0.83097005,
883,0.9344428,
884,0.6393147,
885,0.31676367,
886,0.8366902,
887,0.92464185,
888,0.65078616,
889,0.35605276,
890,0.84643155,
891,0.9383223,
892,0.67078376,
893,0.2826638,
894,0.81961876,
895,0.93389225,
896,0.6181835,
897,0.45921156,
898,0.85890126,
899,0.9303857,
900,0.7009917,
901,0.35965773,
902,0.83984524,
903,0.9303857,
904,0.65984726,
905,0.280259,
906,0.8397512,
907,0.9403676,
908,0.65154946,
909,0.46201548,
910,0.86376965,
911,0.92638063,
912,0.71171695,
913,0.40838173,
914,0.8527942,
915,0.92638063,
916,0.68691796,
917,0.2877017,
918,0.84127206,
919,0.9344428,
920,0.6540227,
921,0.43466648,
922,0.8587373,
923,0.93540907,
924,0.7010121,
925,0.43958533,
926,0.8583886,
927,0.9294529,
928,0.69882894,
929,0.2877017,
930,0.84127206,
931,0.9344428,
932,0.6540227,
933,0.6766386,
934,0.8829285,
935,0.93540907,
936,0.77433074,
937,0.43466648,
938,0.8587373,
939,0.93540907,
940,0.7010121,
941,0.31676367,
942,0.8366902,
