bb_idx,MT_IEDB_Calis,WT_IEDB_Calis
1173,0.25615,
1174,0.25735,
1175,0.25615,
1176,-0.00852,
1177,-0.05892,
1178,-0.02122,
1179,-0.00852,
1180,-0.00852,
1181,-0.17048,
1182,0.03952,
1183,-0.18308,
1184,-0.17048,
1185,-0.17048,
1186,-0.40464,
1187,-0.51864,
1188,-0.42144,
1189,-0.40464,
1190,-0.40464,
1191,-0.474,
1192,-0.4632,
1193,-0.404,
1194,-0.474,
1195,-0.474,
1196,-0.49976,
1197,-0.28976,
1198,-0.53776,
1199,-0.49976,
1200,-0.49976,
1201,-0.54128,
1202,-0.33128,
1203,-0.53768,
1204,-0.54128,
1205,-0.54128,
1206,-0.36592,
1207,-0.15592,
1208,-0.29592,
1209,-0.36592,
1210,-0.36592,
1211,-0.11564,
1212,-0.22964,
1213,-0.04564,
1214,-0.11564,
1215,-0.11564,
1216,0.14324,
1217,0.15404,
1218,0.21324,
1219,0.14324,
1220,0.14324,
1221,0.22662,
1222,0.17622,
1223,0.18862,
1224,0.22662,
1225,0.22662,
1226,0.26022,
1227,0.22002,
1228,0.26382,
1229,0.26022,
1230,0.26022,
1231,0.27686,
1232,0.23906,
1233,0.26006,
1234,0.27686,
1235,0.27686,
1236,0.12536,
1237,-0.00424,
1238,0.11196,
1239,0.12536,
1240,0.12536,
1241,0.10726,
1242,0.06946,
1243,0.09466,
1244,0.10726,
1245,0.10726,
1246,-0.05182,
1247,-0.08962,
1248,-0.09502,
1249,-0.05182,
1250,-0.05182,
1251,-0.15238,
1252,0.05762,
1253,-0.16498,
1254,-0.15238,
1255,-0.15238,
1256,-0.474,
1257,-0.4632,
1258,-0.404,
1259,-0.474,
1260,-0.474,
1261,-0.49976,
1262,-0.28976,
1263,-0.53776,
1264,-0.49976,
1265,-0.49976,
1266,-0.54128,
1267,-0.33128,
1268,-0.53768,
1269,-0.54128,
1270,-0.54128,
1271,-0.36592,
1272,-0.15592,
1273,-0.29592,
1274,-0.36592,
1275,-0.36592,
1276,-0.11564,
1277,-0.22964,
1278,-0.04564,
1279,-0.11564,
1280,-0.11564,
1281,0.14324,
1282,0.15404,
1283,0.21324,
1284,0.14324,
1285,0.14324,
1286,0.22662,
1287,0.17622,
1288,0.18862,
1289,0.22662,
1290,0.22662,
1291,0.26022,
1292,0.22002,
1293,0.26382,
1294,0.26022,
1295,0.26022,
1296,0.27686,
1297,0.23906,
1298,0.26006,
1299,0.27686,
1300,0.27686,
1301,0.12536,
1302,-0.00424,
1303,0.11196,
1304,0.12536,
1305,0.12536,
1306,0.10726,
1307,0.06946,
1308,0.09466,
1309,0.10726,
1310,0.10726,
1311,-0.05182,
1312,-0.08962,
1313,-0.09502,
1314,-0.05182,
1315,-0.05182,
1316,-0.15238,
1317,0.05762,
1318,-0.16498,
1319,-0.15238,
1320,-0.15238,
1321,-0.18468,
1322,-0.29868,
1323,-0.19728,
1324,-0.18468,
1325,-0.18468,
1326,-0.1666,
1327,-0.0538,
1328,-0.0966,
1329,-0.1666,
1330,-0.1666,
1331,0.14966,
1332,0.05216,
1333,0.13866,
1334,0.14966,
1335,0.14966,
1336,0.08815,
1337,0.03775,
1338,0.09175,
1339,0.08815,
1340,0.08815,
1341,-0.1057,
1342,-0.0949,
1343,-0.1382,
1344,-0.1057,
1345,-0.1057,
1346,-0.20588,
1347,-0.22748,
1348,-0.22268,
1349,-0.20588,
1350,-0.20588,
