bb_idx,MT_IMPROVE_mean_prediction_rf
768,0.4574996887471731
769,0.41197014488286526
770,0.4038819630549647
771,0.40327658890639617
772,0.4038810711630728
773,0.37711582651169906
774,0.3728654851623818
775,0.3636761632697446
776,0.38068953294943497
777,0.3723542688674808
778,0.3662919118247008
779,0.37155940116964853
780,0.366702838207547
781,0.3612783150250974
782,0.36367003091661465
783,0.36371539668111297
784,0.3609405120531684
785,0.3737959250435422
786,0.3738128572187882
787,0.36770211260333163
788,0.3737959250435422
789,0.3705663373653524
790,0.38953500536774055
791,0.39829261173272107
792,0.4590947499881678
793,0.4086862689243154
794,0.4058395609538209
795,0.4073578942748327
796,0.4044912621151223
797,0.39007700466976747
798,0.40321125043716
799,0.38609069988405875
800,0.3907809374019022
801,0.40117064639699757
802,0.4025021813182065
803,0.40095964836374404
804,0.4001804483691286
805,0.39246983521904333
806,0.39445013607200446
807,0.4077419145599405
808,0.43409719715019807
809,0.38581405821840425
810,0.3842210631369517
811,0.38837115884550555
812,0.3846578081698234
813,0.35534713292202474
814,0.3426750747238523
815,0.354172770577157
816,0.35613740169556757
817,0.3670123833426773
818,0.36414050520939784
819,0.36491628406791904
820,0.3609507616367974
821,0.37973372620456103
822,0.41787414493415415
823,0.38526336098463493
824,0.3846517328066791
825,0.3701986266955618
826,0.3766332420715527
827,0.3754407778583745
828,0.3725579857390596
829,0.45655866174435084
830,0.38989312832632284
831,0.3675616425818963
832,0.37914973460105383
833,0.427583675084346
834,0.36190563359650774
835,0.3674163567607964
836,0.3673976669205876
837,0.3806297586923713
838,0.38573559640866967
839,0.39554482647749795
840,0.3898528495320201
841,0.35027962474755275
842,0.3679448792550743
843,0.35461356286191303
844,0.3667449433620302
845,0.3741013021584154
846,0.36583528397157594
847,0.3741013021584154
848,0.3658320022785099
849,0.38836801533983956
850,0.3873371597052768
851,0.4339085991112327
852,0.3717228639318086
853,0.39224601823719096
854,0.3924136496743165
855,0.3888802119541108
856,0.3877034333150237
857,0.3894276210902723
858,0.38794846379635295
859,0.3894481342478871
860,0.3894276210902723
861,0.38770346742470707
862,0.3950258247332246
863,0.3870587274449447
864,0.3897749068491002
865,0.3769051883168597
866,0.38641478432374676
867,0.4019810999883804
868,0.38349942877754134
869,0.3755722352877155
870,0.3793615294262331
871,0.3795039601086294
872,0.3988377334702477
873,0.3885377763430002
874,0.3636922354796704
875,0.3627942268202853
876,0.36259659698334124
