bb_idx,MT_TSCAPE
1124,0.042371
1125,0.091632
1126,0.420089
1127,0.521089
1128,0.109303
1129,0.090967
1130,0.552740
1131,0.599861
1132,0.115674
1133,0.121609
1134,0.581258
1135,0.610975
1136,0.140190
1137,0.024251
1138,0.175577
1139,0.163116
1140,0.040118
1141,0.061097
1142,0.265040
1143,0.397414
1144,0.068812
1145,0.100279
1146,0.320562
1147,0.363724
1148,0.083548
1149,0.044539
1150,0.252297
1151,0.313070
1152,0.064396
1153,0.043985
1154,0.344534
1155,0.310320
1156,0.055643
1157,0.154112
1158,0.416449
1159,0.639830
1160,0.149193
1161,0.042729
1162,0.226439
1163,0.274874
1164,0.053760
1165,0.027816
1166,0.279283
1167,0.303024
1168,0.040866
1169,0.030595
1170,0.231031
1171,0.254055
1172,0.054210
1173,0.066631
1174,0.294331
1175,0.394164
1176,0.074929
1177,0.051503
1178,0.222500
1179,0.400194
1180,0.053477
1181,0.087318
1182,0.417238
1183,0.544542
1184,0.115127
1185,0.062297
1186,0.379788
1187,0.419274
1188,0.070222
1189,0.026140
1190,0.177678
1191,0.168144
1192,0.044418
1193,0.030952
1194,0.174388
1195,0.264362
1196,0.039109
1197,0.058066
1198,0.237658
1199,0.298095
1200,0.053097
1201,0.039732
1202,0.240873
1203,0.288398
1204,0.065775
1205,0.050481
1206,0.396464
1207,0.337079
1208,0.070166
1209,0.155961
1210,0.435630
1211,0.630286
1212,0.160361
1213,0.041281
1214,0.227588
1215,0.291608
1216,0.060210
1217,0.036904
1218,0.268938
1219,0.335172
1220,0.049717
1221,0.022166
1222,0.149540
1223,0.170392
1224,0.042262
1225,0.044137
1226,0.270373
1227,0.337262
1228,0.062661
1229,0.044597
1230,0.239424
1231,0.345184
1232,0.050522
1233,0.100830
1234,0.412267
1235,0.554627
1236,0.130010
1237,0.027019
1238,0.221390
1239,0.165344
1240,0.050070
1241,0.031567
1242,0.155984
1243,0.244043
1244,0.039735
1245,0.067248
1246,0.261763
1247,0.304509
1248,0.061453
1249,0.037862
1250,0.245225
1251,0.279287
1252,0.063445
1253,0.050785
1254,0.393614
1255,0.358180
1256,0.066473
1257,0.132910
1258,0.368253
1259,0.600942
1260,0.147930
1261,0.051027
1262,0.236057
1263,0.297443
1264,0.070122
1265,0.040270
1266,0.307781
1267,0.352971
1268,0.056848
1269,0.024478
1270,0.170009
1271,0.204757
1272,0.049509
1273,0.049055
1274,0.290925
1275,0.318365
1276,0.068281
1277,0.035681
1278,0.202928
1279,0.289120
1280,0.042476
1281,0.024897
1282,0.172548
1283,0.118112
1284,0.039098
1285,0.028623
1286,0.157827
1287,0.219543
1288,0.035918
1289,0.078166
1290,0.268589
1291,0.312833
1292,0.074258
1293,0.040815
1294,0.259199
1295,0.276552
1296,0.068394
1297,0.056779
1298,0.364775
1299,0.354060
1300,0.069288
1301,0.136839
1302,0.401175
1303,0.616621
1304,0.147157
1305,0.047714
1306,0.233262
1307,0.274222
1308,0.058281
1309,0.043321
1310,0.317562
1311,0.364583
1312,0.059975
1313,0.026313
1314,0.194043
1315,0.247729
1316,0.051140
1317,0.052023
1318,0.319480
1319,0.328122
1320,0.087284
1321,0.028399
1322,0.188568
1323,0.121653
1324,0.043583
1325,0.027313
1326,0.147793
1327,0.205671
1328,0.035826
1329,0.065062
1330,0.267428
1331,0.292976
1332,0.071620
1333,0.040400
1334,0.262201
1335,0.284835
1336,0.070253
1337,0.060144
1338,0.353274
1339,0.338427
1340,0.072069
1341,0.114642
1342,0.392391
1343,0.602052
1344,0.139482
1345,0.043994
1346,0.225616
1347,0.279889
1348,0.064928
1349,0.042336
1350,0.312976
1351,0.354456
1352,0.062727
1353,0.022496
1354,0.168480
1355,0.176706
1356,0.045631
1357,0.028707
1358,0.207330
1359,0.135262
1360,0.046374
1361,0.031068
1362,0.166428
1363,0.230169
1364,0.039036
1365,0.059295
1366,0.269177
1367,0.251632
1368,0.072518
1369,0.035148
1370,0.257406
1371,0.304991
1372,0.068073
1373,0.050355
1374,0.334373
1375,0.302222
1376,0.063099
1377,0.120457
1378,0.417118
1379,0.603338
1380,0.141258
1381,0.047593
1382,0.251299
1383,0.274360
1384,0.061850
1385,0.039402
1386,0.302192
1387,0.355554
1388,0.067723
1389,0.017449
1390,0.116212
1391,0.112175
1392,0.033147
1393,0.032751
1394,0.196772
1395,0.189288
1396,0.033526
1397,0.055856
1398,0.353063
1399,0.492015
1400,0.076412
1401,0.029567
1402,0.212135
1403,0.242480
1404,0.042503
1405,0.042272
1406,0.355228
1407,0.267083
1408,0.052553
1409,0.029054
1410,0.271013
1411,0.288126
1412,0.045538
1413,0.034300
1414,0.288474
1415,0.294398
1416,0.056337
1417,0.079908
1418,0.345303
1419,0.449242
1420,0.077477
1421,0.016099
1422,0.104424
1423,0.107171
1424,0.034228
1425,0.033150
1426,0.207113
1427,0.216549
1428,0.036250
1429,0.055127
1430,0.345435
1431,0.448632
1432,0.077931
1433,0.068204
1434,0.340895
1435,0.380620
1436,0.080176
1437,0.038176
1438,0.344524
1439,0.258014
1440,0.057570
1441,0.040942
1442,0.300417
1443,0.320882
1444,0.056813
1445,0.025079
1446,0.198231
1447,0.205230
1448,0.045344
1449,0.013779
1450,0.095803
1451,0.094015
1452,0.033955
1453,0.029103
1454,0.171123
1455,0.165178
1456,0.028130
1457,0.064725
1458,0.330423
1459,0.414245
1460,0.078472
1461,0.064019
1462,0.292011
1463,0.351313
1464,0.082758
1465,0.032015
1466,0.268853
