sample_id,domain,conv_step,converged,final_norm,max_steps,cos_thr,trained_S,extrapolated
nih_20601,NIH,,False,105.72809600830078,16,0.01,16,False
nih_21828,NIH,,False,97.00914764404297,16,0.01,16,False
nih_12759,NIH,,False,103.83915710449219,16,0.01,16,False
nih_25594,NIH,,False,99.03433990478516,16,0.01,16,False
nih_16323,NIH,,False,102.5767593383789,16,0.01,16,False
nih_2172,NIH,,False,104.80062866210938,16,0.01,16,False
nih_20534,NIH,,False,93.45256805419922,16,0.01,16,False
nih_4794,NIH,,False,99.25797271728516,16,0.01,16,False
nih_3,NIH,,False,103.43164825439453,16,0.01,16,False
nih_11594,NIH,,False,93.86112213134766,16,0.01,16,False
nih_14940,NIH,,False,102.35767364501953,16,0.01,16,False
nih_19254,NIH,,False,94.50487518310547,16,0.01,16,False
nih_12865,NIH,,False,99.09197998046875,16,0.01,16,False
nih_14103,NIH,,False,98.83319091796875,16,0.01,16,False
nih_10694,NIH,,False,107.38143157958984,16,0.01,16,False
nih_22081,NIH,,False,105.22343444824219,16,0.01,16,False
nih_16093,NIH,,False,99.67790222167969,16,0.01,16,False
nih_8091,NIH,,False,96.2464828491211,16,0.01,16,False
nih_5735,NIH,,False,96.11447143554688,16,0.01,16,False
nih_18319,NIH,,False,97.05340576171875,16,0.01,16,False
nih_21714,NIH,,False,92.67613983154297,16,0.01,16,False
nih_14826,NIH,,False,105.92930603027344,16,0.01,16,False
nih_10913,NIH,,False,101.34335327148438,16,0.01,16,False
nih_10819,NIH,,False,107.30229187011719,16,0.01,16,False
nih_20668,NIH,,False,111.1709213256836,16,0.01,16,False
nih_12246,NIH,,False,100.0624771118164,16,0.01,16,False
nih_17888,NIH,,False,106.32144165039062,16,0.01,16,False
nih_6872,NIH,,False,93.23712921142578,16,0.01,16,False
nih_15922,NIH,,False,101.45394897460938,16,0.01,16,False
nih_19518,NIH,,False,96.85289764404297,16,0.01,16,False
nih_6357,NIH,,False,95.47091674804688,16,0.01,16,False
nih_11576,NIH,,False,107.83893585205078,16,0.01,16,False
nih_23150,NIH,,False,111.46866607666016,16,0.01,16,False
nih_19494,NIH,,False,104.32074737548828,16,0.01,16,False
nih_8776,NIH,,False,97.15695190429688,16,0.01,16,False
nih_11789,NIH,,False,101.86302947998047,16,0.01,16,False
